Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight,has_target_substructure,matching_patterns
CCC=C(O)[C@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'A1'}"", 'loading: False']",TE(linear),350.24,False,
CCC=C(O)[C@@H](O)[C@@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'B2'}"", 'loading: False']",TE(linear),202.25,False,
CCC=C(O)[C@H](O)[C@@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'A2'}"", 'loading: False']",TE(linear),202.25,False,
CCC=C1C[C@H](OC)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",156.18,True,['pattern_1: CCC=C1C[C@H](OC)C(=O)O1']
CCC=C(O)[C@@H](O)[C@@H](C)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'loading: False']",TE(linear),174.2,False,
CCC=C1C=CC(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",124.14,True,['pattern_2: CCC=C1C=CC(=O)O1']
CCC=C(O)[C@H](O)[C@H](O)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'A2'}"", 'loading: False']",TE(linear),176.17,False,
C=CC[C@H](C(=O)O)[C@H](O)C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B2'}"", 'loading: False']",TE(linear),200.23,False,
CCC=C(O)[C@@H](O)[C@H](CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B2'}"", 'loading: False']",TE(linear),188.22,False,
CCC=C(O)[C@H](O)[C@H](CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A2'}"", 'loading: False']",TE(linear),188.22,False,
CCC=C(O)C[C@@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),186.25,False,
CCC=C(O)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),334.24,False,
C=CCC1=CC(=CCC)OC1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",164.2,True,['pattern_2: CCC=C1C=CC(=O)O1']
CCC=C1C=C(C)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",138.17,True,['pattern_2: CCC=C1C=CC(=O)O1']
CCC=C1OC(=O)[C@@H](OC)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'C2'}"", 'loading: False']","TE(cyclic, ring=1)",170.16,True,['pattern_1: CCC=C1C[C@H](OC)C(=O)O1']
