Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight
CO[C@H]1CC(O)=CCOC1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",158.15
O=C1OC(=CCO)C[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",318.2
CCCCCC[C@@H]1C(=O)O[C@@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",228.29
CC[C@@H]1C(=O)O[C@@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",172.18
C[C@H]1CC(=CCO)OC1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",142.15
CCCC[C@@H]1C(=O)O[C@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",200.23
O=C1O[C@H](C(O)=CCO)[C@H]1O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",160.12
CC(C)[C@H]1C(=O)O[C@@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",186.21
COC1=CC(=CCO)OC1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=1)",156.14
O=C1C[C@H](C(O)=CCO)O1,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'A'}"", 'loading: False']","TE(cyclic, ring=1)",144.13
CCCCCC[C@@H]1C(=O)O[C@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",228.29
C[C@@H]1C(=O)OC(=CCO)C1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: False']","TE(cyclic, ring=1)",156.14
CO[C@@H]1C(=O)O[C@@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",174.15
C[C@H]1C(=O)O[C@@H]1C(O)=CCO,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
CC[C@@H]1C(=O)OC(=CCO)C1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'C2'}"", 'loading: False']","TE(cyclic, ring=1)",170.16
CCCCCCC1=CC(=CCO)OC1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=1)",210.27
CCCCCC[C@@H]1C(=O)OC(=CCO)C1=O,AT(Hydroxymalonyl-CoA),AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", 'loading: False']","TE(cyclic, ring=1)",226.27
