"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1257070";"FAROPENEM MEDOXOMIL";"3.0";"397.41";"0";"0.89";"Faro";"Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12";"MIC";"'='";"0.12";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266721";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis K7038 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.12"
"CHEMBL29";"PENICILLIN G";"4.0";"334.40";"0";"0.86";"Penicillin";"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1264728";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis NH by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"2.0"
"CHEMBL29";"PENICILLIN G";"4.0";"334.40";"0";"0.86";"Penicillin";"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266611";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis K7978 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"2.0"
"CHEMBL29";"PENICILLIN G";"4.0";"334.40";"0";"0.86";"Penicillin";"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266616";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis BA1007 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"2.0"
"CHEMBL529";"AZITHROMYCIN";"4.0";"749.00";"2";"1.90";"Azithromycin";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1264728";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis NH by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"2.0"
"CHEMBL529";"AZITHROMYCIN";"4.0";"749.00";"2";"1.90";"Azithromycin";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"MIC";"'='";"4.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266613";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis 02AS-1 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"4.0"
"CHEMBL8";"CIPROFLOXACIN";"4.0";"331.35";"0";"1.58";"CIP";"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O";"MIC";"'<='";"0.06";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266617";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis 17T5 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.06"
"CHEMBL8";"CIPROFLOXACIN";"4.0";"331.35";"0";"1.58";"CIP";"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O";"MIC";"'<='";"0.06";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266725";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis Texas 2 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.06"
"CHEMBL1836126";"";"None";"246.28";"0";"-0.52";"14, 1R,2R-SPG";"CS(=O)(=O)c1ccc([C@@H](O)[C@H](O)CO)cc1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1838185";"Antibacterial activity against Bacillus anthracis Sterne assessed as inhibition of surface colony-spreading at 75 ug after overnight incubation";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1833891";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";""
"CHEMBL2392718";"";"None";"316.45";"0";"3.55";"53";"CCCn1nc(NC(=O)NC2C3CC4CC(C3)CC2C4)cc1C";"MIC";"'>'";"200.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL2394217";"Antibacterial against Bacillus anthracis Sterne";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL2390858";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"200.0"
"CHEMBL127";"MEROPENEM";"4.0";"383.47";"0";"-0.31";"Meropenem";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12";"MIC";"'='";"0.12";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266617";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis 17T5 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.12"
"CHEMBL1257070";"FAROPENEM MEDOXOMIL";"3.0";"397.41";"0";"0.89";"Faro";"Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12";"MIC";"'='";"0.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266723";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis BA1024 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.5"
"CHEMBL529";"AZITHROMYCIN";"4.0";"749.00";"2";"1.90";"Azithromycin";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1266607";"Antibacterial activity against beta-lactamase Bla1 and Bla2-producing Bacillus anthracis Ohio by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1255419";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"2.0"
