jobName,jobDir,jobIndex,starterSmiles,targetSmiles,targetCanonical,generationRun,maxAtoms,targetInNetwork,numMolecules,seconds,status,searchDepth,maxNumRxns,minRxnAtomEconomy,targetUsedForPathwaySearch,runRanking,runVisualization,pathwaysTxtFound,numPathwayBlocksOriginal,numPathwayBlocksExact,exactPathwaysTxt,backupPathwaysTxt,error
high_pPotency_molecule_pathway4_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway4_wGen2,4,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,2,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,303.0,203.9,ok,2.0,2.0,0.0,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway4_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway4_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway4_wGen3,4,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,3,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",True,5304.0,26430.12,ok,3.0,3.0,0.0,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,True,False,True,1.0,1.0,high_pPotency_molecule_pathway4_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway4_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway5_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway5_wGen1,5,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(O)CC(=O)OP(=O)(O)O,O=C(O)CC(=O)OP(=O)(O)O,1,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",False,61.0,26.1,ok,1.0,1.0,0.0,O=C(O)CC(=O)OP(=O)(O)O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway5_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway5_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway5_wGen2,5,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(O)CC(=O)OP(=O)(O)O,O=C(O)CC(=O)OP(=O)(O)O,2,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",False,361.0,305.92,ok,2.0,2.0,0.0,O=C(O)CC(=O)OP(=O)(O)O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway5_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway5_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway5_wGen3,5,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(O)CC(=O)OP(=O)(O)O,O=C(O)CC(=O)OP(=O)(O)O,3,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",True,6207.0,46688.49,ok,3.0,3.0,0.0,O=C(O)CC(=O)OP(=O)(O)O,True,False,True,2.0,2.0,high_pPotency_molecule_pathway5_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway5_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway6_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway6_wGen1,6,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,1,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",False,61.0,26.85,ok,1.0,1.0,0.0,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway6_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway6_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway6_wGen2,6,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,2,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",False,361.0,303.61,ok,2.0,2.0,0.0,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway6_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway6_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway6_wGen3,6,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,3,"{'C': 15, 'N': 8, 'O': 8, 'S': 1}",True,6207.0,46978.1,ok,3.0,3.0,0.0,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,True,False,True,21.0,21.0,high_pPotency_molecule_pathway6_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway6_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway7_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway7_wGen1,7,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,1,"{'C': 15, 'N': 6, 'O': 8, 'S': 1}",False,59.0,24.22,ok,1.0,1.0,0.0,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway7_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway7_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway7_wGen2,7,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,2,"{'C': 15, 'N': 6, 'O': 8, 'S': 1}",False,300.0,255.49,ok,2.0,2.0,0.0,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway7_wGen2_pathways_exact2.txt,,
