Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CC(C)C1=C[C@]2(O)CC[C@H]3C(C)(C)CCC[C@]3(C)C2=CC1=O,25.0,%,Inhibition,'<',,CHEMBL243549,302.46,4.44,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,25.0,%,Inhibition,'<',,CHEMBL180920,266.34,4.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,25.0,%,Inhibition,'=',,CHEMBL242011,354.36,2.72,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,,Activity,,,CHEMBL230006,470.69,6.41,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,,Activity,,,CHEMBL441687,822.94,2.25,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,50.0,%,Inhibition,'=',,CHEMBL223643,1111.34,,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1cc(C2c3cc(OC(=O)c4ccccc4)c(OC)cc3C[C@@H](CO)[C@@H]2CO)ccc1OC(=O)c1ccccc1,,%,Inhibition,,,CHEMBL242247,568.62,5.05,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,,Activity,,,CHEMBL441687,822.94,2.25,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,50.0,%,Inhibition,'=',,CHEMBL269277,456.71,7.09,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,14500.0,nM,EC50,'=',4.84,CHEMBL551592,346.43,4.6,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
