Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,-0.08,%,Inhibition,'=',,CHEMBL363535,276.29,4.1,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C[C@H](C[C@H](N)C(=O)O)C(=O)O,-0.06,%,Inhibition,'=',,CHEMBL288166,161.16,-0.49,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0.15,%,Inhibition,'=',,CHEMBL110,260.25,1.11,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O.[Na+].[Na+],-0.01,%,Inhibition,'=',,CHEMBL1520188,288.86,0.43,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C=CCNc1c(O)cc2c(O)c1C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)N2,-0.07,%,Inhibition,'=',,CHEMBL1184904,587.71,4.16,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCC(CC)n1ccc2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(C#N)cc21,-0.09,%,Inhibition,'=',,CHEMBL3414574,390.49,4.11,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
COc1cccc(C#Cc2cccc(C)n2)c1,-0.15,%,Inhibition,'=',,CHEMBL332397,223.28,2.8,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,-0.18,%,Inhibition,'=',,CHEMBL259728,270.72,1.85,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCOc1cc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc(Cl)c1OCC(=O)OC,-0.12,%,Inhibition,'=',,CHEMBL4303491,428.87,4.1,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1noc(-c2ccc(-c3ccc(CC(=O)O)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,-0.14,%,Inhibition,'=',,CHEMBL2182052,456.5,6.25,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
