Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21.Cl,5000.0,nM,IC50,'=',5.3,CHEMBL1773160,523.17,6.06,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,,,Activity,,,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,100.0,nM,EC50,'=',7.0,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,23.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,207.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,1.0,,log10cfu,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,1.0,,log10cfu,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
Nc1nccc2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,74.1,uM,EC90,'=',,CHEMBL3753637,262.27,-0.8,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCC1,420.0,nM,EC50,'=',6.38,CHEMBL4065821,572.51,1.43,CHEMBL4434621,Ebolavirus,Ebolavirus
C#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(N[C@@H](C)C(=O)OCC(CC)CC)Oc2ccccc2)[C@@H](O)[C@H]1O,3900.0,nM,EC50,'=',5.41,CHEMBL4086934,601.6,2.42,CHEMBL4434621,Ebolavirus,Ebolavirus
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,300.0,nM,EC50,'=',6.52,CHEMBL1650595,460.46,5.76,CHEMBL4434621,Ebolavirus,Ebolavirus
Cc1[nH]c2c(CN3CC(CO)C(CN4CCCC4)C3)cccc2c1C,1000.0,nM,IC50,'=',6.0,CHEMBL4064522,341.5,2.92,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(C(=O)O)cc2)CC1,4000.0,nM,IC50,'=',5.4,CHEMBL2323038,559.71,4.33,CHEMBL4434621,Ebolavirus,Ebolavirus
N#Cc1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,4400.0,nM,IC50,'=',5.36,CHEMBL2323034,540.71,4.5,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccncc2)CC1,14500.0,nM,IC50,'=',4.84,CHEMBL2323056,410.56,2.45,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(F)cc2)CC1,20000.0,nM,EC50,'>',,CHEMBL5584196,379.48,3.99,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(Cl)cc2)CC1,1380.0,nM,EC50,'=',5.86,CHEMBL5591525,395.93,4.51,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,0.8,%,Inhibition,'>=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,,,Activity,,,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,60.0,%,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,,,Activity,,,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,237.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,54.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,87.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,67.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,97.0,%,Inhibition,'=',,CHEMBL359744,579.99,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,99.0,%,Inhibition,'=',,CHEMBL123,246.31,4.49,CHEMBL4434621,Ebolavirus,Ebolavirus
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21.Cl.Cl,99.0,%,Inhibition,'=',,CHEMBL493439,553.57,4.94,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,7.8,,Ratio IC50,'=',,CHEMBL5595960,321.5,4.26,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1OC(=O)CCN1CCOCC1,34000.0,nM,IC50,'>',,CHEMBL5595942,295.42,2.47,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OCC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,20420.0,nM,EC50,'=',4.69,CHEMBL4069927,569.51,-0.64,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(Nc1cccc(Cl)c1)c1ccc(-c2ccccc2)s1,75.0,%,Activity,'<',,CHEMBL5613019,313.81,5.32,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(c1ccc(-c2ccccc2)s1)N1CCCC1,75.0,%,Activity,'<',,CHEMBL5613473,257.36,3.65,CHEMBL4434621,Ebolavirus,Ebolavirus
CC(C)(C)OC(=O)N1CCC(Oc2cccc(-c3ccc(C(=O)Nc4ccccc4)s3)c2)CC1,38.0,%,Activity,'=',,CHEMBL5613399,478.61,6.45,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(NCCc1ccccc1)c1ccc(-c2ccccc2OC2CCNCC2)s1,5200.0,nM,EC50,'=',5.28,CHEMBL5613813,406.55,4.52,CHEMBL4434621,Ebolavirus,Ebolavirus
