Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CNc1ccc2c(c1)ncn2-c1ccc(OC)cc1,,,Activity,,,CHEMBL2323111,253.31,3.08,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,2.0,,FC,'=',,CHEMBL2314859,371.48,5.77,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CCOc1ccc(Cn2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,1600.0,nM,EC50,'=',5.8,CHEMBL2314868,386.5,5.05,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)nc1,0.98,nM,EC50,'=',9.01,CHEMBL2315151,373.46,4.39,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)ccc32)cc1,69.0,nM,EC50,'=',7.16,CHEMBL2315139,370.5,6.2,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,%,Inhibition,,,CHEMBL2323039,573.73,4.42,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CCOc1ccc(-n2cnc3cc(/N=C/c4ccc(CC)cc4)cnc32)cc1,4300.0,nM,EC50,'=',5.37,CHEMBL2314867,370.46,5.13,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(-n2cnc3cc(NCc4ccccc4OC)ccc32)cc1,460.0,nM,EC50,'=',6.34,CHEMBL2322815,359.43,4.65,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(C(=O)N2CC(=O)N(Cc3ccc(C)cc3)C(CCc3ccccc3)C2)cc1,400.0,nM,IC50,'=',6.4,CHEMBL559853,442.56,4.49,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
Cc1ccc(CN2C(=O)CN(C(=O)c3cc4ccccc4o3)C[C@@H]2Cc2ccccc2)cc1,200.0,nM,IC50,'=',6.7,CHEMBL564725,438.53,4.84,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cn1,9.0,nM,EC50,'=',8.05,CHEMBL2315150,373.46,4.39,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(-n2cnc3cc(NCc4ccc(Oc5ccccc5)cc4)ccc32)cc1,380.0,nM,EC50,'=',6.42,CHEMBL2322804,421.5,6.44,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(Oc3ccccc3)cc2)cc1,130.0,nM,EC50,'=',6.89,CHEMBL2322788,433.56,7.55,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,1.4,nM,EC50,'=',8.85,CHEMBL2314859,371.48,5.77,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,63.0,%,Activity,'=',,CHEMBL2314859,371.48,5.77,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CC(C)c1ccc(CNc2ccc3ncn(-c4ccc(OC(C)(C)C)cc4)c3c2)cc1,180.0,nM,EC50,'=',6.75,CHEMBL2322825,413.57,6.94,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
