Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2cccnc2)CC1,38600.0,nM,EC50,'=',4.41,CHEMBL5593581,362.48,3.25,CHEMBL4296577,Marburgvirus,Marburgvirus
CN(C)C1CCN(C(=O)c2cc3occc3n2Cc2ccc(Cl)cc2)CC1,7960.0,nM,EC50,'=',5.1,CHEMBL5593153,385.9,4.1,CHEMBL4296577,Marburgvirus,Marburgvirus
CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(F)cc2)CC1,20000.0,nM,EC50,'>',,CHEMBL5584196,379.48,3.99,CHEMBL4296577,Marburgvirus,Marburgvirus
CC(C)N1CCN(C(=O)c2cc3sccc3n2Cc2ccc(Cl)cc2)CC1,32800.0,nM,EC50,'=',4.48,CHEMBL5593168,401.96,4.57,CHEMBL4296577,Marburgvirus,Marburgvirus
CC1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,1.6,,Ratio IC50,'=',,CHEMBL5595960,321.5,4.26,CHEMBL4296577,Marburgvirus,Marburgvirus
Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,3000.0,nM,EC50,'=',5.52,CHEMBL1236524,265.27,-1.73,CHEMBL4296577,Marburgvirus,Marburgvirus
CCN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,30100.0,nM,IC50,'=',4.52,CHEMBL5592994,308.47,2.38,CHEMBL4296577,Marburgvirus,Marburgvirus
O=C(NCCN1CCC1)c1cc2occc2n1Cc1cccc(C(F)(F)F)c1,6220.0,nM,EC50,'=',5.21,CHEMBL5595813,391.39,3.74,CHEMBL4296577,Marburgvirus,Marburgvirus
CN(C)C1CCN(C(=O)c2cc3occc3n2Cc2ccc(F)cc2)CC1,11400.0,nM,EC50,'=',4.94,CHEMBL5593540,369.44,3.59,CHEMBL4296577,Marburgvirus,Marburgvirus
CN(C)C1CCN(C(=O)c2cc3occc3n2C(=O)OCc2ccccc2)CC1,29800.0,nM,EC50,'=',4.53,CHEMBL5594239,395.46,3.59,CHEMBL4296577,Marburgvirus,Marburgvirus
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1810.0,nM,IC50,'=',5.74,CHEMBL83,371.52,6.0,CHEMBL4296577,Marburgvirus,Marburgvirus
Nc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1450.0,nM,IC50,'=',5.84,CHEMBL226329,460.6,6.51,CHEMBL4296577,Marburgvirus,Marburgvirus
