molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL4873981,Nc1ncc(Br)c2c1ncn2[C@H]1C(F)=C[C@H](O)[C@@H]1O,C11H10BrFN4O2,ZNSOHSBEXPSDBY-JUWDTYFHSA-N,"InChI=1S/C11H10BrFN4O2/c12-4-2-15-11(14)7-8(4)17(3-16-7)9-5(13)1-6(18)10(9)19/h1-3,6,9-10,18-19H,(H2,14,15)/t6-,9-,10-/m0/s1",329.13,Unknown,,,,Activity,,0.91,97.19,6,3,1,0.72,19,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435314,CC(=O)Nc1ccc(/C(C)=N/NC(=O)[C@@H]2C[C@H]2c2ccccc2)cc1,C20H21N3O2,KWTRHSBWDVUTFD-NURUNYDYSA-N,"InChI=1S/C20H21N3O2/c1-13(15-8-10-17(11-9-15)21-14(2)24)22-23-20(25)19-12-18(19)16-6-4-3-5-7-16/h3-11,18-19H,12H2,1-2H3,(H,21,24)(H,23,25)/b22-13+/t18-,19+/m0/s1",335.41,Small molecule,2.6,nM,'=',EC50,8.59,3.29,70.56,3,2,5,0.65,25,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435301,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc(O)c1,C18H18N2O2,HTONCCQQHBTQJD-LJNFXEMMSA-N,"InChI=1S/C18H18N2O2/c1-12(14-8-5-9-15(21)10-14)19-20-18(22)17-11-16(17)13-6-3-2-4-7-13/h2-10,16-17,21H,11H2,1H3,(H,20,22)/b19-12+/t16-,17+/m0/s1",294.35,Small molecule,94.0,nM,'=',EC50,7.03,3.04,61.69,3,2,4,0.67,22,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435194,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(N)cc1,C18H19N3O,UTJKYRAPRVJEJK-QWSZEGLUSA-N,"InChI=1S/C18H19N3O/c1-12(13-7-9-15(19)10-8-13)20-21-18(22)17-11-16(17)14-5-3-2-4-6-14/h2-10,16-17H,11,19H2,1H3,(H,21,22)/b20-12+/t16-,17+/m0/s1",293.37,Small molecule,19000.0,nM,'=',EC50,4.72,2.91,67.48,3,2,4,0.52,22,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435316,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc(NC(=O)c2cccs2)c1,C23H21N3O2S,WBORKBCEWXYDQS-GILQPYTJSA-N,"InChI=1S/C23H21N3O2S/c1-15(25-26-22(27)20-14-19(20)16-7-3-2-4-8-16)17-9-5-10-18(13-17)24-23(28)21-11-6-12-29-21/h2-13,19-20H,14H2,1H3,(H,24,28)(H,26,27)/b25-15+/t19-,20+/m0/s1",403.51,Small molecule,6300.0,nM,'=',EC50,5.2,4.64,70.56,4,2,6,0.46,29,3,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435304,COc1ccc(/C(C)=N/NC(=O)[C@@H]2C[C@H]2c2ccccc2)cc1,C19H20N2O2,QWAKBPPGUAGKLN-QDRDOIMASA-N,"InChI=1S/C19H20N2O2/c1-13(14-8-10-16(23-2)11-9-14)20-21-19(22)18-12-17(18)15-6-4-3-5-7-15/h3-11,17-18H,12H2,1-2H3,(H,21,22)/b20-13+/t17-,18+/m0/s1",308.38,Small molecule,4.0,nM,'=',EC50,8.4,3.34,50.69,3,1,5,0.68,23,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4858248,Cc1cc2ncc(-c3ccc(OC(C)C)cc3)n2cc1-c1ccc(OC(C)C)cc1,C26H28N2O2,MJQQLLCMNOALHJ-UHFFFAOYSA-N,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-16-28-25(15-27-26(28)14-19(24)5)21-8-12-23(13-9-21)30-18(3)4/h6-18H,1-5H3",400.52,Unknown,0.42,nM,'=',EC50,9.38,6.55,35.76,4,0,6,0.37,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2435322,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccc(C(C)(C)C)cc1)c1ccc(F)cc1,C22H25FN2O,MYJOHEAQVGLUIX-MJEARJAWSA-N,"InChI=1S/C22H25FN2O/c1-14(15-7-11-18(23)12-8-15)24-25-21(26)20-13-19(20)16-5-9-17(10-6-16)22(2,3)4/h5-12,19-20H,13H2,1-4H3,(H,25,26)/b24-14+/t19-,20+/m0/s1",352.45,Small molecule,16.0,nM,'=',EC50,7.8,4.77,41.46,2,1,4,0.63,26,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4856859,CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)(C)C)cc4)n3c2)cc1,C26H28N2O2,DMFIQDLSZGCTCA-UHFFFAOYSA-N,"InChI=1S/C26H28N2O2/c1-18(2)29-22-11-6-19(7-12-22)21-10-15-25-27-16-24(28(25)17-21)20-8-13-23(14-9-20)30-26(3,4)5/h6-18H,1-5H3",400.52,Unknown,0.4,nM,'=',EC50,9.4,6.63,35.76,4,0,5,0.38,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4860136,CC(C)Oc1ccc(-c2ccc3ncn(-c4ccc(OC(C)C)cc4)c3c2)cc1,C25H26N2O2,BDRNXXWLNZTHNA-UHFFFAOYSA-N,"InChI=1S/C25H26N2O2/c1-17(2)28-22-10-5-19(6-11-22)20-7-14-24-25(15-20)27(16-26-24)21-8-12-23(13-9-21)29-18(3)4/h5-18H,1-4H3",386.5,Unknown,0.82,nM,'=',EC50,9.09,6.27,36.28,4,0,6,0.39,29,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4854274,Cc1cc2nnn(-c3ccc(OC(C)C)cc3)c2cc1-c1ccc(OC(C)C)cc1,C25H27N3O2,IJAGCCFYWICABV-UHFFFAOYSA-N,"InChI=1S/C25H27N3O2/c1-16(2)29-21-10-6-19(7-11-21)23-15-25-24(14-18(23)5)26-27-28(25)20-8-12-22(13-9-20)30-17(3)4/h6-17H,1-5H3",401.51,Unknown,1.05,nM,'=',EC50,8.98,5.97,49.17,5,0,6,0.4,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL5275097,Nc1nc(F)cc2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,C12H13FN4O3,UANVWGLISKDHSO-ORCOQGSOSA-N,"InChI=1S/C12H13FN4O3/c13-8-2-6-9(12(14)16-8)15-4-17(6)7-1-5(3-18)10(19)11(7)20/h1-2,4-5,10-11,18-20H,3H2,(H2,14,16)/t5-,10-,11+/m1/s1",280.26,,,,,Activity,,-0.66,117.42,7,4,2,0.54,20,2,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4858248,Cc1cc2ncc(-c3ccc(OC(C)C)cc3)n2cc1-c1ccc(OC(C)C)cc1,C26H28N2O2,MJQQLLCMNOALHJ-UHFFFAOYSA-N,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-16-28-25(15-27-26(28)14-19(24)5)21-8-12-23(13-9-21)30-18(3)4/h6-18H,1-5H3",400.52,Unknown,3.3,nM,'<',EC50,,6.55,35.76,4,0,6,0.37,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4871373,Cc1cc2ncn(-c3ccc(OC(C)C)cc3)c2cc1-c1ccc(OC(C)C)cc1,C26H28N2O2,XOENKEVKXQUPAY-UHFFFAOYSA-N,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-15-26-25(14-19(24)5)27-16-28(26)21-8-12-23(13-9-21)30-18(3)4/h6-18H,1-5H3",400.52,Unknown,3.3,nM,'<',EC50,,6.58,36.28,4,0,6,0.37,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4862268,CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(F)cc4)cn23)cc1,C22H19FN2O,YVHUFJVGRIHUOK-UHFFFAOYSA-N,"InChI=1S/C22H19FN2O/c1-15(2)26-20-10-5-17(6-11-20)21-13-24-22-12-7-18(14-25(21)22)16-3-8-19(23)9-4-16/h3-15H,1-2H3",346.41,Unknown,25.0,nM,'>',EC50,,5.59,26.53,3,0,4,0.48,26,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4864023,CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(C5(N)CC5)cc4)cn23)cc1,C25H25N3O,DKAXUDHRUOOIBY-UHFFFAOYSA-N,"InChI=1S/C25H25N3O/c1-17(2)29-22-10-5-19(6-11-22)23-15-27-24-12-7-20(16-28(23)24)18-3-8-21(9-4-18)25(26)13-14-25/h3-12,15-17H,13-14,26H2,1-2H3",383.5,Unknown,7.97,nM,'=',EC50,8.1,5.4,52.55,4,1,5,0.5,29,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4851799,Cc1c(-c2ccc(OC(C)C)cc2)ccc2ncc(-c3ccc(OC(C)C)cc3)n12,C26H28N2O2,LWYVDJMXIIPESS-UHFFFAOYSA-N,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-14-15-26-27-16-25(28(26)19(24)5)21-8-12-23(13-9-21)30-18(3)4/h6-18H,1-5H3",400.52,Unknown,0.32,nM,'=',EC50,9.49,6.55,35.76,4,0,6,0.37,30,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL4865600,CC(C)Oc1ccc(-c2cc3c(cn2)ncn3-c2ccc(OC(C)C)cc2)cc1,C24H25N3O2,GKMZXKPJYMPHIH-UHFFFAOYSA-N,"InChI=1S/C24H25N3O2/c1-16(2)28-20-9-5-18(6-10-20)22-13-24-23(14-25-22)26-15-27(24)19-7-11-21(12-8-19)29-17(3)4/h5-17H,1-4H3",387.48,Unknown,17.75,nM,'=',EC50,7.75,5.66,49.17,5,0,6,0.43,29,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
