molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL1632512,O=C(N/N=C/c1ccc(Br)s1)c1cc(-c2ccccc2)nc2ccccc12,C21H14BrN3OS,CVSXBKGZKGKMHH-YDZHTSKRSA-N,"InChI=1S/C21H14BrN3OS/c22-20-11-10-15(27-20)13-23-25-21(26)17-12-19(14-6-2-1-3-7-14)24-18-9-5-4-8-16(17)18/h1-13H,(H,25,26)/b23-13+",436.33,Small molecule,5.0,%,'=',Inhibition,,5.49,54.35,4.0,1.0,4.0,0.34,27.0,4.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631748,O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1,C23H17ClN4O2S2,MCVUVXZGPCCVIY-DHRITJCHSA-N,"InChI=1S/C23H17ClN4O2S2/c24-15-7-9-17(10-8-15)31-14-20-18(13-25-12-16-4-3-11-30-16)22(29)28(27-20)23-26-19-5-1-2-6-21(19)32-23/h1-11,13,27H,12,14H2/b25-13+",481.0,Small molecule,1.3,nM,'=',EC50,8.89,5.93,76.18,7.0,1.0,7.0,0.23,32.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631748,O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1,C23H17ClN4O2S2,MCVUVXZGPCCVIY-DHRITJCHSA-N,"InChI=1S/C23H17ClN4O2S2/c24-15-7-9-17(10-8-15)31-14-20-18(13-25-12-16-4-3-11-30-16)22(29)28(27-20)23-26-19-5-1-2-6-21(19)32-23/h1-11,13,27H,12,14H2/b25-13+",481.0,Small molecule,,%,,Inhibition,,5.93,76.18,7.0,1.0,7.0,0.23,32.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631618,O=C(NCc1cccs1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1,C20H18N4O3S3,JAWWTEWTINNUOD-UHFFFAOYSA-N,"InChI=1S/C20H18N4O3S3/c25-20(21-13-15-7-4-10-28-15)19(11-14-5-2-1-3-6-14)24-30(26,27)16-8-9-17-18(12-16)23-29-22-17/h1-10,12,19,24H,11,13H2,(H,21,25)",458.59,Small molecule,,%,,Inhibition,,2.96,101.05,7.0,2.0,8.0,0.42,30.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631618,O=C(NCc1cccs1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1,C20H18N4O3S3,JAWWTEWTINNUOD-UHFFFAOYSA-N,"InChI=1S/C20H18N4O3S3/c25-20(21-13-15-7-4-10-28-15)19(11-14-5-2-1-3-6-14)24-30(26,27)16-8-9-17-18(12-16)23-29-22-17/h1-10,12,19,24H,11,13H2,(H,21,25)",458.59,Small molecule,,%,,Inhibition,,2.96,101.05,7.0,2.0,8.0,0.42,30.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631748,O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1,C23H17ClN4O2S2,MCVUVXZGPCCVIY-DHRITJCHSA-N,"InChI=1S/C23H17ClN4O2S2/c24-15-7-9-17(10-8-15)31-14-20-18(13-25-12-16-4-3-11-30-16)22(29)28(27-20)23-26-19-5-1-2-6-21(19)32-23/h1-11,13,27H,12,14H2/b25-13+",481.0,Small molecule,,%,,Inhibition,,5.93,76.18,7.0,1.0,7.0,0.23,32.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630965,Cc1cccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3nsnc23)n1,C21H19N5O3S2,VNONTQKRAKZLSS-UHFFFAOYSA-N,"InChI=1S/C21H19N5O3S2/c1-14-7-5-12-19(22-14)23-21(27)17(13-15-8-3-2-4-9-15)26-31(28,29)18-11-6-10-16-20(18)25-30-24-16/h2-12,17,26H,13H2,1H3,(H,22,23,27)",453.55,Small molecule,17.7,%,'=',Inhibition,,2.92,113.94,7.0,2.0,7.0,0.44,31.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630969,COc1ccc(OC)c(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3nsnc23)c1,C23H22N4O5S2,XRXDTEFHUOJVOC-UHFFFAOYSA-N,"InChI=1S/C23H22N4O5S2/c1-31-16-11-12-20(32-2)18(14-16)24-23(28)19(13-15-7-4-3-5-8-15)27-34(29,30)21-10-6-9-17-22(21)26-33-25-17/h3-12,14,19,27H,13H2,1-2H3,(H,24,28)",498.59,Small molecule,6.4,%,'=',Inhibition,,3.24,119.51,8.0,2.0,9.0,0.36,34.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630971,COc1ccccc1CNC(=O)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12,C23H22N4O4S2,TVKNYTDROWPKOJ-UHFFFAOYSA-N,"InChI=1S/C23H22N4O4S2/c1-31-20-12-6-5-10-17(20)15-24-23(28)19(14-16-8-3-2-4-9-16)27-33(29,30)21-13-7-11-18-22(21)26-32-25-18/h2-13,19,27H,14-15H2,1H3,(H,24,28)",482.59,Small molecule,4.8,%,'=',Inhibition,,2.91,110.28,7.0,2.0,9.0,0.38,33.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630974,CC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12)c1ccccc1,C23H22N4O3S2,GOFHVGGJWGZKNS-UHFFFAOYSA-N,"InChI=1S/C23H22N4O3S2/c1-16(18-11-6-3-7-12-18)24-23(28)20(15-17-9-4-2-5-10-17)27-32(29,30)21-14-8-13-19-22(21)26-31-25-19/h2-14,16,20,27H,15H2,1H3,(H,24,28)",466.59,Small molecule,2.0,%,'=',Inhibition,,3.46,101.05,6.0,2.0,8.0,0.41,32.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630977,O=C(NCCC1=CCCCC1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12,C23H26N4O3S2,METJUBVMEMFKJX-UHFFFAOYSA-N,"InChI=1S/C23H26N4O3S2/c28-23(24-15-14-17-8-3-1-4-9-17)20(16-18-10-5-2-6-11-18)27-32(29,30)21-13-7-12-19-22(21)26-31-25-19/h2,5-8,10-13,20,27H,1,3-4,9,14-16H2,(H,24,28)",470.62,Small molecule,0.0,%,'=',Inhibition,,3.59,101.05,6.0,2.0,9.0,0.47,32.0,3.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630986,Cc1ccc(Cl)cc1NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12,C25H22ClN3O3S,DQMPOYKINIAFBE-UHFFFAOYSA-N,"InChI=1S/C25H22ClN3O3S/c1-17-12-13-20(26)16-21(17)28-25(30)22(15-18-7-3-2-4-8-18)29-33(31,32)23-11-5-9-19-10-6-14-27-24(19)23/h2-14,16,22,29H,15H2,1H3,(H,28,30)",479.99,Small molecule,14.0,%,'=',Inhibition,,4.72,88.16,4.0,2.0,7.0,0.4,33.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630990,COc1ccc(Cl)cc1NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12,C25H22ClN3O4S,PHDNRMIXEXGLFJ-UHFFFAOYSA-N,"InChI=1S/C25H22ClN3O4S/c1-33-22-13-12-19(26)16-20(22)28-25(30)21(15-17-7-3-2-4-8-17)29-34(31,32)23-11-5-9-18-10-6-14-27-24(18)23/h2-14,16,21,29H,15H2,1H3,(H,28,30)",495.99,Small molecule,8.0,%,'=',Inhibition,,4.43,97.39,5.0,2.0,8.0,0.38,34.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
