chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL2322784,,,Small molecule,,397.57,1,1,7.06,29.85,3,1,1,5,N,0.39,4,MOL,-1,30,-1.49,C27H31N3,CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(C(C)(C)C)cc2)cc1,LAMFXYORUSJJHT-UHFFFAOYSA-N,"InChI=1S/C27H31N3/c1-19(2)21-8-6-20(7-9-21)17-28-23-12-15-26-25(16-23)29-18-30(26)24-13-10-22(11-14-24)27(3,4)5/h6-16,18-19,28H,17H2,1-5H3",False,-1,['6d'],['1-(4-tert-butylphenyl)-N-(4-isopropylbenzyl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2435297,,,Small molecule,,357.25,1,1,4.09,41.46,2,1,0,4,N,0.65,2,MOL,-1,22,-1.14,C18H17BrN2O,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(Br)cc1,BRYQZWFFSUNEHV-QWSZEGLUSA-N,"InChI=1S/C18H17BrN2O/c1-12(13-7-9-15(19)10-8-13)20-21-18(22)17-11-16(17)14-5-3-2-4-6-14/h2-10,16-17H,11H2,1H3,(H,21,22)/b20-12+/t16-,17+/m0/s1",False,-1,['3e'],"[trans-N'-(1-(4-bromophenyl)ethylidene)-2-phenylcyclopropanecarbohydrazide""]"""
CHEMBL2435193,,,Small molecule,,232.28,1,1,1.95,50.69,3,1,0,4,N,0.64,1,MOL,-1,17,-1.61,C13H16N2O2,COc1cccc(/C(C)=N/NC(=O)C2CC2)c1,YRRLXOFMMCGXMV-NTEUORMPSA-N,"InChI=1S/C13H16N2O2/c1-9(14-15-13(16)10-6-7-10)11-4-3-5-12(8-11)17-2/h3-5,8,10H,6-7H2,1-2H3,(H,15,16)/b14-9+",False,-1,['5a'],"[N'-(1-(3-methoxyphenyl)ethylidene)cyclopropanecarbohydrazide""]"""
CHEMBL2322791,,,Small molecule,,358.45,1,1,4.6,51.97,5,1,0,6,N,0.55,4,MOL,-1,27,-1.85,C22H22N4O,CCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)nc2)cc1,RAUKTMKCVQXPNQ-UHFFFAOYSA-N,"InChI=1S/C22H22N4O/c1-3-16-4-6-17(7-5-16)13-23-18-8-10-21-20(12-18)25-15-26(21)19-9-11-22(27-2)24-14-19/h4-12,14-15,23H,3,13H2,1-2H3",False,-1,['6k'],['N-(4-ethylbenzyl)-1-(6-methoxypyridin-3-yl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2322803,,,Small molecule,,419.53,1,1,6.24,39.08,4,1,1,7,N,0.34,5,MOL,-1,32,-1.16,C28H25N3O,COc1ccc(-n2cnc3cc(NCc4ccc(Cc5ccccc5)cc4)ccc32)cc1,COTZCPBVWGWTME-UHFFFAOYSA-N,"InChI=1S/C28H25N3O/c1-32-26-14-12-25(13-15-26)31-20-30-27-18-24(11-16-28(27)31)29-19-23-9-7-22(8-10-23)17-21-5-3-2-4-6-21/h2-16,18,20,29H,17,19H2,1H3",False,-1,['7h'],['N-(4-benzylbenzyl)-1-(4-methoxyphenyl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2322800,,,Small molecule,,401.51,1,1,5.83,48.31,5,1,1,9,N,0.36,4,MOL,-1,30,-1.33,C25H27N3O2,CCCCOc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,YWIKFVDYPOKCMP-UHFFFAOYSA-N,"InChI=1S/C25H27N3O2/c1-3-4-15-30-23-10-5-19(6-11-23)17-26-20-7-14-25-24(16-20)27-18-28(25)21-8-12-22(29-2)13-9-21/h5-14,16,18,26H,3-4,15,17H2,1-2H3",False,-1,['7e'],['N-(4-butoxybenzyl)-1-(4-methoxyphenyl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2315139,,,Small molecule,,370.5,1,1,6.2,26.19,3,1,1,7,N,0.42,4,MOL,-1,28,-1.35,C25H26N2O,CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)ccc32)cc1,YAZYNFTXSMINHB-UHFFFAOYSA-N,"InChI=1S/C25H26N2O/c1-3-19-5-7-20(8-6-19)18-26-22-9-14-25-21(17-22)15-16-27(25)23-10-12-24(13-11-23)28-4-2/h5-17,26H,3-4,18H2,1-2H3",False,-1,['21a'],['1-(4-ethoxyphenyl)-N-(4-ethylbenzyl)-1H-indol-5-amine']
CHEMBL4874618,,,Unknown,,430.55,11,25,6.29,56.51,5,1,1,5,N,0.38,4,MOL,-1,32,-0.7,C27H30N2O3,Cc1cc2ncn(-c3ccc(OC(C)(C)C)cc3)c2cc1-c1ccc(OC(C)(C)O)cc1,JFMDUXOMXORZSY-UHFFFAOYSA-N,"InChI=1S/C27H30N2O3/c1-18-15-24-25(16-23(18)19-7-11-22(12-8-19)32-27(5,6)30)29(17-28-24)20-9-13-21(14-10-20)31-26(2,3)4/h7-17,30H,1-6H3",False,-1,['39'],['2-(4-(1-(4-tert-butoxyphenyl)-5-methyl-1H-benzo[d]imidazol-6-yl)phenoxy)propan-2-ol']
CHEMBL4854571,,,Unknown,,394.42,4,4,6.06,35.76,4,0,1,6,N,0.4,4,MOL,-1,29,-1.36,C23H20F2N2O2,CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC(F)F)cc4)cn23)cc1,JQVLSHNSQDIEEQ-UHFFFAOYSA-N,"InChI=1S/C23H20F2N2O2/c1-15(2)28-19-10-5-17(6-11-19)21-13-26-22-12-7-18(14-27(21)22)16-3-8-20(9-4-16)29-23(24)25/h3-15,23H,1-2H3",False,-1,['3e'],"['6-(4-(difluoromethoxy)phenyl)-3-(4-isopropoxyphenyl)imidazo[1,2-a]pyridine']"
CHEMBL2435318,,,Small molecule,,387.44,1,1,4.18,83.7,4,2,0,6,N,0.49,3,MOL,-1,29,-1.53,C23H21N3O3,C/C(=N\NC(=O)[C@H]1C[C@@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,YITHUUVXKHPYLM-UVBVLWFHSA-N,"InChI=1S/C23H21N3O3/c1-15(25-26-22(27)20-14-19(20)17-6-3-2-4-7-17)16-9-11-18(12-10-16)24-23(28)21-8-5-13-29-21/h2-13,19-20H,14H2,1H3,(H,24,28)(H,26,27)/b25-15+/t19-,20+/m1/s1",False,-1,['3z'],['trans-N-(4-(1-(2-(2-phenylcyclopropanecarbonyl)hydrazono)ethyl)phenyl)furan-2-carboxamide']
