reactants,products,reactionString,ruleName
COCC=C1C[C@H](CCCCO)C(O)O1.COCC=C1C[C@H](CCCCO)C(O)O1,CCC[C@H]1CC(=CCOC)OC1O.OCCCC[C@H]1CC(=CCOCCO)OC1O,COCC=C1C[C@H](CCCCO)C(O)O1.COCC=C1C[C@H](CCCCO)C(O)O1 >> CCC[C@H]1CC(=CCOC)OC1O.OCCCC[C@H]1CC(=CCOCCO)OC1O,rule0126_2
*C1=C(*)C(=O)C(*)=C(*)C1=O.CCCC[C@H]1CC(=CC(O)OC)OC1O,*c1c(*)c(O)c(*)c(*)c1O.CCCC[C@H]1CC(=CC(=O)OC)OC1O,*C1=C(*)C(=O)C(*)=C(*)C1=O.CCCC[C@H]1CC(=CC(O)OC)OC1O >> *c1c(*)c(O)c(*)c(*)c1O.CCCC[C@H]1CC(=CC(=O)OC)OC1O,rule0467_8
CCC1(CC)CC(=CCOC)OC1=O.CCC1(CC)CC(=CCOC)OC1=O,CCC1(C)CC(=CCOC)OC1=O.CCC1(CC)CC(=C(C)COC)OC1=O,CCC1(CC)CC(=CCOC)OC1=O.CCC1(CC)CC(=CCOC)OC1=O >> CCC1(C)CC(=CCOC)OC1=O.CCC1(CC)CC(=C(C)COC)OC1=O,rule0126_2
CCCC(O)[C@H]1CC(=CCOC)OC1=O.CCCC(O)[C@H]1CC(=CCOC)OC1=O,CCC(C)C(O)[C@H]1CC(=CCOC)OC1=O.CCC(O)[C@H]1CC(=CCOC)OC1=O,CCCC(O)[C@H]1CC(=CCOC)OC1=O.CCCC(O)[C@H]1CC(=CCOC)OC1=O >> CCC(C)C(O)[C@H]1CC(=CCOC)OC1=O.CCC(O)[C@H]1CC(=CCOC)OC1=O,rule0126_2
CCCC[C@H]1CC(=CCOC=O)OC1=O.O,CCCC[C@@H](CC(O)=CCOC=O)C(=O)O,CCCC[C@H]1CC(=CCOC=O)OC1=O.O >> CCCC[C@@H](CC(O)=CCOC=O)C(=O)O,rule0035_7
CCCC(O)[C@H]1CC(=CCOC)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CCCC(O)(O)[C@H]1CC(=CCOC)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCCC(O)[C@H]1CC(=CCOC)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> CCCC(O)(O)[C@H]1CC(=CCOC)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13
CCC[C@H]1CC(=CC(C)OC)OC1=O,CCC1C(=CC(C)OC)OC(=O)[C@H]1C,CCC[C@H]1CC(=CC(C)OC)OC1=O >> CCC1C(=CC(C)OC)OC(=O)[C@H]1C,rule0028_51
CCC(COC)=C1C[C@H](CC)C(=O)O1.O=C=O,CC[C@H]1CC(=C(COC)C(C)C(=O)O)OC1=O,CCC(COC)=C1C[C@H](CC)C(=O)O1.O=C=O >> CC[C@H]1CC(=C(COC)C(C)C(=O)O)OC1=O,rule0023_17
CCCC[C@H]1CC(=CC=O)OC1=O.O,CCCC(O)[C@H]1CC(=CCO)OC1=O,CCCC[C@H]1CC(=CC=O)OC1=O.O >> CCCC(O)[C@H]1CC(=CCO)OC1=O,rule0070_6
CCCC[C@H]1CC(=CC(O)OC)OC1=O,CCC1(CC)CC(=CC(O)OC)OC1=O,CCCC[C@H]1CC(=CC(O)OC)OC1=O >> CCC1(CC)CC(=CC(O)OC)OC1=O,rule0028_51
