reactants,products,reactionString,ruleName
CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1.CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1,CC(C(=O)O)=C1C[C@H](C(C)(C)C)C(=O)O1.CC[C@H]1CC(=C(C)C(=O)O)OC1=O,CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1.CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1 >> CC(C(=O)O)=C1C[C@H](C(C)(C)C)C(=O)O1.CC[C@H]1CC(=C(C)C(=O)O)OC1=O,rule0126_2
CC=C(O)C[C@@H](C(=O)O)C(C)C.O=C=O,CC(C)[C@@H](CC(O)=CCC(=O)O)C(=O)O,CC=C(O)C[C@@H](C(=O)O)C(C)C.O=C=O >> CC(C)[C@@H](CC(O)=CCC(=O)O)C(=O)O,rule0023_20
CC=C(O)C[C@@H](C(=O)O)C(C)C,CC=C1C[C@@](C(C)C)(C(O)O)O1,CC=C(O)C[C@@H](C(=O)O)C(C)C >> CC=C1C[C@@](C(C)C)(C(O)O)O1,rule0169_1
CC(=C1CCC(=O)O1)C(C)C,CCCC(C)=C1CCC(=O)O1,CC(=C1CCC(=O)O1)C(C)C >> CCCC(C)=C1CCC(=O)O1,rule0028_51
CC=C1C[C@H](CCC)C(=O)O1.O,CCC[C@H]1CC(O)(CC)OC1=O,CC=C1C[C@H](CCC)C(=O)O1.O >> CCC[C@H]1CC(O)(CC)OC1=O,rule0020_19
CC=C1C[C@H](C(C)C)C(=O)O1,CC=C1OC(=O)[C@@H](CC)C1C,CC=C1C[C@H](C(C)C)C(=O)O1 >> CC=C1OC(=O)[C@@H](CC)C1C,rule0028_51
CC=C1C[C@H](C(C)CO)C(=O)O1.CC=C1C[C@H](C(C)CO)C(=O)O1,CC=C1C[C@H](CCO)C(=O)O1.CCC=C1C[C@H](C(C)CO)C(=O)O1,CC=C1C[C@H](C(C)CO)C(=O)O1.CC=C1C[C@H](C(C)CO)C(=O)O1 >> CC=C1C[C@H](CCO)C(=O)O1.CCC=C1C[C@H](C(C)CO)C(=O)O1,rule0126_2
CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1,CC(CO)=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](CC)C(O)O1,CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1 >> CC(CO)=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](CC)C(O)O1,rule0126_2
CC=C(O)C[C@@H](C(=O)O)C(C)C,CC(=C(O)CCC(=O)O)C(C)C,CC=C(O)C[C@@H](C(=O)O)C(C)C >> CC(=C(O)CCC(=O)O)C(C)C,rule0028_47
CC=C1C[C@H](CCC)C(=O)O1.CC=C1C[C@H](CCC)C(=O)O1,C=C1C[C@H](CCC)C(=O)O1.CC=C1C[C@H](C(C)CC)C(=O)O1,CC=C1C[C@H](CCC)C(=O)O1.CC=C1C[C@H](CCC)C(=O)O1 >> C=C1C[C@H](CCC)C(=O)O1.CC=C1C[C@H](C(C)CC)C(=O)O1,rule0126_2
CC(C)[C@H]1CC(=CCO)OC1O,CC(C)C(O)C=C1CCC(O)O1,CC(C)[C@H]1CC(=CCO)OC1O >> CC(C)C(O)C=C1CCC(O)O1,rule0028_51
CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1.O,CC=C1C[C@H](C(C)C(O)C(=O)O)C(O)O1,CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1.O >> CC=C1C[C@H](C(C)C(O)C(=O)O)C(O)O1,rule0070_6
CC=C1C[C@@](C)(C(C)C)C(=O)O1.O,CC(C)[C@]1(C)CC(=CCO)OC1O,CC=C1C[C@@](C)(C(C)C)C(=O)O1.O >> CC(C)[C@]1(C)CC(=CCO)OC1O,rule0070_6
CC=C1C[C@H](C(C)(C)C)C(=O)O1.CC=C1C[C@H](C(C)(C)C)C(=O)O1,C=C1C[C@H](C(C)(C)C)C(=O)O1.CC=C1OC(=O)[C@@H](C(C)(C)C)C1C,CC=C1C[C@H](C(C)(C)C)C(=O)O1.CC=C1C[C@H](C(C)(C)C)C(=O)O1 >> C=C1C[C@H](C(C)(C)C)C(=O)O1.CC=C1OC(=O)[C@@H](C(C)(C)C)C1C,rule0126_2
CC(=C1CCC(=O)O1)C(C)C.CC(=C1CCC(=O)O1)C(C)C,CC(=C1OC(=O)CC1C(C)C)C(C)C.CC=C1CCC(=O)O1,CC(=C1CCC(=O)O1)C(C)C.CC(=C1CCC(=O)O1)C(C)C >> CC(=C1OC(=O)CC1C(C)C)C(C)C.CC=C1CCC(=O)O1,rule0126_2
CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1.N,CC=C1C[C@H](C(C)CC(N)=O)C(=O)O1.O,CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1.N >> CC=C1C[C@H](C(C)CC(N)=O)C(=O)O1.O,rule0055_2
CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1,C=C1C[C@H](C(C)CO)C(O)O1.CC=C1OC(O)[C@@H](C(C)CO)C1C,CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1 >> C=C1C[C@H](C(C)CO)C(O)O1.CC=C1OC(O)[C@@H](C(C)CO)C1C,rule0126_2
CC=C1OC(=O)[C@@H](C(C)C)C1C.CC=C1OC(=O)[C@@H](C(C)C)C1C,CC=C1OC(=O)[C@@H](C(C)C)C1(C)C.CC=C1OC(=O)[C@@H](CC)C1C,CC=C1OC(=O)[C@@H](C(C)C)C1C.CC=C1OC(=O)[C@@H](C(C)C)C1C >> CC=C1OC(=O)[C@@H](C(C)C)C1(C)C.CC=C1OC(=O)[C@@H](CC)C1C,rule0126_2
CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1,CC1CC(=O)CC=C2C[C@H]1C(=O)O2.O,CC=C1C[C@H](C(C)CC(=O)O)C(=O)O1 >> CC1CC(=O)CC=C2C[C@H]1C(=O)O2.O,rule0245_1
CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1,CC1=C2C[C@@H](C(=O)O2)C(C)CC1=O.O,CC(C(=O)O)=C1C[C@H](C(C)C)C(=O)O1 >> CC1=C2C[C@@H](C(=O)O2)C(C)CC1=O.O,rule0245_1
CCC1(O)C[C@H](C(C)C)C(=O)O1.O=C=O,CC(C)[C@H]1CC(O)(CCC(=O)O)OC1=O,CCC1(O)C[C@H](C(C)C)C(=O)O1.O=C=O >> CC(C)[C@H]1CC(O)(CCC(=O)O)OC1=O,rule0023_20
CC=C1OC(=O)[C@@H](C(C)C)C1C,CC[C@@H]1C(=O)OC(=C(C)C)C1C,CC=C1OC(=O)[C@@H](C(C)C)C1C >> CC[C@@H]1C(=O)OC(=C(C)C)C1C,rule0028_51
CC=C1C[C@H](C(C)CO)C(=O)O1.Cl,CC=C1C[C@H](C(C)CCl)C(=O)O1.O,CC=C1C[C@H](C(C)CO)C(=O)O1.Cl >> CC=C1C[C@H](C(C)CCl)C(=O)O1.O,rule0183_6
CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1,CC(CO)[C@H]1CC(=CCCO)OC1O.CC=C1C[C@H](CC)C(O)O1,CC=C1C[C@H](C(C)CO)C(O)O1.CC=C1C[C@H](C(C)CO)C(O)O1 >> CC(CO)[C@H]1CC(=CCCO)OC1O.CC=C1C[C@H](CC)C(O)O1,rule0126_2
CC=C1C[C@H](C(C)CC)C(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CCC(C)[C@H]1CC(=CCO)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CC=C1C[C@H](C(C)CC)C(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> CCC(C)[C@H]1CC(=CCO)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13
CC=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)C,C=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)(C)C,CC=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)C >> C=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)(C)C,rule0126_1
CC(C)[C@H]1CC(=CCO)OC1=O.CC(C)[C@H]1CC(=CCO)OC1=O,CC(O)C=C1C[C@H](C(C)C)C(=O)O1.CC[C@H]1CC(=CCO)OC1=O,CC(C)[C@H]1CC(=CCO)OC1=O.CC(C)[C@H]1CC(=CCO)OC1=O >> CC(O)C=C1C[C@H](C(C)C)C(=O)O1.CC[C@H]1CC(=CCO)OC1=O,rule0126_2
CC(C)=C1C[C@H](C(C)C)C(=O)O1.CC(C)=C1C[C@H](C(C)C)C(=O)O1,CC(C)=C1OC(=O)[C@@H](C(C)C)C1C.CC[C@H]1CC(=C(C)C)OC1=O,CC(C)=C1C[C@H](C(C)C)C(=O)O1.CC(C)=C1C[C@H](C(C)C)C(=O)O1 >> CC(C)=C1OC(=O)[C@@H](C(C)C)C1C.CC[C@H]1CC(=C(C)C)OC1=O,rule0126_2
CC=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)C,CC=C(O)CC(C(=O)O)(C(C)C)C(C)C.CC=C(O)CCC(=O)O,CC=C(O)C[C@@H](C(=O)O)C(C)C.CC=C(O)C[C@@H](C(=O)O)C(C)C >> CC=C(O)CC(C(=O)O)(C(C)C)C(C)C.CC=C(O)CCC(=O)O,rule0126_2
CC=C1C[C@H](C(C)(C)C(=O)O)C(=O)O1,CC1=C2C[C@@H](C(=O)O2)C(C)(C)C(O)O1,CC=C1C[C@H](C(C)(C)C(=O)O)C(=O)O1 >> CC1=C2C[C@@H](C(=O)O2)C(C)(C)C(O)O1,rule0169_1
CCC1(O)C[C@H](C(C)C)C(=O)O1.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCC1(O)C[C@H](C(C)(C)C)C(=O)O1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCC1(O)C[C@H](C(C)C)C(=O)O1.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCC1(O)C[C@H](C(C)(C)C)C(=O)O1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12
