PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,163314321,51050339,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=CC=C2)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,163317776,51039202,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2Br)Br)Br,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,163328067,51039200,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)I,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,163331597,51039201,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)I,Inactive,,,Potential missing data,Inhibition,%,Not Active
