reactants,products,reactionString,ruleName,thermo,reactionType
CC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1=O,CC(C)C(=C1CCC(=O)O1)c1ccc[nH]1,CC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1=O >> CC(C)C(=C1CCC(=O)O1)c1ccc[nH]1,rule0028_51,No_Thermo,Enzymatic
CC[C@@H](CC(O)=Cc1ccc[nH]1)C(=O)O,CC(C(O)=Cc1ccc[nH]1)[C@H](C)C(=O)O,CC[C@@H](CC(O)=Cc1ccc[nH]1)C(=O)O >> CC(C(O)=Cc1ccc[nH]1)[C@H](C)C(=O)O,rule0028_46,No_Thermo,Enzymatic
CCc1c[nH]c(C=C2CCC(=O)O2)c1,Cc1cc(C=C2CCC(=O)O2)[nH]c1C,CCc1c[nH]c(C=C2CCC(=O)O2)c1 >> Cc1cc(C=C2CCC(=O)O2)[nH]c1C,rule0028_51,No_Thermo,Enzymatic
CC[C@H]1CC(=Cc2[nH]ccc2C)OC1=O,Cc1cc[nH]c1C=C1OC(=O)[C@@H](C)C1C,CC[C@H]1CC(=Cc2[nH]ccc2C)OC1=O >> Cc1cc[nH]c1C=C1OC(=O)[C@@H](C)C1C,rule0028_51,No_Thermo,Enzymatic
CC(O)[C@H]1CC(=Cc2ccc[nH]2)OC1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,COC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CC(O)[C@H]1CC(=Cc2ccc[nH]2)OC1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> COC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0011_50,No_Thermo,Enzymatic
CCc1c[nH]c(C=C2CCC(=O)O2)c1.CCc1c[nH]c(C=C2CCC(=O)O2)c1,CCc1c[nH]c(C=C2CC(C)C(=O)O2)c1.Cc1c[nH]c(C=C2CCC(=O)O2)c1,CCc1c[nH]c(C=C2CCC(=O)O2)c1.CCc1c[nH]c(C=C2CCC(=O)O2)c1 >> CCc1c[nH]c(C=C2CC(C)C(=O)O2)c1.Cc1c[nH]c(C=C2CCC(=O)O2)c1,rule0126_2,No_Thermo,Enzymatic
Cl.O=C(O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,O.O=C(Cl)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,Cl.O=C(O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O >> O.O=C(Cl)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,rule0183_6,No_Thermo,Enzymatic
CC[C@@H](CC(O)=Cc1ccc[nH]1)C(=O)O,OC(=Cc1ccc[nH]1)C[C@@H]1CCOC1O,CC[C@@H](CC(O)=Cc1ccc[nH]1)C(=O)O >> OC(=Cc1ccc[nH]1)C[C@@H]1CCOC1O,rule0169_1,No_Thermo,Enzymatic
CCc1ccc(C=C2CCC(=O)O2)[nH]1.O,OCCc1ccc(C=C2CCC(O)O2)[nH]1,CCc1ccc(C=C2CCC(=O)O2)[nH]1.O >> OCCc1ccc(C=C2CCC(O)O2)[nH]1,rule0070_6,No_Thermo,Enzymatic
N.O=C(O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,NC(=O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.O,N.O=C(O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O >> NC(=O)CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.O,rule0055_2,No_Thermo,Enzymatic
CCC(=C1CCC(=O)O1)c1ccc[nH]1.CCC(=C1CCC(=O)O1)c1ccc[nH]1,CC(=C1CCC(=O)O1)c1ccc[nH]1.CCC(=C1CCC(=O)O1)c1cc(C)c[nH]1,CCC(=C1CCC(=O)O1)c1ccc[nH]1.CCC(=C1CCC(=O)O1)c1ccc[nH]1 >> CC(=C1CCC(=O)O1)c1ccc[nH]1.CCC(=C1CCC(=O)O1)c1cc(C)c[nH]1,rule0126_2,No_Thermo,Enzymatic
CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,CCc1cc[nH]c1C=C1CCC(=O)O1,CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O >> CCc1cc[nH]c1C=C1CCC(=O)O1,rule0028_51,No_Thermo,Enzymatic
CCC1CC(=O)OC1=Cc1ccc[nH]1.CCC1CC(=O)OC1=Cc1ccc[nH]1,CC1CC(=O)OC1=Cc1ccc[nH]1.CCCC1CC(=O)OC1=Cc1ccc[nH]1,CCC1CC(=O)OC1=Cc1ccc[nH]1.CCC1CC(=O)OC1=Cc1ccc[nH]1 >> CC1CC(=O)OC1=Cc1ccc[nH]1.CCCC1CC(=O)OC1=Cc1ccc[nH]1,rule0126_2,No_Thermo,Enzymatic
CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O,CC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1=O.C[C@H]1CC(=Cc2ccc[nH]2)OC1=O,CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O >> CC(C)[C@H]1CC(=Cc2ccc[nH]2)OC1=O.C[C@H]1CC(=Cc2ccc[nH]2)OC1=O,rule0126_2,No_Thermo,Enzymatic
CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CC(O)[C@H]1CC(=Cc2ccc[nH]2)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CC[C@H]1CC(=Cc2ccc[nH]2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> CC(O)[C@H]1CC(=Cc2ccc[nH]2)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
CC[C@]1(C)CC(=Cc2ccc[nH]2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C[C@@]1(CCO)CC(=Cc2ccc[nH]2)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CC[C@]1(C)CC(=Cc2ccc[nH]2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C[C@@]1(CCO)CC(=Cc2ccc[nH]2)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
