reactants,products,reactionString,ruleName,thermo,reactionType
CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N.CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N,CC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N.CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@@H](N)CC,CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N.CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N >> CC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N.CCC(C=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@@H](N)CC,rule0126_2,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O.C[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O,CC[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O.C[C@H](N)[C@@]1(O)C(=CCCNC=O)OC(=O)[C@H]1O,C[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O.C[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O >> CC[C@H](C=C1OC(=O)[C@@H](O)[C@@]1(O)[C@H](C)N)CNC=O.C[C@H](N)[C@@]1(O)C(=CCCNC=O)OC(=O)[C@H]1O,rule0126_2,No_Thermo,Enzymatic
C[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1.C[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1,CC[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1.C[C@@H](CNC(O)CN)C1=C2OC(=O)[C@@H](O)[C@H]2O1,C[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1.C[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1 >> CC[C@H](N)C(O)NC[C@H](C)C1=C2OC(=O)[C@@H](O)[C@H]2O1.C[C@@H](CNC(O)CN)C1=C2OC(=O)[C@@H](O)[C@H]2O1,rule0126_2,No_Thermo,Enzymatic
CCCNC(=O)[C@@](C)(N)C=C1OC(=O)[C@@H](O)[C@H]1O,C[C@](N)(C=C1OC(=O)[C@@H](O)[C@H]1O)CCCNC=O,CCCNC(=O)[C@@](C)(N)C=C1OC(=O)[C@@H](O)[C@H]1O >> C[C@](N)(C=C1OC(=O)[C@@H](O)[C@H]1O)CCCNC=O,rule0028_51,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(=O)[C@H](C)N,CC(CC=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N,C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(=O)[C@H](C)N >> CC(CC=C1OC(=O)[C@@H](O)[C@H]1O)NC(=O)[C@H](C)N,rule0028_51,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN.N.OO,C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(N)CN.O.O=O,C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN.N.OO >> C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(N)CN.O.O=O,rule0091_14,No_Thermo,Enzymatic
C[C@H](N)C(=O)NCCCC=C1OC(=O)[C@@H](O)[C@H]1O,C[C@H](N)C(O)NCC1CC=C2OC(=O)[C@@H](O)[C@H]2O1,C[C@H](N)C(=O)NCCCC=C1OC(=O)[C@@H](O)[C@H]1O >> C[C@H](N)C(O)NCC1CC=C2OC(=O)[C@@H](O)[C@H]2O1,rule0169_1,No_Thermo,Enzymatic
CC[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O.CC[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O,CC[C@@](C)(N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O.C[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O,CC[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O.CC[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O >> CC[C@@](C)(N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O.C[C@H](N)C(=O)NCCC=C1OC(=O)[C@@H](O)[C@H]1O,rule0126_2,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN,CCC(CNC(=O)CN)=C1OC(=O)[C@@H](O)[C@]1(C)O,C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN >> CCC(CNC(=O)CN)=C1OC(=O)[C@@H](O)[C@]1(C)O,rule0028_51,No_Thermo,Enzymatic
C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O.C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O,C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@]2(C)O.NCC(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O,C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O.C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O >> C[C@H](N)C(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@]2(C)O.NCC(O)NC[C@H]1C=C2OC(=O)[C@@H](OC1)[C@H]2O,rule0126_2,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@H](C)N,C[C@H](N)C(NCN)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O,C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@H](C)N >> C[C@H](N)C(NCN)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O,rule0028_51,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN,C[C@@]1(O)C2=C[C@H](CNC(O)CN)CO[C@@H]1C(=O)O2,C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)CN >> C[C@@]1(O)C2=C[C@H](CNC(O)CN)CO[C@@H]1C(=O)O2,rule0169_1,No_Thermo,Enzymatic
CNC(=O)[C@@](C)(N)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O,CNC(O)[C@@](C)(N)[C@@]1(C)C=C2OC(=O)[C@@H](O1)[C@H]2O,CNC(=O)[C@@](C)(N)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O >> CNC(O)[C@@](C)(N)[C@@]1(C)C=C2OC(=O)[C@@H](O1)[C@H]2O,rule0169_1,No_Thermo,Enzymatic
C[C@H](N)C(=O)O.C[C@H](N)C(=O)O,C[C@H](NC(O)(O)[C@H](C)N)C(=O)O,C[C@H](N)C(=O)O.C[C@H](N)C(=O)O >> C[C@H](NC(O)(O)[C@H](C)N)C(=O)O,rule0483_3,No_Thermo,Enzymatic
CCC=C1OC(=O)[C@@H](O)[C@@]1(O)CNC(=O)[C@H](C)N,CC=C1OC(=O)[C@@H](O)[C@@]1(O)CNC(=O)C(C)(C)N,CCC=C1OC(=O)[C@@H](O)[C@@]1(O)CNC(=O)[C@H](C)N >> CC=C1OC(=O)[C@@H](O)[C@@]1(O)CNC(=O)C(C)(C)N,rule0028_51,No_Thermo,Enzymatic
C[C@H](N)C(NC=O)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O,C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)C(CCN)NC=O,C[C@H](N)C(NC=O)[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O >> C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)C(CCN)NC=O,rule0028_51,No_Thermo,Enzymatic
CC[C@H](N)C(=O)NC[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O,C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)[C@H](C)N,CC[C@H](N)C(=O)NC[C@H](C)C=C1OC(=O)[C@@H](O)[C@H]1O >> C[C@H](C=C1OC(=O)[C@@H](O)[C@]1(C)O)CNC(=O)[C@H](C)N,rule0028_48,No_Thermo,Enzymatic
C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@H](C)N.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@@](C)(N)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@H](C)N.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C[C@H](C=C1OC(=O)[C@@H](O)[C@H]1O)CNC(N)[C@@](C)(N)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
