starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)(C(=CC(=O)Cc1ccc[nH]1)C(=O)O)S(=O)O,2,0.2,,0.7266072
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)(OO)C(=CC(=O)Cc1ccc[nH]1)C(=O)O,2,0.2034,,0.66187674
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)=C(C(=O)O)C(OO)C(=O)Cc1ccc[nH]1,2,0.2069,,0.8761825
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)C(=CC(=O)Cc1ccc[nH]1)C(=O)Cl,2,0.2593,,0.70015776
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)C(O)(CC(=O)Cc1ccc[nH]1)C(=O)O,2,0.2364,,0.65525764
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)C(C(=O)O)C(N)C(=O)Cc1ccc[nH]1,2,0.2364,,0.6581002
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)(Cl)C1=CC(=Cc2ccc[nH]2)OC1=O,2,0.5814,,0.95239407
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(CCl)C1=CC(=Cc2ccc[nH]2)OC1=O,2,0.7317,,0.9804628
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)(O)C(=CC(=O)Cc1ccc[nH]1)C(=O)O,2,0.2143,,0.80904317
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(C)C1(C(=O)O)OC1C(=O)Cc1ccc[nH]1,2,0.2456,,0.8431177
CC(C)C1=CC(=Cc2ccc[nH]2)OC1=O,CC(CO)C(=CC(=O)Cc1ccc[nH]1)C(=O)O,2,0.25,,0.7858906
