starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1OC(C)(O)C#N,2,0.5682,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@@H](OC(C)(O)C#N)[C@H]1O,2,0.5682,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@](C)(OC(C)=O)[C@H]1O,2,0.4667,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(=O)O[C@@H]1C(=O)OC(=CC(C)CC)[C@@H]1O,2,0.625,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C=C1OC(=O)[C@@H](OC(C)=O)[C@H]1O)CC,2,0.4651,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)(C)C=C1OC(=O)[C@@H](O)[C@H]1OC(C)=O,2,0.3617,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CC(=O)O[C@@H]1C(=O)OC(=CC(C)C(C)C)[C@@H]1O,2,0.4091,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C(C)=C1OC(=O)[C@@H](OC(C)=O)[C@H]1O,2,0.3404,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@@H](OC(C)=O)[C@]1(C)O,2,0.4043,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@@H](OC(C)=O)[C@H]1OC,2,0.5238,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C(C)=C1OC(=O)[C@@H](O)[C@H]1OC(C)=O,2,0.3696,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1C(=CC(C)CC)OC(=O)[C@H]1O,2,0.625,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCCC(C)C=C1OC(=O)[C@@H](OC(C)=O)[C@H]1O,2,0.5,
CCC(C)C=C1OC(=O)[C@@H](O)[C@H]1O,CCC(C)C=C1OC(=O)[C@](C)(O)[C@H]1OC(C)=O,2,0.4348,
