starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)C(=O)[C@H](C(=O)Cl)C(C)C,2,0.1395,,0.70688033
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(Cl)C(=O)[C@H](C(=O)O)C(C)C,2,0.1395,,0.64560354
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(Cl)=C1OC(=O)[C@H](C(C)C)C1O,2,0.2619,,0.815747
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)CC(O)(O)C(=O)[C@H](C(=O)O)C(C)C,2,0.1136,,0.8315781
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C(O)C(O)[C@H](C(=O)O)C(C)C,2,0.0952,,0.76988375
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(Cl)=C1OC(=O)[C@H](C(C)C)C1=O,2,0.4444,,0.6435246
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)OC(=O)[C@H](C(=O)O)C(C)C,2,0.1364,,0.93096614
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)C(=O)[C@H](C(=O)O)C(C)CO,2,0.1333,,0.93667245
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C(O)C(=O)[C@H](C(=O)O)C(C)C,2,0.0952,,0.97091305
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C1OC(=O)[C@H](C(C)(C)O)C1O,2,0.2222,,0.7146462
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(CO)C(O)=C1OC(=O)[C@H](C(C)C)C1O,2,0.2444,,0.6452703
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C1OC(=O)[C@H](C(C)CO)C1O,2,0.2174,,0.8460607
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,COC(=C1OC(=O)[C@H](C(C)C)C1O)C(C)C,2,0.25,,0.6935607
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)C=C(O)C(=O)[C@H](C(=O)O)C(C)C,2,0.1111,,0.6559127
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)[C@@H](C(=O)O)C(=O)C(O)=CC(C)C,2,0.1333,,0.60333717
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,COC(=CC(C)C)C(=O)[C@H](C(=O)O)C(C)C,2,0.1333,,0.76541466
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(=C(O)C(=O)[C@H](C(=O)O)C(C)C)C(C)C,2,0.093,,0.8675485
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,COC(=O)[C@@H](C(=O)C(O)=CC(C)C)C(C)C,2,0.1333,,0.63923013
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)C(O)=C1OC(=O)[C@H](C(C)C)C1O,2,0.2444,,0.5974986
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C1OC(=O)[C@H](C(C)CO)C1=O,2,0.3095,,0.87169284
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,COC(=C1OC(=O)[C@H](C(C)C)C1=O)C(C)C,2,0.4211,,0.7059568
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C1OC(=O)[C@H](C(C)(C)C)C1=O,2,0.2619,,0.72092384
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)C(O)=C1OC(=O)[C@H](C(C)C)C1=O,2,0.4103,0.2619,0.8286873
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)[C@H]1C(=O)OC(=C(O)C(C)C)C1=O,2,0.3095,,0.93336284
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)CC(O)C(=O)[C@H](C(=O)O)C(C)C,2,0.0909,,0.9894639
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)C(O)[C@H](C(=O)O)C(C)C,2,0.1429,,0.9510706
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)CC1OC(=O)[C@H](C(C)(C)O)C1O,2,0.1957,,0.98098445
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)[C@H]1C(=O)OC(CC(C)(C)O)C1O,2,0.2222,,0.96932006
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)C(O)(CC(=O)O)C(C)C,2,0.1364,,0.6922085
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C=C(O)C(N)[C@H](C(=O)O)C(C)C,2,0.1395,,0.84771466
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(=C(O)C(=O)CC(=O)O)C(C)C,2,0.0976,,0.91462564
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(C)=C(O)C(=O)[C@H](C(=O)O)C(C)C,2,0.0889,,0.85393673
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)C(O)=C1OC(=O)[C@H](C(C)C)C1O,1,0.2683,,0.6099001
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)CC(=O)C(=O)[C@H](C(=O)O)C(C)C,2,0.093,,0.93308794
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C)CC(=O)C(O)=C(C(=O)O)C(C)C,2,0.093,,0.9240571
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CCC(O)=C1OC(=O)[C@@](C)(C(C)C)C1O,2,0.1915,,0.9276097
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC(C=C(O)C(=O)[C@H](C)C(C)C)C(=O)O,2,0.119,,0.73314226
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC[C@H]1C(=O)OC(=C(O)C(C)(C)C)C1O,2,0.1739,,0.72090024
CC(C)C=C1OC(=O)[C@H](C(C)C)C1=O,CC[C@@H](C(=O)O)C(=O)C(O)=C(C)C(C)C,2,0.0909,,0.8120368
