starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](Cl)C(O)=CCC(C)C,2,0.2549,,0.9095605
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)Cl)[C@@H](O)C(O)=CCC(C)C,2,0.25,,0.875362
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C(O)C(O)CC(C)C,2,0.2353,,0.6084552
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C(O)=CCC(C)CO,2,0.2,,0.9981501
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C[C@@H](C(=O)O)[C@@H](O)C(O)=CCC(C)C,2,0.2075,,0.7570902
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC(C)CC=C(O)[C@H](O)[C@@H](CC1CO1)C(=O)O,2,0.2182,,0.9034464
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C(O)=CC(O)C(C)C,2,0.2075,,0.9946996
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CCC[C@@H](C(=O)O)[C@@H](O)C(O)=CCC(C)C,2,0.1887,,0.975779
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(O)O)[C@@H](O)C(O)=CCC(C)C,2,0.2449,,0.9313598
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C(O)CCC(C)C,2,0.2353,,0.9933043
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(N)O)[C@@H](O)C(O)=CCC(C)C,2,0.2353,,0.9664089
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(C)CC=C(O)[C@H](O)[C@@H](C)C(=O)O,2,0.2115,,0.98119444
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C(O)=CCC(C)C,1,0.26,,0.99739707
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCCC(C)CC=C(O)[C@H](O)CC(=O)O,2,0.2,,0.9304037
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(C=C(O)[C@H](O)[C@@H](C)C(=O)O)C(C)C,2,0.1509,,0.89930683
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(C[C@@H](C(=O)O)[C@@H](O)C(O)=CC)C(C)C,2,0.1481,,0.97329515
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@](C(=O)O)(C(C)C)[C@@H](O)C(O)=CC,2,0.1887,,0.80267465
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C[C@]1(C(C)C)C(O)OC(=CC)[C@@H]1O,2,0.2182,,0.93099874
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC=C1OC(=O)[C@H](CC(O)CC(C)C)[C@H]1O,2,0.4565,,0.8263935
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@H](C=CCC(C)C)OO,2,0.2453,,0.6960372
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)OO)[C@@H](O)C=CCC(C)C,2,0.2453,,0.5930165
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@](O)(CC(=O)O)C(O)=CCC(C)C,2,0.2745,,0.88208205
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC[C@@H](O)C(O)=CCC(C)CC(=O)O,2,0.2,,0.65959233
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@]1(C(C)C)C(O)OC(=C(C)O)[C@@H]1O,2,0.2407,,0.9107592
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC=C1OC(=O)[C@H](CCCO)[C@@]1(O)C(C)C,2,0.2321,,0.7122272
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(C(C)C)[C@@H](C(=O)O)[C@@H](O)C(O)=CC,2,0.1509,,0.98454267
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H]1[C@@H](O)C(=CCC(C)C)OC1(O)O,2,0.5111,,0.63379854
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(CC(C)C)[C@@H](C(=O)O)[C@@H](O)C(=C)O,2,0.1887,,0.9569184
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@](O)(C(O)=CC)C(C)C,2,0.2115,,0.89398944
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC=C(O)[C@H](O)[C@@H](CC=CC(C)C)C(=O)O,2,0.1481,,0.9880184
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC(O)(CC)[C@]1(O)C(C)C,2,0.3333,,0.847098
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(N)=O)[C@@H](O)C(O)=CCC(C)C,2,0.25,,0.76541746
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC2(OC2C)[C@]1(O)C(C)C,2,0.3269,,0.64164466
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(O)C(C)CC=C1OC(=O)C[C@H]1O,2,0.3922,,0.7760566
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCCC(C)C(O)C=C1OC(=O)C[C@H]1O,2,0.3148,,0.6253314
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)CCC(C)CC=C1OC(=O)C[C@H]1O,2,0.3333,,0.7771127
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(C(C)C)[C@H]1C(=O)OC(=C(C)O)[C@@H]1O,2,0.32,,0.9136034
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(C=C1OC(=O)C[C@H]1O)C(C)(C)O,2,0.3148,,0.8335173
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(O)CC(C)CC=C1OC(=O)C[C@H]1O,2,0.3585,,0.74223226
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C[C@]1(C(C)C)C(=O)OC(=CC)[C@@H]1O,2,0.2778,,0.7693871
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(CC(C)CO)[C@H]1C(=O)OC(=C)[C@@H]1O,2,0.3269,,0.593225
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)CC(C=C1OC(=O)C[C@H]1O)C(C)C,2,0.2727,,0.7777401
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(C=C1OC(=O)C[C@H]1O)C(C)CO,2,0.3333,,0.76273
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@]1(C(C)C)C(=O)OC(=C(C)O)[C@@H]1O,2,0.3019,,0.9205075
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(C)CC(O)=C1OC(=O)[C@H](C)[C@H]1O,2,0.3725,,0.6908558
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC(=CCO)[C@]1(O)C(C)C,2,0.3725,,0.6693702
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(O)[C@]1(C(C)C)C(=O)OC(=CC)[C@@H]1O,2,0.283,,0.6723478
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C[C@H]1C(=O)OC(=CC)[C@]1(O)C(C)C,2,0.2545,,0.7762144
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC(=C(C)O)[C@]1(O)C(C)C,2,0.3529,,0.7264036
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(O)C(C=C1OC(=O)C[C@H]1O)C(C)C,2,0.2778,,0.8749774
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C(CC(C)C)[C@H]1C(=O)OC(=C)[C@@H]1O,2,0.3137,,0.8128979
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C(O)C(C(C)C)[C@H]1C(=O)OC(=CC)[C@@H]1O,2,0.3469,,0.8314783
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](CO)[C@@H](O)C(O)=CCC(C)C,2,0.2653,,0.98351187
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C[C@@H](C(=O)O)[C@@H](O)C(O)=CCC(C)C,2,0.24,,0.99175817
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@@H](C(=O)O)[C@@H](O)C=CCC(C)C,2,0.26,,0.6285871
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(CC1OC(=O)[C@H](C)[C@H]1O)C(C)C,2,0.2885,,0.78240657
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=C1OC(=O)[C@H](C(CC)CC(C)C)[C@H]1O,2,0.32,,0.969649
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC(C(C)C(C)C)[C@@H]1O,2,0.4348,,0.8405558
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CCC(C=C1OC(=O)[C@H](C)[C@H]1O)C(C)C,2,0.3469,,0.8211079
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(CC1OC(=O)C[C@H]1O)C(C)C,2,0.3269,,0.958127
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC=C1OC(=O)[C@H](C(CC)C(C)C)[C@H]1O,2,0.3469,,0.9551955
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(C)[C@H]1C(=O)OC(CCCC)[C@@H]1O,2,0.2778,,0.991879
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,CC=C1OC(=O)[C@H](CC(C)C(C)C)[C@H]1O,2,0.4545,,0.8123884
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CCC(C)CCC1OC(=O)[C@H](C)[C@H]1O,2,0.3269,,0.9780061
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC(CC(C)C)C1OC(=O)[C@H](C)[C@H]1O,2,0.32,,0.97704107
C=CC[C@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,C=CC[C@H]1C(=O)OC(CCC(C)C)[C@@H]1O,1,0.4468,,0.8832179
