starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CCC(=O)O)C(=O)O1,2,0.38,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(C(=O)O)=C1C[C@H](CC)C(=O)O1,2,0.38,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(C=C1C[C@H](CC)C(=O)O1)C(=O)O,2,0.4681,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](C(C)C(=O)O)C(=O)O1,2,0.3019,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=CC=C1C[C@H](CC)C(=O)O1,2,0.5952,0.4048
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@@](C=C)(CC)C(=O)O1,2,0.2222,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](C(C)C=C)C(=O)O1,2,0.2941,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(C=C)=C1C[C@H](CC)C(=O)O1,2,0.383,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CCC=C)C(=O)O1,2,0.375,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(=C)C=C1C[C@H](CC)C(=O)O1,2,0.4468,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1OC(=O)[C@@H](CC)C1C=C,2,0.25,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(O)C=C1C[C@H](CC)C(O)O1,2,0.2308,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CCO)C(O)O1,2,0.1818,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,CC[C@H]1CC(=CCCO)OC1=O,2,0.4667,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(O)=C1C[C@H](CC)C(O)O1,2,0.2037,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C(O)C[C@H](CC)C(=O)O,2,0.1091,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CCC1(O)C[C@H](CC)C(=O)O1,2,0.2642,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](C(C)O)C(O)O1,2,0.1607,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC1OC12C[C@H](CC)C(=O)O2,2,0.2642,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(O)C=C1C[C@H](CC)C(=O)O1,2,0.5116,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(O)=C1C[C@H](CC)C(=O)O1,2,0.4043,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](C(C)O)C(=O)O1,2,0.2941,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,CC[C@H]1CC(=CC2CO2)OC1=O,2,0.4773,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CCO)C(=O)O1,2,0.375,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,CC=CC=C1C[C@H](CC)C(=O)O1,2,0.625,0.3261
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@@](C)(CC)C(=O)O1,2,0.25,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1OC(=O)[C@@H](CC)C1C,2,0.26,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CCC)C(=O)O1,2,0.4348,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](C(C)C)C(=O)O1,2,0.3061,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(C)=C1C[C@H](CC)C(=O)O1,2,0.375,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(C)C=C1C[C@H](CC)C(=O)O1,2,0.4667,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C[C@@]1(CC)CC(=C)OC1=O,2,0.1887,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(C=C1CCC(=O)O1)CC,2,0.2115,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(C)=C1C[C@H](C)C(=O)O1,2,0.2115,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1C[C@H](CC)C(=O)O1,1,0.561,0.1463
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(CC)=C1CCC(=O)O1,2,0.1887,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1CC(C)(C)C(=O)O1,2,0.1961,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC1C(=C)OC(=O)[C@H]1CC,2,0.24,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=C(C)C=C1C[C@H](C)C(=O)O1,2,0.26,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,CC=CC=C1C[C@H](C)C(=O)O1,2,0.3778,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC(C)[C@H]1CC(=C)OC1=O,2,0.2115,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1OC(=O)CC1CC,2,0.3333,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CC=C1OC(=O)[C@@H](C)C1C,2,0.2041,
CC[C@H]1CC(=CC=Cc2ccccc2)OC1=O,C=CCC[C@H]1CC(=C)OC1=O,2,0.26,
