starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)(O)CC=C1OC(O)[C@@H](C(C)(C)O)C1O,2,0.14,,0.82043403
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)=C(O)C(O)[C@@H](C(=O)O)C(C)C,2,0.1277,,0.67219263
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)[C@@H]1C(O)OC(=C(O)CC(C)(C)O)C1O,2,0.1569,,0.749025
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)[C@H](C(=O)O)C(O)C(O)=CCC(C)(C)O,2,0.1176,,0.9540247
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)=C(O)C(=O)[C@@H](C(=O)O)C(C)C,2,0.1304,,0.84125453
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(CO)CC(O)=C1OC(=O)[C@@H](C(C)C)C1O,2,0.2449,,0.81795144
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)[C@@H]1C(=O)OC(=C(O)CC(C)(C)O)C1O,2,0.2449,,0.7663349
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)=C1OC(=O)[C@@H](C(C)(C)O)C1O,2,0.2449,,0.7523995
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)=C1OC(=O)[C@@H](C(C)CO)C1O,2,0.2449,,0.7090484
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)[C@@H]1C(=O)OC2(OC2CC(C)(C)O)C1O,2,0.2157,,0.5934391
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(CO)CC(O)=C1OC(=O)[C@@H](C(C)C)C1=O,2,0.3953,,0.7876979
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)=C1OC(=O)[C@@H](C(C)CO)C1=O,2,0.3333,,0.6979805
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)[C@@H]1C(=O)OC(CCC(C)(C)O)C1O,2,0.2245,,0.95737284
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CC(O)C1OC(=O)[C@@H](C(C)C)C1O,2,0.2609,,0.8364072
CC(C)CC=C1OC(=O)[C@@H](C(C)C)C1=O,CC(C)CCC1OC(=O)[C@@H](C(C)(C)O)C1O,2,0.2245,,0.9805995
