pathwayId,starter_Canonical_SMILES,stepNumber,parentCanon,productCanon,tanimotoToParent,nProductCandidates,reactionIdx,ruleName,reactionString
7,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC,0.8276,1,3575,rule0011_51,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,0.807,1,3311,rule0011_50,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,0.807,1,3311,rule0011_50,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,0.807,1,3311,rule0011_50,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,0.807,1,3311,rule0011_50,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,0.7031,1,45,rule0121_1,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
9,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC,0.8421,1,6897,rule0011_50,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
10,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC,0.8421,1,2034,rule0001_90,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO.CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
11,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC,0.8421,1,2034,rule0001_90,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO.CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO >> COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1OC.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,0.717,1,8368,rule0048_5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,0.717,1,8368,rule0048_5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,0.717,1,8368,rule0048_5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,0.717,1,8368,rule0048_5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O,0.717,1,8368,rule0048_5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O
