reactants,products,reactionString,ruleName
CC(C)(C=C1CCC(=O)O1)CNC(=O)CN.N.O=C=O,CC(C)(C=C1CCC(=O)O1)CN(C(N)=O)C(=O)CN.O,CC(C)(C=C1CCC(=O)O1)CNC(=O)CN.N.O=C=O >> CC(C)(C=C1CCC(=O)O1)CN(C(N)=O)C(=O)CN.O,rule0207_7
C[C@H](N)C(O)NC(O)[C@H](C)C=C1CCC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C[C@H](C=C1CCC(=O)O1)C(O)NC(O)[C@@](C)(N)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C[C@H](N)C(O)NC(O)[C@H](C)C=C1CCC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C[C@H](C=C1CCC(=O)O1)C(O)NC(O)[C@@](C)(N)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13
CNC(=O)[C@@H](N)C[C@H](C)C=C1CCC(=O)O1,CNC1=N[C@H]1C[C@H](C)C=C1CCC(=O)O1.O,CNC(=O)[C@@H](N)C[C@H](C)C=C1CCC(=O)O1 >> CNC1=N[C@H]1C[C@H](C)C=C1CCC(=O)O1.O,rule0146_1
CC[C@H](C=C1CCC(=O)O1)CNC(=O)[C@H](C)N.O,CC[C@@H](CNC(=O)[C@H](C)N)C(O)=C1CCC(O)O1,CC[C@H](C=C1CCC(=O)O1)CNC(=O)[C@H](C)N.O >> CC[C@@H](CNC(=O)[C@H](C)N)C(O)=C1CCC(O)O1,rule0070_6
C[C@H](C=C1CCC(=O)O1)CNC(=O)[C@@](C)(N)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C[C@H](C=C1CCC(=O)O1)CNC(=O)[C@@](C)(N)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C[C@H](C=C1CCC(=O)O1)CNC(=O)[C@@](C)(N)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> C[C@H](C=C1CCC(=O)O1)CNC(=O)[C@@](C)(N)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0164_2
C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@H](N)CO,C=C1OC(=O)CC1[C@@H](C)CNC(O)[C@@H](N)CO,C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@H](N)CO >> C=C1OC(=O)CC1[C@@H](C)CNC(O)[C@@H](N)CO,rule0028_51
C[C@H](C=C1CCC(=O)O1)CNC(N)[C@H](C)N,C[C@H](N)[C@](C)(C=C1CCC(=O)O1)CNCN,C[C@H](C=C1CCC(=O)O1)CNC(N)[C@H](C)N >> C[C@H](N)[C@](C)(C=C1CCC(=O)O1)CNCN,rule0028_51
C[C@H](N)C(=O)NC[C@](C)(O)C=C1CCC(O)O1,C[C@@]1(O)C=C2CCC(OC[C@H](N)C(O)NC1)O2,C[C@H](N)C(=O)NC[C@](C)(O)C=C1CCC(O)O1 >> C[C@@]1(O)C=C2CCC(OC[C@H](N)C(O)NC1)O2,rule0169_1
C[C@H](C=C1CCC(=O)O1)CNC(=O)CN.O=C=O,C[C@@H](CNC(=O)CN)C(C(=O)O)=C1CCC(=O)O1,C[C@H](C=C1CCC(=O)O1)CNC(=O)CN.O=C=O >> C[C@@H](CNC(=O)CN)C(C(=O)O)=C1CCC(=O)O1,rule0023_17
C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@](C)(N)O.C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@](C)(N)O,CC1CC(=O)OC1=C[C@@H](C)CNC(O)[C@@](C)(N)O.C[C@](N)(O)C(O)NCCC=C1CCC(=O)O1,C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@](C)(N)O.C[C@H](C=C1CCC(=O)O1)CNC(O)[C@@](C)(N)O >> CC1CC(=O)OC1=C[C@@H](C)CNC(O)[C@@](C)(N)O.C[C@](N)(O)C(O)NCCC=C1CCC(=O)O1,rule0126_2
