Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.5002552195034335,61.874607616881704,0.7000381562997272,0.7403087049159498,0.7974214426671501
Random Forest Regressor,0.4819671130530723,62.42903108468767,0.685740333800076,0.7025321034649528,0.8077586565511201
Support Vector Regressor,0.5445334489880552,55.4581121185021,0.8836018072387112,1.0772688308223435,0.7052154538255591
Kernel Ridge Regressor,0.8720354837476634,60.32877814078096,0.7825650583527021,1.372853955469589,0.6243313473407002
K-NN Regressor,0.6697838624985815,141.38571068995103,0.9541813746591883,1.359072518210017,0.6281025088297905
Gaussian Process Regressor,0.5614763495976464,74.91523790691647,0.7230309727859503,0.838029478765296,0.770681066312805
Gradient Boosting Regressor,0.7481340017523258,97.17697323567262,0.7775246677507369,1.164249093538843,0.6814141179496811
TPOT Regressor 1,0.5153880819867563,65.02937191931782,0.712122253683042,0.7727429792446023,0.7885461066647423
TPOT Regressor 2,0.4843129289254669,65.44290214116282,0.7100534136946546,0.7387348634237966,0.7978521096805646
Ensemble Model (L1),0.5280985044896547,74.7808720951767,0.7137527035193562,0.7883309522253995,0.784280603561477
