Name,Predictions,Predictions StDev,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,[3.62621761 5.35369248 5.18834418 ... 4.74891999 2.58585252 5.20489028],,0.8019078770368174,92.73652464605244,0.9970518358446872,1.6371686066149567,0.5520041136402087
Random Forest Regressor,[4.2945563  5.5802638  5.51785943 ... 4.77954449 3.94315226 5.03777711],,0.7353513209282561,96.38518577375356,0.9205844724546905,1.388217336115612,0.6201273018305504
Support Vector Regressor,[3.93563547 5.48602912 4.14844653 ... 4.79868352 3.62876978 4.66200219],,0.7049857490181064,70.54771676279434,0.9609032315372007,1.4203399266972558,0.6113372551721608
Kernel Ridge Regressor,"[6.39283165e-09 5.25761550e+00 5.02886360e+00 ... 4.45259726e+00
 4.85798138e-14 3.50797692e+00]",,1.6875093038098696,83.45411739393839,1.8253093278772463,6.1794417928805565,-0.6909464865284642
K-NN Regressor,[5.38102475 5.9226551  5.10046353 ... 4.73910189 3.90899446 5.002     ],,0.8102197147878106,153.39759257406303,1.0547748488504765,1.769005967998387,0.515928051999603
Gaussian Process Regressor,[4.02022575 5.16781908 4.80854166 ... 4.7360915  3.714045   4.83651216],,0.7212006480489952,93.42609305806849,0.8700630578729287,1.2771400994214819,0.6505225493976732
Gradient Boosting Regressor,[4.58244672 4.83315267 4.71500063 ... 4.62378384 4.19237032 4.27500398],,0.8559416271151717,111.1266015184591,0.8896315954988033,1.524080444738314,0.5829496320871316
TPOT Regressor 1,[5.0182519  5.57259178 5.12049198 ... 4.77202749 2.80524557 5.25236984],,0.7191985464326215,91.90246258781708,0.9025582933702676,1.3318580221222456,0.635549501306567
TPOT Regressor 2,[5.26937771 5.52613424 5.14712238 ... 4.78478303 3.60149297 4.34559233],,0.7219140833370422,90.54235101658948,0.8966888542625154,1.3252108450789848,0.6373684391723762
Ensemble Model (L1),[4.36825408 5.37496703 4.90969147 ... 4.74932084 3.31570752 4.98882723],[1.13910899 1.13656423 1.13659647 ... 1.15541741 1.12215281 1.14395748],0.7061524128668848,95.59031124250296,0.8754841716950738,1.2651237650863325,0.6538107069701553
