PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103682275,44190838,CCN1C=C(C(=O)C2=C1C=CC(=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)N,Inactive,,,Potential missing data,Activity,Not Active
2,103683995,30133538,CCN1C=C(C(=O)C2=C1C=CC(=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)OC,Inactive,,,Potential missing data,Activity,Not Active
3,103683996,44190927,CCN1C=C(C(=O)C2=CC(=C(C=C21)Cl)F)C(=O)NCC3=CC=C(C=C3)OC,Inactive,,,Potential missing data,Activity,Not Active
4,103685730,44190839,CCN1C=C(C(=O)C2=C1C=CC(=C2)F)C(=O)NCC3CC3,Inactive,,,Potential missing data,Activity,Not Active
5,103685731,44190923,CCN1C=C(C(=O)C2=C1C=CC(=C2)C(F)(F)F)C(=O)NCC3CC3,Inactive,,,Potential missing data,Activity,Not Active
6,103685738,17893056,CCN1C=C(C(=O)C2=C1C=CC(=C2)C(F)(F)F)C(=O)NCC3=CC=CC=N3,Inactive,,,Potential missing data,Activity,Not Active
7,103687416,44191021,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCC(CC4)C(=O)N)F)C(=O)O,Inactive,,,Potential missing data,Activity,Not Active
8,103687545,44190837,CCN1C=C(C(=O)C2=C1C=CC(=C2)F)C(=O)NCC3=CC=C(C=C3)N,Inactive,,,Potential missing data,Activity,Not Active
9,103691000,44190929,CCN1C=C(C(=O)C2=C1C=C(C=C2)C(F)(F)F)C(=O)NC3=CC=CC=C3CO,Inactive,,,Potential missing data,Activity,Not Active
10,103692673,44191022,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCC(CC3)C(=O)OCC)F)C(=O)O,Inactive,,,Potential missing data,Activity,Not Active
11,103692824,44190924,CCN1C=C(C(=O)C2=C1C=CC(=C2)F)C(=O)NCC3=CC=CC=N3,Inactive,,,Potential missing data,Activity,Not Active
