PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103602178,44567630,C[C@H](C[C@@H]1CC[C@@H](O1)[C@@H](C)C(=O)N(C)CC2=CC=CC=C2)N3C=C(N=N3)C#CCCCC#N,Inactive,,,Potential missing data,Activity,Not Active
2,103602179,44567631,C[C@H](C[C@@H]1CC[C@@H](O1)[C@@H](C)C(=O)N(C)CC2=CC=CC=C2)N3C=C(N=N3)C#CCN(C)C,Inactive,,,Potential missing data,Activity,Not Active
3,103602182,44567634,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CC3=CC=CC=N3,Inactive,,,Potential missing data,Activity,Not Active
4,103602183,44567635,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CCN(C)CCC3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
5,103602184,44567636,CCCCN(CCCC)CC#CC1=CN(N=N1)[C@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)N(CC)CC,Inactive,,,Potential missing data,Activity,Not Active
6,103602185,44567637,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CCNCCOC,Inactive,,,Potential missing data,Activity,Not Active
7,103602186,44567638,C[C@H](C[C@@H]1CC[C@@H](O1)[C@@H](C)C(=O)NC(C)C)N2C=C(N=N2)C#CC3=CC=CC=C3[N+](=O)[O-],Inactive,,,Potential missing data,Activity,Not Active
8,103602228,44567662,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CCNC(=O)OCC3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
9,103602281,44567691,C[C@H](C[C@@H]1CC[C@@H](O1)[C@@H](C)C(=O)N(C)CC2=CC=CC=C2)N3C=C(N=N3)C#CCNCCOC,Inactive,,,Potential missing data,Activity,Not Active
10,103602282,44567692,C[C@H](C[C@@H]1CC[C@@H](O1)[C@@H](C)C(=O)N(C)CC2=CC=CC=C2)N3C=C(N=N3)C#CCNC(=O)OCC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
11,103602283,44567693,CC1=CC(=CC=C1)NC(=O)NCC#CC2=CN(N=N2)[C@H](C)C[C@@H]3CC[C@@H](O3)[C@@H](C)C(=O)N(C)CC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
12,103602284,44567694,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CCNC(=O)NC3=CC=CC(=C3)C,Inactive,,,Potential missing data,Activity,Not Active
13,103602285,44567695,CCN(CC)C(=O)[C@H](C)[C@H]1CC[C@H](O1)C[C@@H](C)N2C=C(N=N2)C#CCOC(=O)NC3=CC=CC(=C3)C,Inactive,,,Potential missing data,Activity,Not Active
