PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103552229,44442525,CC(=O)C1=CC(=CC=C1)NC(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CNC(=O)[C@H](CC(=O)N)N)C(=O)NC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CC(=O)NC5=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
2,103552230,44442526,CC(=O)C1=CC(=CC=C1)NC(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CNC(=O)[C@H](CC4=CNC5=CC=CC=C54)N)C(=O)NC[C@@H]6[C@H]([C@H]([C@@H](O6)N7C=CC(=O)NC7=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
3,103552231,44442527,C1=CC=C(C=C1)CCNC(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CNC(=O)[C@H](CC4=CNC5=CC=CC=C54)N)C(=O)NC[C@@H]6[C@H]([C@H]([C@@H](O6)N7C=CC(=O)NC7=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
4,103552232,44442528,CCCCCCNC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CNC(=O)[C@H](CC3=CNC4=CC=CC=C43)N)C(=O)NC[C@@H]5[C@H]([C@H]([C@@H](O5)N6C=CC(=O)NC6=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
5,103552234,44442529,CCCNC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CNC(=O)[C@H](CC3=CNC4=CC=CC=C43)N)C(=O)NC[C@@H]5[C@H]([C@H]([C@@H](O5)N6C=CC(=O)NC6=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
6,103552240,44442533,CCCCCCNC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)N)C(=O)NC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CC(=O)NC5=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
7,103552247,44442536,COC1=CC=C(C=C1)NC(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CNC(=O)[C@H](CC3=CC=C(C=C3)[N+](=O)[O-])N)C(=O)NC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CC(=O)NC5=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
8,103552252,44442539,CCCCCCNC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)N)C(=O)NC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CC(=O)NC5=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
9,103552258,44442545,CSCC[C@@H](C(=O)N[C@@H](CNC(=O)[C@H](CC1=CC=C(C=C1)[N+](=O)[O-])N)C(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)NCCC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
10,103552261,44442548,COC1=CC=C(C=C1)NC(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CNC(=O)[C@H](CC4=CNC5=CC=CC=C54)N)C(=O)NC[C@@H]6[C@H]([C@H]([C@@H](O6)N7C=CC(=O)NC7=O)O)O,Inactive,,,Potential missing data,Activity,Not Active
