PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent Inhibition of substrate cleavage in the presence of 10 microM test compound
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,17387931,6406850,CCSC1=NN=C(O1)C2=C(C3=C(C(=NN=C3S2)C4=CC=CC=C4)C5=CC=CC=C5)N,Active,86,,,86.1
2,17413291,702952,C1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,62,,,61.9
3,26728771,564008,C1C(N(N=C1C2=CC=C(C=C2)[N+](=O)[O-])C3=CC=CC=C3)C4=CC=CO4,Active,59,,,59.4
4,14736141,1299052,C1CC1NC(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Active,50,,,49.9
5,17507276,3153499,CS(=O)(=O)N1C(CC(=N1)C2=CC=CC=C2)C3=CC4=C(C=C3)OCO4,Active,50,,,49.5
6,49643995,2865835,COC1=CC=CC=C1N2C(CC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,48,,,48.4
7,17515427,6166749,CN1C2=CC=CC=C2N=C(C1=O)/C=C/C3=CC=CC=C3,Active,40,,,39.9
8,14731086,135474141,C1=CC=C(C=C1)/C(=C/C2=NC3=CC=CC=C3N(C2=O)C4=CC=CC=C4)/O,Active,40,,,39.8
9,26663758,1422604,C1=CC=C(C=C1)C2=NC3=NC(=CN3N=C2C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-],Active,40,,,39.6
10,4261006,2214213,C1COCCN1C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Active,39,,,38.6
11,17516648,5110696,C1=CC=C(C=C1)C(=O)NC2=CC3=NC4=CC=CC=C4N=C3C=C2,Active,39,,,38.6
12,17515758,12006136,CCOCCSC1=C(C(=C2CC/C(=C/C3=CC=CS3)/C2=N1)C4=CC=CS4)C#N,Active,37,,,37.3
13,17504331,1829912,COC1=CC(=C(C=C1)OC)C2=NC3=CC4=CC=CC=C4C=C3N=C2C5=CC=CC=C5,Active,34,,,34.1
14,24811169,16193282,CC1=C(SC(=N1)N2C(CC(=N2)C3=CC=CS3)C4=CC(=C(C=C4)OC)OC)C(=O)C.Br,Active,34,,,33.8
15,49666794,2885134,CCOC1=CC2=C(C3=C(C=C(C=C3)NCC4=CC=C(C=C4)OC)N=C2C=C1)N,Active,33,,,33.3
16,14728228,9549736,CC1=CC(=CC=C1)N2C3=C(C(=N2)C)N=C(N=N3)SC,Active,33,,,33.3
17,87349623,16193282,CC1=C(SC(=N1)N2C(CC(=N2)C3=CC=CS3)C4=CC(=C(C=C4)OC)OC)C(=O)C.Br,Active,32,,,32.3
18,24804466,2817441,C1=CC=C2C(=C1)C3=NC4=CC=CC=C4OC3=C(C2=O)Cl,Active,32,,,31.7
19,56320498,2099550,CCOC1=CC=C(C=C1)/C=C/C2=CC3=C(C(C2)(C)C)SC(=C3C#N)NC(=O)CSC4=NNC(=N4)N,Inactive,29,,,28.7
20,17506753,1005277,CC1=CC(=C2C(=C(SC2=N1)C(=O)C3=CC=C(C=C3)OC)N)C4=CC=CS4,Inactive,28,,,27.6
21,17401828,1928929,C1=CC=C2C(=C1)N=C(S2)NC(=O)C3=C(C4=C(S3)N=C(C=C4)C5=CC=CS5)N,Inactive,27,,,26.8
22,17511794,909722,C1=CC=C(C=C1)C2=NC3=NC(=C(N3N=C2)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,26,,,26.1
23,17386921,852119,CCOC(=O)C1=C2C=C(C=CN2C(=C1)C(=O)C3=CC=CS3)C(=O)C,Inactive,25,,,24.8
24,4264160,2131318,CC(C)N1C2=CC=CC=C2C3=NC4=CC=CC=C4N=C31,Inactive,25,,,24.7
25,24826351,2544769,CC1=CC=C(C=C1)C2=NC3=C(N=CC(=C3)Br)N=C2C4=CC=C(C=C4)C,Inactive,24,,,24.4
26,14742141,1272770,CC(C)(C)C(=O)C1=C(C2=C(S1)N=C(C=C2C(F)(F)F)C3=CC=CS3)N,Inactive,24,,,24.2
27,4247785,3241951,CC1=CC2=CC=CC=C2N1CCNC(=O)C3=CC=CC=C3,Inactive,24,,,24
28,85304472,2275562,COC1=CC=C(C=C1)C(=O)NC2=NC(=C(S2)C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,24,,,23.8
29,24784036,5741119,CN1C2=CC=CC=C2N=C(C1=O)/C=C/C3=CC=C(C=C3)F,Inactive,24,,,23.7
30,14740201,777010,CC(=O)C1=C(C2=C(S1)N=C(C=C2)C3=CC=CS3)N,Inactive,24,,,23.6
31,857840,659191,C1=CSC(=C1)C2=CC=C(S2)C(=O)C3=CC=CS3,Inactive,23,,,23.4
