PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,242415665,834451,C1=CC(=CC(=C1)OCC2=CC=C(C=C2)Cl)CNCC3=CC=NC=C3,Inactive,,,Potential missing data,Activity,Not Active
2,312363535,4718154,C1=CC(=CC=C1CNCC2=CC=NC=C2)OCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
3,504796292,172440751,C1=CC=C(C=C1)CNCC2=CC=CC=C2OCC3=CC=C(C=C3)Br,Inactive,,,Potential missing data,Activity,Not Active
4,504798343,49935972,C1=CC=C(C=C1)CNCC2=CC=CC=C2OCC3=CC(=CC=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
5,504809112,4718122,C1=CC=C(C(=C1)CNCC2=CC=NC=C2)OCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
6,504809603,4721377,C1=CC=C(C=C1)CNCC2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
7,504830139,4721375,C1=CC=C(C=C1)CNCC2=CC=CC=C2OCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
8,504835741,964292,C1=CC(=CN=C1)CNCC2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Activity,Not Active
