PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,160669576,57149571,C1=CC=C(C=C1)OC2=CC=CC(=C2)CCCNC(=O)/C=C(/C(=O)O)\O,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,160669577,70682284,CCCCCCCCOC1=CC=C(C=C1)/C(=C/C(=O)C(=O)O)/O,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,160691054,70690694,CCCCCCOC1=CC=CC(=C1)CCCNC(=O)/C=C(/C(=O)O)\O,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,160691055,57336498,CCCCCCOC1=CC=CC(=C1)CN2C=CC(=C(C2=O)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,160691056,70690695,CCCCCCCCCCOC1=CC=CC(=C1)CN2C=CC(=C(C2=O)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,160693269,44182294,C1=CC=C(C=C1)OC2=CC=CC(=C2)CCCNC(=O)CP(=O)(O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,160701786,70694869,C1=CC=C(C=C1)C2=CC=CC(=C2)CCCNC(=O)/C=C(/C(=O)O)\O,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,160707056,70696924,CCCCCCCCCCOC1=CC=CC(=C1)/C(=C/C(=O)C(=O)O)/O,Inactive,,,Potential missing data,Inhibition,%,Not Active
