PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103168984,60961,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Unspecified,,,Potential missing data,Activity,Non-toxic
2,103171721,6245,C1=CN(C2=NC=NC(=C21)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
3,103197668,2724387,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=S)N,Unspecified,,,Potential missing data,Activity,Non-toxic
4,103197669,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Unspecified,,,Potential missing data,Activity,Non-toxic
5,103251128,6477178,C1=CC=C(C=C1)CSC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
6,103260069,71080,C[C@H](C(=O)O)N,Unspecified,,,Potential missing data,Activity,Non-toxic
7,103267312,707035,C1=CC=C2C(=C1)NC(=S)N2,Unspecified,,,Potential missing data,Activity,Non-toxic
8,103268203,23539,CSC1=NC2=CC=CC=C2N1,Unspecified,,,Potential missing data,Activity,Non-toxic
9,103394696,1269845,C1=CNC(=S)NC1=O,Unspecified,,,Potential missing data,Activity,Non-toxic
10,103465724,102175,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
11,103503926,667490,C1=NC2=C(N1)C(=S)N=CN2,Unspecified,,,Potential missing data,Activity,Non-toxic
12,103504490,135398740,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,Unspecified,,,Potential missing data,Activity,Non-toxic
13,103510778,135398635,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,Unspecified,,,Potential missing data,Activity,Non-toxic
14,103517683,5360349,C1=NC2=C(N1)C(=NC(=N2)N)Cl,Unspecified,,,Potential missing data,Activity,Non-toxic
15,103523527,62389,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,Unspecified,,,Potential missing data,Activity,Non-toxic
16,103525156,93003,C1=NC2=C(C(=N1)Cl)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
17,103525159,9570,CSC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
18,103525161,102197,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2Cl)N,Unspecified,,,Potential missing data,Activity,Non-toxic
19,103533730,135401907,C1=NNC2=C1C(=O)NC=N2,Unspecified,,,Potential missing data,Activity,Non-toxic
20,103564522,72200,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)N,Unspecified,,,Potential missing data,Activity,Non-toxic
