PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of substrate cleavage in the presence of 10 microM test compound
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,24784332,16188405,CCC1=C2C(=CC=C1)C(CC3(N2)CCCC3)C.Cl,Active,100,,,167.3
2,26659296,2015650,CS(=O)(=O)OC1=CC2=C(C=C1)C(=O)/C(=C/C=C/C3=CC=CC=C3)/O2,Inactive,25,,,25
3,24786735,1632235,C1=CC=NC(=C1)NC(=O)CCCN2C(=O)/C(=C\C3=CC=CS3)/SC2=S,Inactive,19,,,18.8
4,17401375,4110197,CCSC(=O)CCCCCCCCCCCO,Inactive,14,,,14.5
5,855779,657297,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[N+](=O)([O-])[O-],Inactive,13,,,13.1
6,4256029,900100,C1CC2=CC=CC=C2N3C(=NC4=CC=CC=C4C3=O)C1,Inactive,12,,,12.2
7,11533048,5702129,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3.Cl,Inactive,12,,,11.9
8,24795967,706914,CCN1CCN(CC1)C(=S)C2=CC=C(C=C2)OC,Inactive,12,,,11.9
9,14730382,9550038,CC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)N[C@@H](C)C(=O)NC3CCS(=O)(=O)C3,Inactive,12,,,11.8
10,24795708,888377,CC(C)(C)N(CC1=CC=CC=C1)C(=O)C2=CC=C(O2)Br,Inactive,12,,,11.8
11,24780939,16187412,CC[N+]1(CC2CCC(C1)(C2(C)C)C)C.[I-],Inactive,12,,,11.8
12,858285,659625,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C(=O)CN4CCSCC4,Inactive,12,,,11.6
13,17412323,1567211,C1=CC=C(C=C1)COC(=O)NCC(=O)OC2=C(C=C3C(=CC(=O)OC3=C2)C4=CC=CC=C4)Cl,Inactive,12,,,11.5
14,24809246,2865127,CCOC1=CC(=C(C=C1)NC2C(C(C(C(O2)C)O)O)O)[N+](=O)[O-],Inactive,11,,,11.5
15,14743031,2024475,CCOC1=C(C=C(C=C1)CCN2C(=NC3=CC=CC=C3C2=O)C4=CC=CO4)OCC,Inactive,11,,,11.4
16,26664214,719753,CC(C)C1=CC=C(C=C1)/C=C/C(=O)O,Inactive,11,,,11
17,855828,3616,CC(=O)NCCCCCCNC(=O)C,Inactive,11,,,10.8
18,24781280,16187478,CC1=NON=C1CN(C)C(=O)C2=CC=C(C=C2)OC3CCN(CC3)C(=O)C4=CN=CC=C4,Inactive,11,,,10.7
19,855862,15209,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,Inactive,11,,,10.7
20,4244860,54693395,C1CC2=C3C(=CC=C2)C(=C(C(=O)N3C1)C4=CC=CC=C4)O,Inactive,10,,,10.4
21,855905,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Inactive,10,,,10.4
22,26658706,6881178,CC(=CCC(C)(C)/C=N/NC(=O)N)C,Inactive,10,,,10.3
23,14745507,5839534,CC1=NC(=CS1)C2=COC3=C(C2=O)C=CC(=C3CN(C)C)O,Inactive,10,,,10.3
24,24795715,2936533,CCNC(=S)N1CCN(CC1)CCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,Inactive,10,,,10.2
25,856007,54676228,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Inactive,10,,,10
26,7977147,2255695,C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC(=C(C=C2)NCCCC(=O)O)C(=O)O,Inactive,10,,,10
27,7976872,535305,CC12CN3CC(C1=O)(CN(C2)C3C4=CN=CC=C4)C,Inactive,10,,,9.9
28,11532881,4760,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Inactive,10,,,9.8
29,14734065,2898109,CC(C(=O)O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C3=CC=C(C=C3)OC,Inactive,10,,,9.7
30,14741306,950806,CCOC(=O)CN1C(=CC(=O)C2=CC=CC=C21)C,Inactive,10,,,9.6
31,24795046,2965325,COC1=CC=C(C=C1)NC(=O)CC(C2=CC=CC=C2)C3=CC=CO3,Inactive,9,,,9.1
32,7976204,2868359,CC(C)COCC1CC2(CC(OC2=O)(C)C3=CSC(=N3)N)C(=O)O1,Inactive,9,,,9.1
33,7976011,1367557,CC(C)C12CN3CC(C1=O)(CN(C2)C34C5=CC=CC=C5NC4=O)C(C)C,Inactive,9,,,9
