starter_idx,starter_smiles,status,time_seconds,error
75,CCC=C1OC(=O)[C@H](CCCCCC)[C@H]1O,scaffolded,0.0,
76,CCC=C1C[C@H](CCCC)C(=O)O1,scaffolded,0.0,
77,CCC=C1OC(=O)[C@H](CC)[C@H]1O,scaffolded,0.0,
78,CCC=C1C=C(O)C(=O)O1,scaffolded,0.0,
79,CC=C1OC(=O)[C@@H](C)[C@H]1O,scaffolded,0.0,
80,CC=C1OC(=O)[C@H](O)C1=O,scaffolded,0.0,
81,CC=C1OC(=O)CC1=O,scaffolded,0.0,
82,CC=C1C[C@H](CC)C(=O)O1,scaffolded,0.0,
83,CC=C1OC(=O)[C@H](C(C)C)[C@H]1O,scaffolded,0.0,
84,CC=C1OC(=O)[C@H](OC)[C@H]1O,scaffolded,0.0,
85,C=CC[C@@H]1C(=O)OC(=CC)[C@H]1O,scaffolded,0.0,
86,CC=C1OC(=O)[C@H](C)C1=O,scaffolded,0.0,
87,CC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
88,CC=C1OC(=O)[C@@H](C(C)C)[C@@H]1O,scaffolded,0.0,
89,CC=C1OC(=O)[C@@H](OC)[C@H]1O,scaffolded,0.0,
90,C=CC[C@@H]1C(=O)OC(=CC)[C@@H]1O,scaffolded,0.0,
91,CC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,scaffolded,0.0,
92,CC=C1OC(=O)[C@@H](C(C)C)C1=O,scaffolded,0.0,
93,CC=C1OC(=O)C[C@@H]1O,scaffolded,0.0,
94,CC=C1OC(=O)[C@@H](OC)C1=O,scaffolded,0.0,
95,CC=C1OC(=O)[C@H](CC)C1=O,scaffolded,0.0,
96,CC=C1OC(=O)C(CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
97,CC=C1OC(=O)[C@@H](CCCC)C1=O,scaffolded,0.0,
98,CC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
99,CC=C1C[C@H](CCCCCC)C(=O)O1,scaffolded,0.0,
100,CC=C1OC(=O)[C@@H](O)C1=O,scaffolded,0.0,
101,CC=C1OC(=O)[C@H](CCCC)[C@H]1O,scaffolded,0.0,
102,CC=C1OC(=O)[C@H](C(C)C)C1=O,scaffolded,0.0,
103,CC=C1C[C@H](OC)C(=O)O1,scaffolded,0.0,
104,CC=C1C[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,scaffolded,0.0,
105,CC=C1OC(=O)[C@@H](CCCCCC)[C@@H]1O,scaffolded,0.0,
106,CC=C1OC(=O)[C@@H](CC)[C@@H]1O,scaffolded,0.0,
107,CC=C1C[C@H](C)C(=O)O1,scaffolded,0.0,
108,CC=C1OC(=O)[C@@H](CCCC)[C@H]1O,scaffolded,0.0,
109,CC=C1OC(=O)[C@H](O)[C@@H]1O,scaffolded,0.0,
110,CC=C1OC(=O)[C@H](C(C)C)[C@@H]1O,scaffolded,0.0,
111,CC=C1C=C(OC)C(=O)O1,scaffolded,0.0,
112,CC=C1OC(=O)C[C@H]1O,scaffolded,0.0,
113,CC=C1OC(=O)[C@@H](CCCCCC)[C@H]1O,scaffolded,0.0,
