dir,status,n_reactions,time_seconds,error
starter_00756,failed,-1,0.0,'reactionString' column not found
starter_00757,failed,-1,0.0,'reactionString' column not found
starter_00758,failed,-1,0.0,'reactionString' column not found
starter_00759,failed,-1,0.0,'reactionString' column not found
starter_00760,success,54,4.82,
starter_00761,success,464,33.0,
starter_00762,failed,-1,0.0,'reactionString' column not found
starter_00763,failed,-1,0.0,'reactionString' column not found
starter_00764,failed,-1,0.0,'reactionString' column not found
starter_00765,success,418,31.61,
starter_00766,failed,-1,0.0,'reactionString' column not found
starter_00767,success,64,5.14,
starter_00768,failed,-1,0.0,'reactionString' column not found
starter_00769,failed,-1,0.0,'reactionString' column not found
starter_00770,failed,-1,0.0,'reactionString' column not found
starter_00771,success,43,3.74,
starter_00772,success,414,34.54,
starter_00773,failed,-1,0.0,'reactionString' column not found
starter_00774,failed,-1,0.0,'reactionString' column not found
starter_00775,success,423,32.98,
starter_00776,failed,-1,0.0,'reactionString' column not found
starter_00777,success,64,5.14,
starter_00778,failed,-1,0.0,'reactionString' column not found
starter_00779,success,17,1.27,
starter_00780,success,380,25.67,
starter_00781,failed,-1,0.0,'reactionString' column not found
starter_00782,success,64,5.21,
starter_00783,success,16,1.28,
starter_00784,failed,-1,0.0,'reactionString' column not found
starter_00785,success,418,33.38,
starter_00786,failed,-1,0.0,'reactionString' column not found
starter_00787,failed,-1,0.0,'reactionString' column not found
starter_00788,success,17,1.35,
starter_00789,success,404,34.78,
starter_00790,success,109,7.73,
starter_00791,success,8,0.74,
starter_00792,success,80,5.99,
starter_00793,success,414,32.71,
starter_00794,failed,-1,0.0,'reactionString' column not found
starter_00795,success,27,2.26,
starter_00796,success,3,0.36,
starter_00797,success,101,8.06,
starter_00798,failed,-1,0.0,'reactionString' column not found
starter_00799,failed,-1,0.0,'reactionString' column not found
starter_00800,success,27,2.15,
starter_00801,success,3,0.36,
starter_00802,failed,-1,0.0,'reactionString' column not found
starter_00803,failed,-1,0.0,'reactionString' column not found
starter_00804,success,103,9.1,
starter_00805,success,15,1.15,
starter_00806,success,398,26.78,
starter_00807,failed,-1,0.0,'reactionString' column not found
starter_00808,failed,-1,0.0,'reactionString' column not found
starter_00809,failed,-1,0.0,'reactionString' column not found
starter_00810,failed,-1,0.0,'reactionString' column not found
starter_00811,success,8,0.84,
starter_00812,failed,-1,0.0,'reactionString' column not found
starter_00813,failed,-1,0.0,'reactionString' column not found
starter_00814,success,88,7.31,
starter_00815,failed,-1,0.0,'reactionString' column not found
starter_00816,failed,-1,0.0,'reactionString' column not found
starter_00817,success,388,28.57,
starter_00818,success,90,7.49,
starter_00819,failed,-1,0.0,'reactionString' column not found
starter_00820,success,18,1.92,
starter_00821,failed,-1,0.0,'reactionString' column not found
starter_00822,success,97,7.57,
starter_00823,success,103,9.04,
starter_00824,failed,-1,0.0,'reactionString' column not found
starter_00825,success,101,7.45,
starter_00826,success,27,1.97,
starter_00827,success,109,8.93,
starter_00828,success,398,31.22,
starter_00829,failed,-1,0.0,'reactionString' column not found
starter_00830,failed,-1,0.0,'reactionString' column not found
starter_00831,success,388,26.38,
starter_00832,success,3,0.42,
starter_00833,success,15,0.45,
starter_00834,success,3,0.35,
starter_00835,success,3,0.29,
starter_00836,failed,-1,0.0,'reactionString' column not found
starter_00837,failed,-1,0.0,'reactionString' column not found
starter_00838,failed,-1,0.0,'reactionString' column not found
starter_00839,success,27,1.6,
starter_00840,success,95,8.59,
starter_00841,failed,-1,0.0,'reactionString' column not found
starter_00842,failed,-1,0.0,'reactionString' column not found
starter_00843,failed,-1,0.0,'reactionString' column not found
starter_00844,success,109,8.17,
starter_00845,success,3,0.31,
starter_00846,success,18,2.4,
starter_00847,failed,-1,0.0,'reactionString' column not found
starter_00848,failed,-1,0.0,'reactionString' column not found
starter_00849,failed,-1,0.0,'reactionString' column not found
starter_00850,success,9,1.15,
starter_00851,success,69,5.69,
starter_00852,success,3,0.32,
starter_00853,failed,-1,0.0,'reactionString' column not found
starter_00854,success,91,7.32,
starter_00855,failed,-1,0.0,'reactionString' column not found
starter_00856,success,18,1.99,
starter_00857,success,3,0.32,
starter_00858,success,388,29.14,
starter_00859,success,109,8.18,
starter_00860,failed,-1,0.0,'reactionString' column not found
starter_00861,success,18,1.77,
starter_00862,success,419,30.09,
starter_00863,failed,-1,0.0,'reactionString' column not found
starter_00864,success,109,8.75,
starter_00865,failed,-1,0.0,'reactionString' column not found
starter_00866,failed,-1,0.0,'reactionString' column not found
starter_00867,success,388,28.63,
starter_00868,success,108,8.5,
starter_00869,success,135,11.26,
starter_00870,success,118,9.71,
starter_00871,success,84,6.18,
starter_00872,success,709,50.64,
starter_00873,success,455,34.1,
starter_00874,success,139,11.68,
starter_00875,success,390,30.91,
starter_00876,success,108,7.59,
starter_00877,failed,-1,0.0,'reactionString' column not found
starter_00878,success,455,35.36,
starter_00879,success,139,11.99,
starter_00880,success,390,30.52,
starter_00881,failed,-1,0.0,'reactionString' column not found
starter_00882,success,479,36.69,
starter_00883,success,118,9.07,
starter_00884,success,99,7.58,
starter_00885,success,705,52.62,
starter_00886,failed,-1,0.0,'reactionString' column not found
starter_00887,failed,-1,0.0,'reactionString' column not found
starter_00888,failed,-1,0.0,'reactionString' column not found
starter_00889,failed,-1,0.0,'reactionString' column not found
starter_00890,success,118,7.92,
starter_00891,failed,-1,0.0,'reactionString' column not found
starter_00892,success,479,36.2,
starter_00893,success,89,8.39,
starter_00894,failed,-1,0.0,'reactionString' column not found
starter_00895,failed,-1,0.01,'reactionString' column not found
starter_00896,success,746,48.18,
starter_00897,success,97,7.86,
starter_00898,failed,-1,0.0,'reactionString' column not found
starter_00899,success,168,15.5,
starter_00900,success,455,33.14,
starter_00901,success,99,7.78,
starter_00902,success,118,9.01,
starter_00903,failed,-1,0.0,'reactionString' column not found
starter_00904,success,108,7.75,
starter_00905,success,139,10.86,
starter_00906,success,135,10.23,
starter_00907,success,705,59.68,
starter_00908,failed,-1,0.0,'reactionString' column not found
starter_00909,failed,-1,0.0,'reactionString' column not found
starter_00910,success,746,57.96,
starter_00911,success,390,23.48,
starter_00912,success,99,7.14,
starter_00913,success,421,29.84,
starter_00914,success,371,28.82,
starter_00915,failed,-1,0.0,'reactionString' column not found
starter_00916,failed,-1,0.0,'reactionString' column not found
starter_00917,failed,-1,0.0,'reactionString' column not found
starter_00918,success,139,11.87,
starter_00919,success,110,10.49,
starter_00920,failed,-1,0.0,'reactionString' column not found
starter_00921,success,434,33.54,
starter_00922,failed,-1,0.0,'reactionString' column not found
starter_00923,success,135,9.51,
starter_00924,success,421,35.11,
starter_00925,success,168,13.85,
starter_00926,failed,-1,0.0,'reactionString' column not found
starter_00927,failed,-1,0.0,'reactionString' column not found
starter_00928,failed,-1,0.0,'reactionString' column not found
starter_00929,success,130,9.07,
starter_00930,success,84,6.11,
starter_00931,success,390,29.37,
starter_00932,failed,-1,0.0,'reactionString' column not found
starter_00933,success,95,6.6,
starter_00934,success,413,30.96,
starter_00935,success,167,14.54,
starter_00936,success,366,30.35,
starter_00937,success,746,55.71,
starter_00938,success,110,7.83,
starter_00939,success,455,34.37,
starter_00940,success,167,14.57,
starter_00941,success,673,49.99,
starter_00942,failed,-1,0.0,'reactionString' column not found
starter_00943,success,135,12.46,
starter_00944,failed,-1,0.0,'reactionString' column not found
starter_00945,failed,-1,0.0,'reactionString' column not found
starter_00946,success,746,47.5,
starter_00947,success,123,9.64,
starter_00948,success,55,4.88,
starter_00949,success,51,4.9,
starter_00950,success,51,1.73,
starter_00951,success,79,3.09,
starter_00952,success,82,4.22,
starter_00953,success,58,2.85,
starter_00954,success,87,4.15,
starter_00955,success,53,1.88,
starter_00956,failed,-1,0.0,'reactionString' column not found
starter_00957,success,82,4.01,
starter_00958,success,58,2.14,
starter_00959,success,87,7.74,
starter_00960,failed,-1,0.0,'reactionString' column not found
starter_00961,success,79,3.72,
starter_00962,success,53,2.18,
starter_00963,success,55,2.19,
starter_00964,success,78,3.25,
starter_00965,failed,-1,0.0,'reactionString' column not found
starter_00966,success,96,5.91,
starter_00967,failed,-1,0.0,'reactionString' column not found
starter_00968,failed,-1,0.0,'reactionString' column not found
starter_00969,success,51,2.09,
starter_00970,success,97,5.18,
starter_00971,success,79,4.47,
starter_00972,success,57,2.67,
starter_00973,failed,-1,0.0,'reactionString' column not found
starter_00974,failed,-1,0.0,'reactionString' column not found
starter_00975,success,81,3.7,
starter_00976,success,53,1.74,
starter_00977,success,97,4.6,
starter_00978,success,53,2.27,
starter_00979,success,82,3.99,
starter_00980,success,55,2.26,
starter_00981,success,53,4.82,
starter_00982,failed,-1,0.0,'reactionString' column not found
starter_00983,success,53,1.86,
starter_00984,success,58,2.6,
starter_00985,success,55,2.17,
starter_00986,success,78,3.7,
starter_00987,failed,-1,0.0,'reactionString' column not found
starter_00988,failed,-1,0.0,'reactionString' column not found
starter_00989,success,81,4.07,
starter_00990,success,87,4.05,
starter_00991,success,55,2.45,
starter_00992,success,84,4.64,
starter_00993,success,81,4.55,
starter_00994,failed,-1,0.0,'reactionString' column not found
starter_00995,failed,-1,0.0,'reactionString' column not found
starter_00996,success,97,5.12,
starter_00997,success,58,2.58,
starter_00998,success,53,2.13,
starter_00999,success,96,4.86,
starter_01000,success,80,4.13,
starter_01001,failed,-1,0.0,'reactionString' column not found
starter_01002,success,55,2.28,
starter_01003,success,84,4.55,
starter_01004,success,53,2.12,
starter_01005,success,97,5.35,
starter_01006,failed,-1,0.0,'reactionString' column not found
starter_01007,failed,-1,0.0,'reactionString' column not found
starter_01008,success,51,1.63,
starter_01009,success,56,2.14,
starter_01010,success,87,4.97,
starter_01011,failed,-1,0.0,'reactionString' column not found
starter_01012,success,56,1.99,
starter_01013,success,76,4.25,
starter_01014,success,53,1.9,
starter_01015,success,85,4.11,
starter_01016,success,81,3.76,
starter_01017,success,51,1.67,
starter_01018,success,82,4.07,
starter_01019,success,53,1.95,
starter_01020,success,75,3.31,
starter_01021,success,91,4.51,
starter_01022,success,55,2.29,
starter_01023,failed,-1,0.0,'reactionString' column not found
starter_01024,success,96,4.89,
starter_01025,success,81,3.71,
starter_01026,success,51,1.75,
starter_01027,success,244,19.86,
starter_01028,success,112,11.5,
starter_01029,success,386,36.42,
starter_01030,success,55,4.88,
starter_01031,success,53,1.64,
starter_01032,success,97,6.85,
starter_01033,success,56,0.09,
starter_01034,success,284,19.79,
starter_01035,failed,-1,0.0,'reactionString' column not found
starter_01036,success,53,1.9,
starter_01037,success,97,7.26,
starter_01038,success,56,1.79,
starter_01039,failed,-1,0.0,'reactionString' column not found
starter_01040,success,50,0.07,
starter_01041,success,384,34.2,
starter_01042,success,113,9.24,
starter_01043,success,49,0.07,
starter_01044,failed,-1,0.0,'reactionString' column not found
starter_01045,success,79,2.9,
starter_01046,failed,-1,0.0,'reactionString' column not found
starter_01047,success,88,4.07,
starter_01048,success,112,8.62,
starter_01049,success,84,4.08,
starter_01050,success,50,1.64,
starter_01051,success,301,26.11,
starter_01052,failed,-1,0.0,'reactionString' column not found
starter_01053,success,89,4.26,
starter_01054,success,52,0.09,
starter_01055,success,619,45.66,
starter_01056,success,84,3.88,
starter_01057,success,104,8.2,
starter_01058,success,53,1.64,
starter_01059,success,305,25.07,
starter_01060,success,384,34.77,
starter_01061,success,89,4.19,
starter_01062,success,284,22.21,
starter_01063,success,97,6.83,
starter_01064,success,244,17.39,
starter_01065,success,49,0.08,
starter_01066,success,82,3.83,
starter_01067,success,87,4.54,
starter_01068,success,52,2.0,
starter_01069,success,56,0.1,
starter_01070,success,113,8.86,
starter_01071,success,53,0.07,
starter_01072,success,52,1.6,
starter_01073,failed,-1,0.0,'reactionString' column not found
starter_01074,failed,-1,0.0,'reactionString' column not found
starter_01075,success,84,3.57,
starter_01076,success,97,6.16,
starter_01077,success,375,32.11,
starter_01078,success,79,3.77,
starter_01079,success,51,1.47,
starter_01080,success,87,4.17,
starter_01081,success,244,18.54,
starter_01082,success,53,0.07,
starter_01083,success,104,6.84,
starter_01084,success,84,3.94,
starter_01085,failed,-1,0.0,'reactionString' column not found
starter_01086,success,89,3.85,
starter_01087,success,113,8.82,
starter_01088,success,935,79.75,
starter_01089,success,56,2.17,
starter_01090,failed,-1,0.0,'reactionString' column not found
starter_01091,success,953,74.22,
starter_01092,success,49,1.46,
starter_01093,success,104,6.54,
starter_01094,success,54,0.08,
starter_01095,success,52,1.81,
starter_01096,success,605,48.54,
starter_01097,success,53,1.68,
starter_01098,success,104,6.55,
starter_01099,success,52,1.73,
starter_01100,success,76,0.09,
starter_01101,success,244,19.09,
starter_01102,success,89,4.62,
starter_01103,success,82,0.09,
starter_01104,success,52,1.57,
starter_01105,success,383,29.22,
starter_01106,success,2233,168.15,
starter_01107,success,1557,122.99,
starter_01108,success,1965,148.79,
starter_01109,success,4391,239.36,
starter_01110,success,2266,131.22,
starter_01111,success,1928,157.06,
starter_01112,success,2680,154.63,
starter_01113,success,2031,122.83,
starter_01114,failed,-1,0.0,'reactionString' column not found
starter_01115,success,2266,150.49,
starter_01116,success,1928,160.11,
starter_01117,success,2680,188.69,
starter_01118,failed,-1,0.0,'reactionString' column not found
starter_01119,success,2414,169.19,
starter_01120,success,2215,142.33,
starter_01121,success,1680,91.35,
starter_01122,success,4169,237.7,
starter_01123,failed,-1,0.0,'reactionString' column not found
starter_01124,failed,-1,0.0,'reactionString' column not found
starter_01125,failed,-1,0.0,'reactionString' column not found
starter_01126,failed,-1,0.0,'reactionString' column not found
starter_01127,success,1557,107.09,
starter_01128,failed,-1,0.0,'reactionString' column not found
starter_01129,success,2414,174.06,
starter_01130,success,2279,138.69,
starter_01131,failed,-1,0.0,'reactionString' column not found
starter_01132,failed,-1,0.0,'reactionString' column not found
starter_01133,success,4296,268.0,
starter_01134,success,2150,154.44,
starter_01135,failed,-1,0.0,'reactionString' column not found
starter_01136,success,1848,147.46,
starter_01137,success,2266,141.12,
starter_01138,success,1896,142.59,
starter_01139,success,2215,136.47,
starter_01140,failed,-1,0.0,'reactionString' column not found
starter_01141,success,2031,148.72,
starter_01142,success,1928,146.43,
starter_01143,success,2233,141.81,
starter_01144,success,4169,240.92,
starter_01145,failed,-1,0.0,'reactionString' column not found
starter_01146,failed,-1,0.0,'reactionString' column not found
starter_01147,success,4296,226.51,
starter_01148,success,2680,192.71,
starter_01149,success,1680,124.6,
starter_01150,success,2843,179.72,
starter_01151,success,2321,135.33,
starter_01152,failed,-1,0.0,'reactionString' column not found
starter_01153,failed,-1,0.0,'reactionString' column not found
starter_01154,failed,-1,0.0,'reactionString' column not found
starter_01155,success,1928,105.65,
starter_01156,success,2209,162.15,
starter_01157,failed,-1,0.0,'reactionString' column not found
starter_01158,success,2267,145.21,
starter_01159,failed,-1,0.0,'reactionString' column not found
starter_01160,success,2233,179.79,
starter_01161,success,2843,209.33,
starter_01162,success,1848,146.5,
starter_01163,failed,-1,0.0,'reactionString' column not found
starter_01164,failed,-1,0.0,'reactionString' column not found
starter_01165,failed,-1,0.0,'reactionString' column not found
starter_01166,success,1581,108.94,
starter_01167,success,2151,131.72,
starter_01168,success,2680,165.13,
starter_01169,failed,-1,0.0,'reactionString' column not found
starter_01170,success,2103,147.33,
starter_01171,success,1935,128.09,
starter_01172,success,1847,102.81,
starter_01173,success,2678,189.24,
starter_01174,success,4296,238.62,
starter_01175,success,1804,107.37,
starter_01176,success,2266,147.14,
starter_01177,success,1847,145.46,
starter_01178,success,3769,217.89,
starter_01179,failed,-1,0.0,'reactionString' column not found
starter_01180,success,2233,105.94,
starter_01181,failed,-1,0.0,'reactionString' column not found
starter_01182,failed,-1,0.0,'reactionString' column not found
starter_01183,success,4296,186.23,
starter_01184,success,1775,130.95,
starter_01185,success,245,23.91,
starter_01186,success,241,21.25,
starter_01187,success,373,33.06,
starter_01188,success,54,0.07,
starter_01189,success,52,2.01,
starter_01190,success,220,18.04,
starter_01191,success,55,4.92,
starter_01192,success,262,23.9,
starter_01193,failed,-1,0.0,'reactionString' column not found
starter_01194,success,52,0.14,
starter_01195,success,220,16.68,
starter_01196,success,55,2.22,
starter_01197,failed,-1,0.0,'reactionString' column not found
starter_01198,success,49,1.56,
starter_01199,success,404,35.51,
starter_01200,success,237,18.85,
starter_01201,success,48,1.52,
starter_01202,failed,-1,0.0,'reactionString' column not found
starter_01203,success,78,3.45,
starter_01204,failed,-1,0.0,'reactionString' column not found
starter_01205,success,87,0.13,
starter_01206,success,241,19.56,
starter_01207,success,83,2.83,
starter_01208,success,49,1.28,
starter_01209,success,301,25.32,
starter_01210,failed,-1,0.0,'reactionString' column not found
starter_01211,success,88,4.28,
starter_01212,success,51,1.66,
starter_01213,success,254,20.82,
starter_01214,success,83,3.95,
starter_01215,success,245,19.38,
starter_01216,success,52,0.08,
starter_01217,success,307,26.18,
starter_01218,success,404,33.19,
starter_01219,success,88,0.09,
starter_01220,success,262,20.01,
starter_01221,success,220,15.69,
starter_01222,success,245,19.17,
starter_01223,success,48,1.39,
starter_01224,success,81,3.61,
starter_01225,success,86,0.08,
starter_01226,success,51,0.11,
starter_01227,success,55,1.95,
starter_01228,success,237,19.25,
starter_01229,success,52,1.94,
starter_01230,success,51,1.64,
starter_01231,failed,-1,0.0,'reactionString' column not found
starter_01232,failed,-1,0.0,'reactionString' column not found
starter_01233,success,83,3.93,
starter_01234,success,220,17.46,
starter_01235,success,397,35.28,
starter_01236,success,78,3.35,
starter_01237,success,50,1.36,
starter_01238,success,86,3.57,
starter_01239,success,245,17.39,
starter_01240,success,52,1.65,
starter_01241,success,245,20.44,
starter_01242,success,83,0.11,
starter_01243,failed,-1,0.0,'reactionString' column not found
starter_01244,success,88,4.03,
starter_01245,success,252,20.02,
starter_01246,success,437,36.44,
starter_01247,success,55,0.11,
starter_01248,failed,-1,0.0,'reactionString' column not found
starter_01249,success,450,38.14,
starter_01250,success,48,1.33,
starter_01251,success,244,19.74,
starter_01252,success,53,0.1,
starter_01253,success,51,0.08,
starter_01254,success,262,21.68,
starter_01255,success,52,1.89,
starter_01256,success,244,20.79,
starter_01257,success,51,0.09,
starter_01258,success,75,0.13,
starter_01259,success,245,20.07,
starter_01260,success,88,4.33,
starter_01261,success,81,3.43,
starter_01262,success,51,0.11,
starter_01263,success,401,36.12,
starter_01264,success,115,8.53,
starter_01265,success,96,8.74,
starter_01266,success,70,5.23,
starter_01267,success,509,42.0,
starter_01268,success,313,22.65,
starter_01269,success,121,10.59,
starter_01270,success,294,25.33,
starter_01271,success,90,7.15,
starter_01272,failed,-1,0.0,'reactionString' column not found
starter_01273,success,313,23.1,
starter_01274,success,121,10.48,
starter_01275,success,294,25.29,
starter_01276,failed,-1,0.0,'reactionString' column not found
starter_01277,success,335,25.86,
starter_01278,success,100,8.58,
starter_01279,success,85,6.83,
starter_01280,success,503,42.34,
starter_01281,failed,-1,0.0,'reactionString' column not found
starter_01282,failed,-1,0.0,'reactionString' column not found
starter_01283,failed,-1,0.0,'reactionString' column not found
starter_01284,failed,-1,0.0,'reactionString' column not found
starter_01285,success,96,7.63,
starter_01286,failed,-1,0.0,'reactionString' column not found
starter_01287,success,335,24.12,
starter_01288,success,79,6.8,
starter_01289,failed,-1,0.01,'reactionString' column not found
starter_01290,failed,-1,0.0,'reactionString' column not found
starter_01291,success,532,43.79,
starter_01292,success,81,5.96,
starter_01293,failed,-1,0.0,'reactionString' column not found
starter_01294,success,140,13.08,
starter_01295,success,313,20.17,
starter_01296,success,89,7.14,
starter_01297,success,100,9.71,
starter_01298,failed,-1,0.01,'reactionString' column not found
starter_01299,success,90,6.47,
starter_01300,success,121,10.44,
starter_01301,success,115,9.21,
starter_01302,success,503,41.73,
starter_01303,failed,-1,0.0,'reactionString' column not found
starter_01304,failed,-1,0.0,'reactionString' column not found
starter_01305,success,532,32.76,
starter_01306,success,294,25.69,
starter_01307,success,85,5.64,
starter_01308,success,321,28.56,
starter_01309,success,279,22.81,
starter_01310,failed,-1,0.01,'reactionString' column not found
starter_01311,failed,-1,0.0,'reactionString' column not found
starter_01312,failed,-1,0.0,'reactionString' column not found
starter_01313,success,121,10.82,
starter_01314,success,94,8.05,
starter_01315,failed,-1,0.0,'reactionString' column not found
starter_01316,success,296,21.02,
starter_01317,failed,-1,0.0,'reactionString' column not found
starter_01318,success,115,9.23,
starter_01319,success,321,24.28,
starter_01320,success,140,12.02,
starter_01321,failed,-1,0.0,'reactionString' column not found
starter_01322,failed,-1,0.0,'reactionString' column not found
starter_01323,failed,-1,0.0,'reactionString' column not found
starter_01324,success,108,9.87,
starter_01325,success,68,4.71,
starter_01326,success,294,23.68,
starter_01327,failed,-1,0.0,'reactionString' column not found
starter_01328,success,81,6.15,
starter_01329,success,281,20.36,
starter_01330,success,139,13.44,
starter_01331,success,274,22.9,
starter_01332,success,532,43.19,
starter_01333,success,94,6.25,
starter_01334,success,313,24.35,
starter_01335,success,139,12.67,
starter_01336,success,479,39.97,
starter_01337,failed,-1,0.0,'reactionString' column not found
starter_01338,success,115,9.19,
starter_01339,failed,-1,0.0,'reactionString' column not found
starter_01340,failed,-1,0.0,'reactionString' column not found
starter_01341,success,532,45.97,
starter_01342,success,105,8.82,
starter_01343,success,725,54.65,
starter_01344,success,475,42.13,
starter_01345,success,593,48.79,
starter_01346,success,1965,158.69,
starter_01347,success,2267,183.68,
starter_01348,success,630,50.53,
starter_01349,success,2495,205.69,
starter_01350,success,665,54.19,
starter_01351,failed,-1,0.0,'reactionString' column not found
starter_01352,success,2267,172.89,
starter_01353,success,630,56.79,
starter_01354,success,2495,206.12,
starter_01355,failed,-1,0.0,'reactionString' column not found
starter_01356,success,2168,177.76,
starter_01357,success,645,57.37,
starter_01358,success,569,50.11,
starter_01359,success,1961,138.8,
starter_01360,failed,-1,0.0,'reactionString' column not found
starter_01361,success,3878,303.72,
starter_01362,failed,-1,0.0,'reactionString' column not found
starter_01363,success,77,5.92,
starter_01364,success,475,41.45,
starter_01365,success,3828,291.08,
starter_01366,success,2168,142.49,
starter_01367,success,710,67.2,
starter_01368,failed,-1,0.0,'reactionString' column not found
starter_01369,success,85,5.84,
starter_01370,success,2072,170.73,
starter_01371,success,629,53.17,
starter_01372,success,3828,270.56,
starter_01373,success,531,48.06,
starter_01374,success,2267,187.71,
starter_01375,success,668,61.25,
starter_01376,success,645,57.77,
starter_01377,success,85,5.17,
starter_01378,success,665,56.71,
starter_01379,success,630,54.93,
starter_01380,success,725,62.55,
starter_01381,success,1961,163.03,
starter_01382,success,71,0.16,
starter_01383,success,78,0.14,
starter_01384,success,2072,158.26,
starter_01385,success,2495,212.29,
starter_01386,success,569,47.71,
starter_01387,success,2456,188.57,
starter_01388,success,2182,184.73,
starter_01389,failed,-1,0.0,'reactionString' column not found
starter_01390,failed,-1,0.0,'reactionString' column not found
starter_01391,success,3828,287.1,
starter_01392,success,630,59.28,
starter_01393,success,642,53.7,
starter_01394,success,3878,307.83,
starter_01395,success,2173,170.65,
starter_01396,success,78,0.12,
starter_01397,success,725,59.4,
starter_01398,success,2456,181.52,
starter_01399,success,531,45.5,
starter_01400,success,3828,300.43,
starter_01401,failed,-1,0.0,'reactionString' column not found
starter_01402,success,85,6.69,
starter_01403,success,493,43.86,
starter_01404,success,672,57.82,
starter_01405,success,2495,194.23,
starter_01406,failed,-1,0.0,'reactionString' column not found
starter_01407,success,669,54.4,
starter_01408,success,1913,158.77,
starter_01409,success,530,43.65,
starter_01410,success,2402,194.64,
starter_01411,success,2072,143.6,
starter_01412,success,589,50.05,
starter_01413,success,2267,171.15,
starter_01414,success,530,47.06,
starter_01415,success,1753,114.26,
starter_01416,success,3380,271.54,
starter_01417,success,725,61.17,
starter_01418,success,85,5.96,
starter_01419,success,3919,300.48,
starter_01420,success,2072,140.22,
starter_01421,success,602,49.95,
starter_01422,success,125,11.21,
starter_01423,success,107,9.19,
starter_01424,success,77,6.32,
starter_01425,success,660,50.33,
starter_01426,success,407,29.32,
starter_01427,success,130,11.16,
starter_01428,success,369,28.07,
starter_01429,success,99,7.78,
starter_01430,failed,-1,0.0,'reactionString' column not found
starter_01431,success,407,32.06,
starter_01432,success,130,10.32,
starter_01433,success,369,31.53,
starter_01434,failed,-1,0.0,'reactionString' column not found
starter_01435,success,430,28.96,
starter_01436,success,109,10.01,
starter_01437,success,92,7.49,
starter_01438,success,654,53.69,
starter_01439,failed,-1,0.0,'reactionString' column not found
starter_01440,failed,-1,0.0,'reactionString' column not found
starter_01441,failed,-1,0.0,'reactionString' column not found
starter_01442,failed,-1,0.0,'reactionString' column not found
starter_01443,success,107,8.04,
starter_01444,failed,-1,0.0,'reactionString' column not found
starter_01445,success,430,34.39,
starter_01446,success,84,7.27,
starter_01447,failed,-1,0.0,'reactionString' column not found
starter_01448,failed,-1,0.0,'reactionString' column not found
starter_01449,success,690,51.14,
starter_01450,success,89,6.62,
starter_01451,failed,-1,0.0,'reactionString' column not found
starter_01452,success,154,13.63,
starter_01453,success,407,29.18,
starter_01454,success,95,7.34,
starter_01455,success,109,9.91,
starter_01456,failed,-1,0.0,'reactionString' column not found
starter_01457,success,99,6.84,
starter_01458,success,130,10.32,
starter_01459,success,125,10.99,
starter_01460,success,654,55.57,
starter_01461,failed,-1,0.0,'reactionString' column not found
starter_01462,failed,-1,0.0,'reactionString' column not found
starter_01463,success,690,43.33,
starter_01464,success,369,29.89,
starter_01465,success,92,6.24,
starter_01466,success,398,31.07,
starter_01467,success,351,28.82,
starter_01468,failed,-1,0.0,'reactionString' column not found
starter_01469,failed,-1,0.0,'reactionString' column not found
starter_01470,failed,-1,0.0,'reactionString' column not found
starter_01471,success,130,10.56,
starter_01472,success,102,7.63,
starter_01473,failed,-1,0.0,'reactionString' column not found
starter_01474,success,388,28.56,
starter_01475,failed,-1,0.0,'reactionString' column not found
starter_01476,success,125,10.66,
starter_01477,success,398,30.84,
starter_01478,success,154,12.88,
starter_01479,failed,-1,0.0,'reactionString' column not found
starter_01480,failed,-1,0.0,'reactionString' column not found
starter_01481,failed,-1,0.0,'reactionString' column not found
starter_01482,success,119,10.11,
starter_01483,success,76,6.41,
starter_01484,success,369,31.43,
starter_01485,failed,-1,0.0,'reactionString' column not found
starter_01486,success,89,6.44,
starter_01487,success,369,24.01,
starter_01488,success,153,12.53,
starter_01489,success,347,29.21,
starter_01490,success,690,50.86,
starter_01491,success,103,8.28,
starter_01492,success,407,25.34,
starter_01493,success,153,13.22,
starter_01494,success,623,48.64,
starter_01495,failed,-1,0.0,'reactionString' column not found
starter_01496,success,125,10.62,
starter_01497,failed,-1,0.0,'reactionString' column not found
starter_01498,failed,-1,0.0,'reactionString' column not found
starter_01499,success,690,42.65,
starter_01500,success,115,9.49,
starter_01501,success,17,2.34,
starter_01502,success,9,1.08,
starter_01503,success,29,3.56,
starter_01504,failed,-1,0.0,'reactionString' column not found
starter_01505,failed,-1,0.0,'reactionString' column not found
starter_01506,success,11,1.37,
starter_01507,failed,-1,0.0,'reactionString' column not found
starter_01508,success,17,2.0,
starter_01509,failed,-1,0.0,'reactionString' column not found
starter_01510,failed,-1,0.0,'reactionString' column not found
starter_01511,success,11,1.15,
starter_01512,failed,-1,0.0,'reactionString' column not found
starter_01513,failed,-1,0.0,'reactionString' column not found
starter_01514,failed,-1,0.0,'reactionString' column not found
starter_01515,success,37,4.31,
starter_01516,success,11,1.16,
starter_01517,failed,-1,0.0,'reactionString' column not found
starter_01518,failed,-1,0.0,'reactionString' column not found
starter_01519,failed,-1,0.0,'reactionString' column not found
starter_01520,failed,-1,0.0,'reactionString' column not found
starter_01521,failed,-1,0.0,'reactionString' column not found
starter_01522,success,9,1.27,
starter_01523,failed,-1,0.0,'reactionString' column not found
starter_01524,failed,-1,0.0,'reactionString' column not found
starter_01525,success,38,4.26,
