dir,status,n_reactions,time_seconds,error
starter_00202,success,2341,181.03,
starter_00203,success,3005,229.54,
starter_00204,failed,-1,0.0,'reactionString' column not found
starter_00205,failed,-1,0.0,'reactionString' column not found
starter_00206,success,5245,404.87,
starter_00207,success,253,18.26,
starter_00208,success,595,40.63,
starter_00209,success,4610,330.44,
starter_00210,success,2855,220.88,
starter_00211,success,3953,283.67,
starter_00212,success,727,52.1,
starter_00213,success,2341,165.29,
starter_00214,success,187,18.06,
starter_00215,success,5245,381.59,
starter_00216,failed,-1,0.0,'reactionString' column not found
starter_00217,success,4030,267.85,
starter_00218,success,151,10.07,
starter_00219,success,926,75.67,
starter_00220,success,2721,206.89,
starter_00221,failed,-1,0.0,'reactionString' column not found
starter_00222,success,932,76.24,
starter_00223,success,2453,192.81,
starter_00224,success,187,10.59,
starter_00225,success,3399,268.49,
starter_00226,success,2030,138.12,
starter_00227,success,802,71.23,
starter_00228,success,2306,168.34,
starter_00229,success,187,13.05,
starter_00230,success,2208,130.57,
starter_00231,success,5459,378.68,
starter_00232,success,727,44.55,
starter_00233,success,4030,241.57,
starter_00234,success,6466,464.3,
starter_00235,success,2030,151.98,
starter_00236,success,525,38.57,
starter_00237,success,2859,221.79,
starter_00238,success,2278,173.6,
starter_00239,success,2808,215.64,
starter_00240,success,5108,358.29,
starter_00241,success,3062,216.79,
starter_00242,success,2538,205.78,
starter_00243,success,3305,258.28,
starter_00244,success,2666,186.89,
starter_00245,failed,-1,0.0,'reactionString' column not found
starter_00246,success,3062,216.8,
starter_00247,success,2538,212.91,
starter_00248,success,3305,236.51,
starter_00249,failed,-1,0.0,'reactionString' column not found
starter_00250,success,3233,236.96,
starter_00251,success,3078,209.16,
starter_00252,success,2284,189.9,
starter_00253,success,4892,373.32,
starter_00254,failed,-1,0.0,'reactionString' column not found
starter_00255,success,64,5.11,
starter_00256,failed,-1,0.01,'reactionString' column not found
starter_00257,failed,-1,0.0,'reactionString' column not found
starter_00258,success,2278,184.37,
starter_00259,success,63,3.59,
starter_00260,success,3233,234.78,
starter_00261,success,2933,227.03,
starter_00262,failed,-1,0.0,'reactionString' column not found
starter_00263,failed,-1,0.0,'reactionString' column not found
starter_00264,success,5018,384.72,
starter_00265,success,2769,198.91,
starter_00266,success,63,5.02,
starter_00267,success,2591,200.26,
starter_00268,success,3062,227.94,
starter_00269,success,2529,208.84,
starter_00270,success,3078,199.69,
starter_00271,failed,-1,0.0,'reactionString' column not found
starter_00272,success,2666,201.24,
starter_00273,success,2538,209.93,
starter_00274,success,2859,226.46,
starter_00275,success,4892,323.39,
starter_00276,failed,-1,0.0,'reactionString' column not found
starter_00277,failed,-1,0.0,'reactionString' column not found
starter_00278,success,5018,341.83,
starter_00279,success,3305,245.18,
starter_00280,success,2284,185.89,
starter_00281,success,3494,251.26,
starter_00282,success,2937,219.53,
starter_00283,failed,-1,0.0,'reactionString' column not found
starter_00284,failed,-1,0.0,'reactionString' column not found
starter_00285,success,63,4.82,
starter_00286,success,2538,205.03,
starter_00287,success,3071,248.64,
starter_00288,success,64,4.61,
starter_00289,success,3059,223.8,
starter_00290,failed,-1,0.0,'reactionString' column not found
starter_00291,success,2859,204.33,
starter_00292,success,3494,215.97,
starter_00293,success,2591,213.68,
starter_00294,success,63,5.25,
starter_00295,failed,-1,0.0,'reactionString' column not found
starter_00296,failed,-1,0.0,'reactionString' column not found
starter_00297,success,2303,174.71,
starter_00298,success,3004,222.55,
starter_00299,success,3305,253.09,
starter_00300,failed,-1,0.0,'reactionString' column not found
starter_00301,success,2962,218.18,
starter_00302,success,2672,188.02,
starter_00303,success,2590,206.77,
starter_00304,success,3299,242.31,
starter_00305,success,5018,386.35,
starter_00306,success,2393,157.5,
starter_00307,success,3062,195.2,
starter_00308,success,2590,211.43,
starter_00309,success,4492,267.39,
starter_00310,success,58,3.48,
starter_00311,success,2859,187.85,
starter_00312,failed,-1,0.0,'reactionString' column not found
starter_00313,success,63,4.64,
starter_00314,success,5018,329.22,
starter_00315,success,2588,217.91,
starter_00316,success,3051,211.38,
starter_00317,success,1783,136.57,
starter_00318,success,2270,165.03,
starter_00319,success,5063,372.15,
starter_00320,success,4255,287.47,
starter_00321,success,2716,215.88,
starter_00322,success,4427,323.91,
starter_00323,success,2708,216.0,
starter_00324,failed,-1,0.0,'reactionString' column not found
starter_00325,success,4255,263.76,
starter_00326,success,2716,181.09,
starter_00327,success,4427,278.77,
starter_00328,failed,-1,0.0,'reactionString' column not found
starter_00329,success,4118,262.21,
starter_00330,success,2659,195.04,
starter_00331,success,2291,185.84,
starter_00332,success,4730,304.82,
starter_00333,failed,-1,0.0,'reactionString' column not found
starter_00334,success,4407,263.48,
starter_00335,failed,-1,0.0,'reactionString' column not found
starter_00336,failed,-1,0.0,'reactionString' column not found
starter_00337,success,1783,146.39,
starter_00338,success,4146,239.34,
starter_00339,success,4118,268.61,
starter_00340,success,3130,251.82,
starter_00341,failed,-1,0.0,'reactionString' column not found
starter_00342,failed,-1,0.0,'reactionString' column not found
starter_00343,success,5112,279.13,
starter_00344,success,2953,172.83,
starter_00345,success,4146,204.84,
starter_00346,success,2218,158.12,
starter_00347,success,4255,287.17,
starter_00348,success,2524,192.3,
starter_00349,success,2659,190.8,
starter_00350,failed,-1,0.0,'reactionString' column not found
starter_00351,success,2708,152.86,
starter_00352,success,2716,209.88,
starter_00353,success,3051,172.87,
starter_00354,success,4730,257.85,
starter_00355,failed,-1,0.0,'reactionString' column not found
starter_00356,failed,-1,0.0,'reactionString' column not found
starter_00357,success,5112,379.16,
starter_00358,success,4427,317.57,
starter_00359,success,2291,154.96,
starter_00360,success,4309,330.33,
starter_00361,success,3940,294.64,
starter_00362,failed,-1,0.0,'reactionString' column not found
starter_00363,failed,-1,0.0,'reactionString' column not found
starter_00364,success,4146,225.26,
starter_00365,success,2716,217.58,
starter_00366,success,2653,197.03,
starter_00367,success,4407,205.49,
starter_00368,success,4352,327.3,
starter_00369,failed,-1,0.0,'reactionString' column not found
starter_00370,success,3051,162.66,
starter_00371,success,4309,249.31,
starter_00372,success,2218,175.09,
starter_00373,success,4146,244.48,
starter_00374,failed,-1,0.0,'reactionString' column not found
starter_00375,failed,-1,0.0,'reactionString' column not found
starter_00376,success,1807,115.5,
starter_00377,success,2586,168.75,
starter_00378,success,4427,263.39,
starter_00379,failed,-1,0.0,'reactionString' column not found
starter_00380,success,2527,170.1,
starter_00381,success,3711,235.53,
starter_00382,success,2217,147.86,
starter_00383,success,4526,346.62,
starter_00384,success,5112,294.97,
starter_00385,success,2388,173.45,
starter_00386,success,4255,271.65,
starter_00387,success,2217,176.27,
starter_00388,success,4323,199.17,
starter_00389,success,3487,188.87,
starter_00390,success,3051,181.4,
starter_00391,failed,-1,0.0,'reactionString' column not found
starter_00392,success,4157,231.34,
starter_00393,success,5112,270.61,
starter_00394,success,2073,129.42,
starter_00395,success,653,58.37,
starter_00396,success,91,5.69,
starter_00397,success,413,38.92,
starter_00398,success,2581,205.82,
starter_00399,success,2246,178.24,
starter_00400,success,178,14.74,
starter_00401,success,2466,192.46,
starter_00402,success,507,41.2,
starter_00403,failed,-1,0.0,'reactionString' column not found
starter_00404,success,2246,180.59,
starter_00405,success,178,13.64,
starter_00406,success,2466,184.03,
starter_00407,failed,-1,0.0,'reactionString' column not found
starter_00408,success,1921,140.65,
starter_00409,success,538,45.44,
starter_00410,success,116,9.12,
starter_00411,success,1758,114.94,
starter_00412,failed,-1,0.0,'reactionString' column not found
starter_00413,success,3419,254.49,
starter_00414,failed,-1,0.0,'reactionString' column not found
starter_00415,success,145,4.97,
starter_00416,success,91,8.23,
starter_00417,success,3687,264.67,
starter_00418,success,1921,149.79,
starter_00419,success,610,43.71,
starter_00420,failed,-1,0.0,'reactionString' column not found
starter_00421,success,153,0.55,
starter_00422,success,2143,156.69,
starter_00423,success,829,76.67,
starter_00424,success,3687,269.4,
starter_00425,success,141,13.34,
starter_00426,success,2246,183.5,
starter_00427,success,541,45.44,
starter_00428,success,538,47.2,
starter_00429,success,153,11.62,
starter_00430,success,507,40.87,
starter_00431,success,178,14.47,
starter_00432,success,653,52.19,
starter_00433,success,1758,93.03,
starter_00434,success,133,5.67,
starter_00435,success,147,5.99,
starter_00436,success,2143,144.44,
starter_00437,success,2466,195.46,
starter_00438,success,116,11.31,
starter_00439,success,2163,178.23,
starter_00440,success,2727,224.27,
starter_00441,failed,-1,0.01,'reactionString' column not found
starter_00442,failed,-1,0.0,'reactionString' column not found
starter_00443,success,3687,266.48,
starter_00444,success,178,13.19,
starter_00445,success,534,38.77,
starter_00446,success,3419,265.27,
starter_00447,success,2767,188.91,
starter_00448,success,147,5.95,
starter_00449,success,653,55.34,
starter_00450,success,2163,169.66,
starter_00451,success,141,12.04,
starter_00452,success,3687,233.68,
starter_00453,failed,-1,0.0,'reactionString' column not found
starter_00454,success,153,0.37,
starter_00455,success,93,8.3,
starter_00456,success,750,69.29,
starter_00457,success,2466,169.52,
starter_00458,failed,-1,0.0,'reactionString' column not found
starter_00459,success,759,68.31,
starter_00460,success,2406,191.18,
starter_00461,success,141,8.46,
starter_00462,success,3054,232.38,
starter_00463,success,2143,159.95,
starter_00464,success,744,64.25,
starter_00465,success,2246,171.86,
starter_00466,success,141,11.9,
starter_00467,success,2253,143.91,
starter_00468,success,3818,305.77,
starter_00469,success,653,49.24,
starter_00470,success,153,11.79,
starter_00471,success,4397,316.58,
starter_00472,success,2143,168.64,
starter_00473,success,473,31.04,
starter_00474,success,1663,99.71,
starter_00475,success,972,60.83,
starter_00476,success,1216,76.21,
starter_00477,success,3153,187.21,
starter_00478,success,3009,233.91,
starter_00479,success,1509,127.48,
starter_00480,success,3155,239.77,
starter_00481,success,1463,107.79,
starter_00482,failed,-1,0.0,'reactionString' column not found
starter_00483,success,3009,225.45,
starter_00484,success,1509,128.8,
starter_00485,success,3155,191.77,
starter_00486,failed,-1,0.0,'reactionString' column not found
starter_00487,success,2899,220.7,
starter_00488,success,1442,102.18,
starter_00489,success,1264,96.12,
starter_00490,success,2952,189.32,
starter_00491,failed,-1,0.0,'reactionString' column not found
starter_00492,success,3221,199.84,
starter_00493,failed,-1,0.0,'reactionString' column not found
starter_00494,failed,-1,0.0,'reactionString' column not found
starter_00495,success,972,64.64,
starter_00496,success,3030,217.69,
starter_00497,success,2899,201.98,
starter_00498,success,1700,139.74,
starter_00499,failed,-1,0.0,'reactionString' column not found
starter_00500,failed,-1,0.0,'reactionString' column not found
starter_00501,success,3223,250.2,
starter_00502,success,1570,116.79,
starter_00503,success,3030,181.31,
starter_00504,success,1222,93.65,
starter_00505,success,3009,223.2,
starter_00506,success,1404,115.52,
starter_00507,success,1442,91.36,
starter_00508,failed,-1,0.0,'reactionString' column not found
starter_00509,success,1463,94.36,
starter_00510,success,1509,124.45,
starter_00511,success,1663,109.93,
starter_00512,success,2952,191.36,
starter_00513,failed,-1,0.0,'reactionString' column not found
starter_00514,failed,-1,0.0,'reactionString' column not found
starter_00515,success,3223,204.51,
starter_00516,success,3155,235.25,
starter_00517,success,1264,101.23,
starter_00518,success,3064,234.51,
starter_00519,success,2823,175.66,
starter_00520,failed,-1,0.0,'reactionString' column not found
starter_00521,failed,-1,0.0,'reactionString' column not found
starter_00522,success,3030,207.69,
starter_00523,success,1509,122.74,
starter_00524,success,1437,111.46,
starter_00525,success,3221,227.62,
starter_00526,success,3067,212.15,
starter_00527,failed,-1,0.0,'reactionString' column not found
starter_00528,success,1663,99.28,
starter_00529,success,3064,241.38,
starter_00530,success,1222,102.17,
starter_00531,success,3030,205.71,
starter_00532,failed,-1,0.0,'reactionString' column not found
starter_00533,failed,-1,0.0,'reactionString' column not found
starter_00534,success,993,60.45,
starter_00535,success,1373,96.71,
starter_00536,success,3155,231.31,
starter_00537,failed,-1,0.0,'reactionString' column not found
starter_00538,success,1347,99.07,
starter_00539,success,2648,154.49,
starter_00540,success,1221,73.25,
starter_00541,success,3215,232.95,
starter_00542,success,3223,199.72,
