reactants,products,reactionString,ruleName
CC(C)CC=C1C[C@H](CCO)C(=O)O1,CC(C)CC=C1OC(=O)[C@@H](C)C1CO,CC(C)CC=C1C[C@H](CCO)C(=O)O1 >> CC(C)CC=C1OC(=O)[C@@H](C)C1CO,rule0028_50
CC[C@H]1CC(=CC(C(=O)O)C(C)C)OC1=O,CC[C@@H]1C(=O)OC(=CCC(=O)O)C1C(C)C,CC[C@H]1CC(=CC(C(=O)O)C(C)C)OC1=O >> CC[C@@H]1C(=O)OC(=CCC(=O)O)C1C(C)C,rule0028_47
CC[C@@H](CC(O)=CCC(C)C)C(=O)O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCC[C@@H](CC(O)=CCC(C)C)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CC[C@@H](CC(O)=CCC(C)C)C(=O)O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCC[C@@H](CC(O)=CCC(C)C)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12
CC[C@H]1CC(CCC(C)C)OC1=O,CC(C)CCC1(C)C[C@H](C)C(=O)O1,CC[C@H]1CC(CCC(C)C)OC1=O >> CC(C)CCC1(C)C[C@H](C)C(=O)O1,rule0028_51
CC[C@H]1CC(=CCC(C)CO)OC1O,C=C1C[C@](CC)(CC(C)CO)C(O)O1,CC[C@H]1CC(=CCC(C)CO)OC1O >> C=C1C[C@](CC)(CC(C)CO)C(O)O1,rule0028_51
CC[C@H]1CC(CCC(C)C)OC1=O,CCC(C)CCC1C[C@H](C)C(=O)O1,CC[C@H]1CC(CCC(C)C)OC1=O >> CCC(C)CCC1C[C@H](C)C(=O)O1,rule0028_51
CC[C@H]1CC(=CCC(C)C)OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CC[C@H]1CC(=CCC(C)(C)C)OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CC[C@H]1CC(=CCC(C)C)OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CC[C@H]1CC(=CCC(C)(C)C)OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12
C=C1C[C@H](C(C)CC(C)C)C(=O)O1.O,C=C1C[C@H](C(C)C(O)C(C)C)C(O)O1,C=C1C[C@H](C(C)CC(C)C)C(=O)O1.O >> C=C1C[C@H](C(C)C(O)C(C)C)C(O)O1,rule0070_6
CC[C@H]1CC(=CCC(C)(C)C)OC1=O.O,CC[C@H]1CC(O)(CCC(C)(C)C)OC1=O,CC[C@H]1CC(=CCC(C)(C)C)OC1=O.O >> CC[C@H]1CC(O)(CCC(C)(C)C)OC1=O,rule0020_19
CC[C@H]1CC(=CCC(C)CO)OC1=O.CC[C@H]1CC(=CCC(C)CO)OC1=O,CC(CO)CC=C1C[C@H](C)C(=O)O1.CC[C@H]1CC(=C(C)CC(C)CO)OC1=O,CC[C@H]1CC(=CCC(C)CO)OC1=O.CC[C@H]1CC(=CCC(C)CO)OC1=O >> CC(CO)CC=C1C[C@H](C)C(=O)O1.CC[C@H]1CC(=C(C)CC(C)CO)OC1=O,rule0126_2
