"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL326567";"";"None";"521.54";"1";"4.67";"31a";"CC1Cn2cc(C(=O)O)c(=O)c3cc(F)c(N4CCN(Cc5ccccc5C(F)(F)F)CC4)c(c32)S1";"MIC";"'>'";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL799856";"Minimal inhibitory concentration against Streptococcus faecalis LEP strain";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1126958";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"64.0"
"CHEMBL2260861";"";"None";"488.41";"0";"3.24";"12";"CCC1C(=O)CC(c2ccco2)NC1c1ccco1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3057644";"Antimicrobial activity against Enterococcus faecalis after 24 hr by serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL3045318";"1";"Scientific Literature";"Med Chem Res";"2005";"None";"";"";"";"12.5"
"CHEMBL2260863";"";"None";"274.32";"0";"3.50";"9";"CCC1/C(=N\O)CC(c2ccco2)NC1c1ccco1";"MIC";"'='";"25.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3057644";"Antimicrobial activity against Enterococcus faecalis after 24 hr by serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL3045318";"1";"Scientific Literature";"Med Chem Res";"2005";"None";"";"";"";"25.0"
"CHEMBL1313893";"";"None";"259.31";"0";"3.24";"6";"CCC1C(=O)CC(c2ccco2)NC1c1ccco1";"MIC";"'='";"100.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3057644";"Antimicrobial activity against Enterococcus faecalis after 24 hr by serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL3045318";"1";"Scientific Literature";"Med Chem Res";"2005";"None";"";"";"";"100.0"
"CHEMBL474563";"";"None";"578.37";"2";"7.19";"33";"CN(C)C(CNc1cc(=O)c2ccccc2[nH]1)CN(Cc1ccc(Cl)c(Cl)c1)Cc1ccc(Cl)c(Cl)c1";"MIC";"'>'";"64000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1017786";"Antibacterial activity against Enterococcus faecalis ATCC 19433 after 16 hrs at 36 degC by microdilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1152839";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";"64.0"
"CHEMBL71670";"";"None";"280.31";"0";"1.03";"6";"CC(C)CC(N)C(=O)NC(CC(C)C)P(=O)(O)O";"MIC";"'>'";"512.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL813271";"Minimum inhibitory concentration (MIC) to control the growth of Streptococcus faecalis strain PCM 896";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1123266";"1";"Scientific Literature";"J Med Chem";"1986";"None";"";"";"";"512.0"
"CHEMBL60402";"";"None";"376.29";"0";"4.43";"2";"O=c1cc(NCCCNCc2ccc(Cl)c(Cl)c2)[nH]c2ccccc12";"MIC";"'='";"2000000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1017786";"Antibacterial activity against Enterococcus faecalis ATCC 19433 after 16 hrs at 36 degC by microdilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1152839";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";"2.0"
"CHEMBL473382";"";"None";"434.37";"0";"4.83";"29b";"CC(C)OC(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1";"MIC";"'='";"4000000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1017787";"Antibacterial activity against Enterococcus faecalis ATCC 29212 after 16 hrs at 36 degC by microdilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1152839";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";"4.0"
"CHEMBL320357";"";"None";"995.30";"4";"5.12";"22";"CCCCCCCCCCCCOP(=O)(O)OC1OC(C(N)=O)C(O)C(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)C1OC1OC(CO)C(O)C(O)C1NC(=O)c1cccc(C(F)(F)F)c1";"MIC";"'='";"3.13";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL676017";"Compound was tested for the inhibition of cell wall biosynthesis and growth against Enterococcus faecalis (CL4877) (Vancomycin-resistant)";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1132655";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"3.13"
"CHEMBL129573";"";"None";"423.51";"0";"3.61";"44";"CCCCO/C(S)=N\C[C@H]1CN(c2cc(F)c3c(c2)OC[C@@H]2CCCN32)C(=O)O1";"MIC";"'>'";"32.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL674283";"In vitro antibacterial activity against Enterococcus faecalis ATCC 29212 (E. f. 034) vancomycin sensitive";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1135766";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"32.0"
"CHEMBL139107";"";"None";"408.46";"0";"2.04";"22a";"Cc1c(N2CCN(C)CC2)c(N)cc2c(=O)c(C(=O)O)cn(-c3ccc(O)cc3)c12";"MIC";"'='";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL813264";"Antibacterial activity tested against Streptococcus faecalis LEP Br";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1129660";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"64.0"
"CHEMBL94959";"";"None";"417.46";"0";"2.91";"8c";"CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CC(C)O1";"MIC";"'='";"0.2";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL675653";"Compound was tested for its minimal inhibitory constant against Gram-positive microorganism Enterococcus faecalis IID682 (Ef)";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1127852";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"0.2"
"CHEMBL60205";"";"None";"359.36";"0";"-0.28";"4";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C3[C@@H](OCC/N=C/N)CCC[C@@H]3[C@H]12.[Na+]";"MIC";"'='";"2000.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL857946";"In vitro antibacterial activity against Enterobacter faecalis 850 strain and compared to imipenem";"F";"BAO_0000218";"organism-based format";"Enterobacter faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1129149";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"2.0"
