"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4196808";"F";"Antibacterial activity against linezolid-resistant Enterococcus faecalis after 16 to 20 hrs by NCCLS microdilution method";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4196012";"29407984";"10.1016/j.ejmech.2018.01.078";"2018";"Eur J Med Chem";"146";"599";"612";"";"";"";"";"";""
"CHEMBL5224154";"F";"Antibacterial activity against Enterococcus faecalis JU 1856 incubated for 20 hrs by Mueller-Hinton broth based agar based dilution method";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"JU 1856";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5223092";"35308024";"10.1039/d1md00351h";"2022";"RSC Med Chem";"13";"107";"116";"";"";"";"";"";""
"CHEMBL5257928";"F";"Antimicrobial activity against Enterococcus faecalis 10785 assessed as reduction in microbial growth by broth microdilution method";"Enterococcus faecalis";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"10785";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5257035";"27607900";"10.1021/acs.jmedchem.6b00325";"2016";"J Med Chem";"59";"10343";"10382";"";"";"";"";"";""
"CHEMBL5586469";"F";"Antibacterial activity against Enterococcus faecalis ATCC 29212 assessed as reduction in microbial growth incubated for 20 hrs by CLSI based broth microdilution method";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5584300";"39052090";"10.1021/acs.jnatprod.4c00718";"2024";"J Nat Prod";"87";"2110";"2119";"";"";"";"";"";""
"CHEMBL5533453";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis ATCC 51575 assessed as reduction in bacterial growth incubated for 18 to 20 hrs by broth microdilution assay";"Enterococcus faecalis";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51575";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5532643";"37948883";"10.1016/j.ejmech.2023.115921";"2024";"Eur J Med Chem";"263";"115921";"115921";"";"";"";"";"";""
"CHEMBL5511611";"F";"Antibacterial activity against Enterococcus faecalis clinical isolate assessed as inhibition of bacterial growth incubated for 24 hrs";"Enterococcus faecalis";"43";"43";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5506059";"38787534";"10.1021/acs.jmedchem.4c00238";"2024";"J Med Chem";"67";"9028";"9053";"";"";"";"";"";""
"CHEMBL5511635";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis clinical isolate p1-2007226001 assessed as inhibition of bacterial growth incubated for 24 hrs";"Enterococcus faecalis";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"p1-2007226001";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5506059";"38787534";"10.1021/acs.jmedchem.4c00238";"2024";"J Med Chem";"67";"9028";"9053";"";"";"";"";"";""
"CHEMBL5511640";"F";"Potency index, ratio of ciprofloxacin MIC to test compound MIC for antibacterial activity against vancomycin-resistant Enterococcus faecalis clinical isolate p1-2007225053 assessed as inhibition of bacterial growth incubated for 24 hrs";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"p1-2007225053";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5506059";"38787534";"10.1021/acs.jmedchem.4c00238";"2024";"J Med Chem";"67";"9028";"9053";"";"";"";"";"";""
"CHEMBL5253318";"F";"Antibacterial activity against wild type Enterococcus faecalis incubated for 20 hrs by two-fold serial dilution method";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5252521";"27143131";"10.1016/j.bmc.2016.04.043";"2016";"Bioorg Med Chem";"24";"6291";"6297";"";"";"";"";"";""
"CHEMBL4711680";"F";"Antibacterial activity against Enterococcus faecalis incubated for 20 hrs by CLSI-based broth microdilution method";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4706610";"33023291";"10.1021/acs.jmedchem.0c01480";"2020";"J Med Chem";"63";"14470";"14501";"";"";"";"";"";""
"CHEMBL4837688";"F";"Antibacterial activity against linezolid resistant Enterococcus faecalis assessed as bacterial growth inhibition after 18 hrs by broth microdilution method";"Enterococcus faecalis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4837188";"33705128";"10.1021/acs.jmedchem.0c02153";"2021";"J Med Chem";"64";"3234";"3248";"";"";"";"";"";""
"CHEMBL4709368";"F";"Antibacterial activity against Enterococcus faecalis";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4706534";"32795773";"10.1016/j.ejmech.2020.112686";"2020";"Eur J Med Chem";"206";"112686";"112686";"";"";"";"";"";""
"CHEMBL5108483";"F";"Antibacterial activity against Enterococcus faecalis clinical isolate 1091720 assessed as inhibition of bacterial growth by CLSI protocol based broth microdilution method";"Enterococcus faecalis";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"clinical isolate 1091720";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5107949";"34778770";"10.1039/D1MD00230A";"2021";"RSC Med Chem";"12";"1690";"1697";"";"";"";"";"";""
"CHEMBL5235944";"F";"Antibacterial activity against Enterococcus faecalis";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5233273";"34023737";"10.1016/j.ejmech.2021.113546";"2021";"Eur J Med Chem";"221";"113546";"113546";"";"";"";"";"";""
"CHEMBL5610514";"F";"Antibacterial activity against Enterococcus faecalis ATCC29212 assessed as leakage of cell contents at 8 times MIC by SEM analysis";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5608215";"39088997";"10.1016/j.ejmech.2024.116716";"2024";"Eur J Med Chem";"276";"116716";"116716";"";"";"";"";"";""
"CHEMBL5032082";"F";"Bactericidal activity against Enterococcus faecalis OG1RF assessed as reductions in colony forming unit in presence of ampicillin within 3 hrs by time-killing assay";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"OG1RF";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5030556";"34657423";"10.1021/acs.jmedchem.1c00939";"2021";"J Med Chem";"64";"15037";"15052";"";"";"";"";"";""
