"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2322789";"";"None";"461.61";"1";"7.38";"6i";"CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OCCc3ccccc3)cc2)cc1";"EC50";"'='";"43.0";"nM";"7.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2328235";"Antiviral activity against Lassa virus pseudovirions infected in HEK293T/17 cells after 72 hrs by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321741";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3706569";"";"";"";"43.0"
"CHEMBL2322781";"";"None";"341.46";"1";"5.76";"6a";"CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccccc2)cc1";"EC50";"'='";"5.2";"nM";"8.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2328235";"Antiviral activity against Lassa virus pseudovirions infected in HEK293T/17 cells after 72 hrs by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321741";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3706569";"";"";"";"5.2"
"CHEMBL2435292";"";"None";"387.44";"0";"4.18";"ST-161";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2439188";"Antiviral activity against Lassa virus by plaque reduction assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";""
"CHEMBL2435292";"";"None";"387.44";"0";"4.18";"ST-161";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1";"EC50";"'='";"0.34";"nM";"9.47";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"0.34"
"CHEMBL2435290";"";"None";"321.42";"0";"3.40";"5f";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(N(C)C)cc1";"EC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"390.0"
"CHEMBL2435193";"";"None";"232.28";"0";"1.95";"5a";"COc1cccc(/C(C)=N/NC(=O)C2CC2)c1";"EC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"50000.0"
"CHEMBL2435321";"";"None";"296.35";"0";"3.47";"4c";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(F)cc1";"EC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"52.0"
"CHEMBL2435307";"";"None";"306.41";"0";"3.95";"3o";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc(C)c1C";"EC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"800.0"
"CHEMBL2435302";"";"None";"294.35";"0";"3.04";"3j";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(O)cc1";"EC50";"'='";"2.3";"nM";"8.64";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"2.3"
"CHEMBL2435294";"";"None";"312.80";"0";"3.98";"3b";"C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1Cl";"EC50";"'='";"320.0";"nM";"6.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2439189";"Antiviral activity against Lassa virus pseudotype containing envelope glycoprotein incorporated in lentivirus infected in human 293T/17 cells by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2434965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"320.0"
