starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OP(=O)(O)O,3,0.5938,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CCO[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,3,0.6032,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](OC)[C@@H](COP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,3,0.5556,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O,3,0.5938,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](O)[C@H]2OS(=O)(=O)O)c(=O)[nH]1,3,0.3944,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](OS(=O)(=O)O)[C@H]2O)c(=O)[nH]1,3,0.4143,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,3,0.3889,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@@H]1[C@H](OP(=O)(O)O)[C@@H](C)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,3,0.4776,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,3,0.4085,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,3,0.4776,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(Cl)CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,3,0.6441,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]3O1)c(=O)[nH]2,3,0.4638,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OC[C@H]1O[C@@H](n2cnc3c4nc(nc32)[nH]4)[C@H](OP(=O)(O)O)[C@@H]1O,3,0.375,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@@H]1[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1n1cnc2c3nc(nc21)[nH]3,3,0.3803,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c4nc(nc32)[nH]4)O[C@@H]1COP(=O)(O)O,3,0.3944,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO1)[C@@H](OP(=O)(O)O)[C@H]3O)c(=O)[nH]2,3,0.4085,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@@H]1[C@H](OP(=O)(O)O)[C@@H](CO)O[C@H]1n1cnc2c3nc(nc21)[nH]3,3,0.4,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO1)[C@@H](O)[C@H]3OP(=O)(O)O)c(=O)[nH]2,3,0.4028,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OC[C@H]1O[C@@H](n2cnc3c4nc(nc32)[nH]4)[C@H](O)[C@@H]1OP(=O)(O)O,3,0.3889,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O1)[C@H]3O)c(=O)[nH]2,3,0.4638,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO)[C@@H](O1)[C@H]3OP(=O)(O)O)c(=O)[nH]2,3,0.4638,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O1)c(=O)[nH]2,3,0.4429,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2cnc3c4nc(nc32)[nH]4)O[C@@H]1CO,3,0.4,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[n+]1cn([C@@H]2O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,3,0.4429,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](OC(=O)CC(=O)O)[C@H]2O)c2nc(N)[nH]c(=O)c21,3,0.4507,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(=O)CC(=O)O)c2nc(N)[nH]c(=O)c21,3,0.4507,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)N(C(N)=O)c1nc2c(c(=O)[nH]1)[n+](C)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3,0.4286,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CN(C(=O)CC(=O)O)c1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,3,0.623,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC(=O)CC(=O)O)nc32)[C@H](O)[C@@H]1O,3,0.5152,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(NC(=O)CC(=O)O)nc21,3,0.5303,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(NC(=O)CC(=O)O)nc32)O[C@@H]1CO,3,0.5224,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(c(=O)[nH]1)[n+](C)cn2[C@@H]1O[C@H](CO)[C@@H](OC(C)=O)[C@H]1O,3,0.3467,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)Nc1nc2c(c(=O)[nH]1)[n+](C)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)=O,3,0.3421,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](OC(C)=O)[C@@H]1O,3,0.3836,
