"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL5609795";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus ATCC 33591 assessed as inhibition of bacterial growth at 0.5 ug/ml measured after 8 hrs relative to control";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 33591";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5608199";"39032402";"10.1016/j.ejmech.2024.116657";"2024";"Eur J Med Chem";"276";"116657";"116657";"";"";"";"";"";""
"CHEMBL5585889";"F";"Antibacterial activity against Staphylococcus aureus incubated for 16 hrs by CLSI protocol based microtiter broth dilution method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5584260";"38996936";"10.1016/j.bmcl.2024.129881";"2024";"Bioorg Med Chem Lett";"110";"129881";"129881";"";"";"";"";"";""
"CHEMBL5609786";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus clinical isolate M-20 incubated for 18 hrs by two fold serial broth dilution method";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5608199";"39032402";"10.1016/j.ejmech.2024.116657";"2024";"Eur J Med Chem";"276";"116657";"116657";"";"";"";"";"";""
"CHEMBL5111789";"F";"Antibacterial activity against Staphylococcus aureus ATCC 25923 assessed as fold increase in MIC measured after 15 passages by resistance development assay";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5108051";"36148510";"10.1021/acs.jmedchem.2c01076";"2022";"J Med Chem";"65";"13833";"13851";"";"";"";"";"";""
"CHEMBL5536029";"F";"Antimicrobial activity against methicillin resistant Staphylococcus aureus 181404 assessed as inhibition of microbial growth incubated for 16 hrs by broth microdilution method";"Staphylococcus aureus";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"181404";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5532705";"38785214";"10.1021/acs.jnatprod.4c00214";"2024";"J Nat Prod";"87";"1582";"1590";"";"";"";"";"";""
"CHEMBL5536142";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus shhs-A1 assessed as bacterial growth inhibition incubated for 16 hrs by broth microdilution method";"Staphylococcus aureus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"shhs-A1";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5532714";"38862138";"10.1021/acs.jnatprod.4c00232";"2024";"J Nat Prod";"87";"1591";"1600";"";"";"";"";"";""
"CHEMBL4346518";"F";"Bacteriostatic activity against clindamycin/erythromycin/spectinomycin-resistant mec-positive Staphylococcus aureus NRS70 assessed as log reduction in bacterial count at 0.5 to 16 times MIC by time-kill assay";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NRS70";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4342526";"32343145";"10.1021/acs.jmedchem.0c00153";"2020";"J Med Chem";"63";"5287";"5296";"";"";"";"";"";""
"CHEMBL5587301";"F";"Synergistic antimicrobial activity against Staphylococcus aureus DSM 1104 planktonic cells assessed as inhibition of microbial growth by measuring fold reduction in MIC in presence of gentamicin by checkerboard assay relative to control";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 1104";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5584316";"39141525";"10.1021/acs.jmedchem.4c00585";"2024";"J Med Chem";"67";"15029";"15040";"";"";"";"";"";""
"CHEMBL5617176";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus USA300 assessed as fold increase in inhibition of bacterial growth incubated for 18 hrs by two fold serial dilution assay relative to (S)-4-((1S,3aR,3bR,5aR,13aR,13bR,15R,15aR)-15-hydroxy-3a,3b,6,6,13a-pentamethyl-2,3,3a,3b,4,5,5a,6,13,13a,13b,14,15,15a-tetradecahydro-1H-cyclopenta[5,6]naphtho[1,2-b]phenazin-1-yl)pentane-1,4-diol";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"USA300";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5614428";"39232465";"10.1016/j.bmc.2024.117901";"2024";"Bioorg Med Chem";"112";"117901";"117901";"";"";"";"";"";""
"CHEMBL4672206";"F";"Bactericidal activity against Staphylococcus aureus clinical isolate assessed as reduction in number of colony forming units at 1XMIC incubated for 24 hrs by Time-kill assay";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4665863";"33065440";"10.1016/j.bmc.2020.115729";"2020";"Bioorg Med Chem";"28";"115729";"115729";"";"";"";"";"";""
"CHEMBL5545463";"F";"Antibacterial activity against Staphylococcus aureus 794 infected in BALB/c mouse skin wound infection model assessed as wound healing at 1 mg/ml, ip pre-infected with bacteria for 24 hrs followed by compound addition and measured after 13 days post infection";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"794";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5543109";"38436574";"10.1021/acs.jmedchem.3c02339";"2024";"J Med Chem";"67";"6365";"6383";"";"";"";"";"";""
"CHEMBL5545470";"F";"Antibacterial activity against Staphylococcus aureus 794 infected in BALB/c mouse skin wound infection model assessed as reduction in wound area at 1 mg/ml, ip pre-infected with bacteria for 24 hrs followed by compound addition and measured on day 9 to 13";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"794";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5543109";"38436574";"10.1021/acs.jmedchem.3c02339";"2024";"J Med Chem";"67";"6365";"6383";"";"";"";"";"";""
"CHEMBL5545483";"F";"Antibacterial activity against methicillin resistant Staphylococcus aureus 75 incubated for 18 hrs by broth microdilution method";"Staphylococcus aureus";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"75";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5543109";"38436574";"10.1021/acs.jmedchem.3c02339";"2024";"J Med Chem";"67";"6365";"6383";"";"";"";"";"";""
"CHEMBL5230370";"F";"Antibacterial activity methicillin-resistant Staphylococcus aureus ST-5457 assessed as inhibition of bacterial growth incubated for 16 to 24 hrs by broth microdilution assay";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ST-5457";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5230084";"32220687";"10.1016/j.ejmech.2020.112245";"2020";"Eur J Med Chem";"194";"112245";"112245";"";"";"";"";"";""
"CHEMBL4426542";"F";"Antimicrobial activity against wild type Staphylococcus aureus by agar dilution method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4425125";"27336583";"10.1021/acs.jmedchem.6b00485";"2016";"J Med Chem";"59";"6645";"6657";"";"";"";"";"";""
"CHEMBL3878080";"F";"Bactericidal activity against methicillin-resistant Staphylococcus aureus JCSC 2172 assessed induction of membrane potential dissipation at 0.5 to 8 times MIC by DiSC3-5 probe based fluorescence assay";"Staphylococcus aureus";"1";"1";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"JCSC 2172";"Scientific Literature";"1280";"";"";"";"";"CHEMBL3877269";"27689731";"10.1016/j.ejmech.2016.09.054";"2017";"Eur J Med Chem";"125";"492";"499";"";"";"";"";"";""
"CHEMBL5111804";"F";"Antibacterial activity against rifampin resistant Staphylococcus aureus ATCC 25923 assessed as fractional inhibitory concentration index in presence of gentamicin by checkerboard assay";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5108051";"36148510";"10.1021/acs.jmedchem.2c01076";"2022";"J Med Chem";"65";"13833";"13851";"";"";"";"";"";""
"CHEMBL5111853";"F";"Antibacterial activity against Staphylococcus aureus ATCC 25923 infected in BALB/C mouse pulmonary infection model assessed as distortion of alveolar morphology in lung at 10 mg/kg, ip after 24 hrs by H and E staining method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5108051";"36148510";"10.1021/acs.jmedchem.2c01076";"2022";"J Med Chem";"65";"13833";"13851";"";"";"";"";"";""
"CHEMBL5532770";"F";"Antibacterial activity against Linezolid-resistant Staphylococcus aureus assessed as reduction in bacterial growth";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5532634";"36893700";"10.1016/j.ejmech.2023.115239";"2023";"Eur J Med Chem";"250";"115239";"115239";"";"";"";"";"";""
"CHEMBL5532784";"F";"In vivo antibacterial activity against Staphylococcus aureus UC9213 infected in PO dosed mouse assessed as reduction in bacterial infection measured after 6 days by hematoxylin and eosin staining based microscopic analysis";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"UC9213";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5532634";"36893700";"10.1016/j.ejmech.2023.115239";"2023";"Eur J Med Chem";"250";"115239";"115239";"";"";"";"";"";""
"CHEMBL5110735";"F";"Inhibition of biofilm formation in Staphylococcus aureus at 1 to 8 times MIC measured after 24 hrs by crystal violet staining method";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5108027";"35964427";"10.1016/j.ejmech.2022.114657";"2022";"Eur J Med Chem";"241";"114657";"114657";"";"";"";"";"";""
"CHEMBL5541560";"F";"Bactericidal activity against Staphylococcus aureus ATCC6538 assessed as reduction in survival rate at 5 to 10 times MIC measured after 30 to 120 mins by colony counting method relative to control";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC6538";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5537201";"38289145";"10.1021/acs.jmedchem.3c02064";"2024";"J Med Chem";"67";"2129";"2151";"";"";"";"";"";""
"CHEMBL5541615";"F";"Antimicrobial activity against methicillin resistant Staphylococcus aureus clinical isolate MRS153 assessed as membrane fluidity measured after 35 mins";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MRS153";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5537201";"38289145";"10.1021/acs.jmedchem.3c02064";"2024";"J Med Chem";"67";"2129";"2151";"";"";"";"";"";""
"CHEMBL5361327";"F";"Antibacterial activity against Staphylococcus aureus ATCC 25923 assessed as bacterial growth inhibition measured after 24 hrs by agar dilution assay";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5360532";"36577217";"10.1016/j.ejmech.2022.115026";"2023";"Eur J Med Chem";"247";"115026";"115026";"";"";"";"";"";""
"CHEMBL5255965";"F";"Inhibition of biofilm formation in methicillin-resistant Staphylococcus aureus 2 at 1 times MIC incubated for 18 to 24 hrs by crystal violet staining based assay";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"2";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5252628";"36940608";"10.1016/j.bmc.2023.117232";"2023";"Bioorg Med Chem";"83";"117232";"117232";"";"";"";"";"";""
"CHEMBL5360106";"F";"Antibiofilm activity against Staphylococcus aureus DSM 1104 assessed as increase in biofilm inhibition at 250 ug/ml incubated for 24 hrs by crystal violet staining based plate reader analysis relative to control";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 1104";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5357060";"38351796";"10.1021/acs.jnatprod.3c01094";"2024";"J Nat Prod";"87";"349";"357";"";"";"";"";"";""
"CHEMBL5108470";"F";"Anti-biofilm activity against Staphylococcus aureus ATCC 25923 assessed as eradication of biofilm formation incubated for 24 hrs by Calgary biofilm device assay";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5107949";"34778770";"10.1039/D1MD00230A";"2021";"RSC Med Chem";"12";"1690";"1697";"";"";"";"";"";""
"CHEMBL5254799";"F";"Antibacterial activity against Staphylococcus aureus ATCC 25923 assessed as bacterial growth inhibition measured after 48 hrs by resazurin dye based assay";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 25923";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5252554";"36524608";"10.1021/acs.jnatprod.2c00946";"2023";"J Nat Prod";"86";"541";"549";"";"";"";"";"";""
