
=== ADMET profile prediction ===
inputFile: BacillusAnthracis_generatedCompounds_wART.csv
SMILES column: Canonical_SMILES
outputCsv: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET.csv
checkpoint: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET_checkpoint.csv

Applying diversity filter...
diversity: processed 123000/642240 | +588 new | total 84222
diversity: processed 124000/642240 | +577 new | total 84799
diversity: processed 125000/642240 | +583 new | total 85382
diversity: processed 126000/642240 | +585 new | total 85967
diversity: processed 127000/642240 | +571 new | total 86538
diversity: processed 128000/642240 | +611 new | total 87149
diversity: processed 129000/642240 | +575 new | total 87724
diversity: processed 130000/642240 | +576 new | total 88300
diversity: processed 131000/642240 | +568 new | total 88868
diversity: processed 132000/642240 | +551 new | total 89419
diversity: processed 133000/642240 | +563 new | total 89982
diversity: processed 134000/642240 | +588 new | total 90570
diversity: processed 135000/642240 | +576 new | total 91146
diversity: processed 136000/642240 | +561 new | total 91707
diversity: processed 137000/642240 | +563 new | total 92270
diversity: processed 138000/642240 | +553 new | total 92823
diversity: processed 139000/642240 | +543 new | total 93366
diversity: processed 140000/642240 | +534 new | total 93900
diversity: processed 141000/642240 | +560 new | total 94460
diversity: processed 142000/642240 | +542 new | total 95002
diversity: processed 143000/642240 | +557 new | total 95559
diversity: processed 144000/642240 | +548 new | total 96107
diversity: processed 145000/642240 | +528 new | total 96635
diversity: processed 146000/642240 | +555 new | total 97190
diversity: processed 147000/642240 | +553 new | total 97743
diversity: processed 148000/642240 | +562 new | total 98305
diversity: processed 149000/642240 | +531 new | total 98836
diversity: processed 150000/642240 | +509 new | total 99345
diversity: processed 151000/642240 | +561 new | total 99906
diversity: processed 152000/642240 | +555 new | total 100461
diversity: processed 153000/642240 | +559 new | total 101020
diversity: processed 154000/642240 | +570 new | total 101590
diversity: processed 155000/642240 | +541 new | total 102131
diversity: processed 156000/642240 | +527 new | total 102658
diversity: processed 157000/642240 | +533 new | total 103191
diversity: processed 158000/642240 | +549 new | total 103740
diversity: processed 159000/642240 | +530 new | total 104270
diversity: processed 160000/642240 | +527 new | total 104797
diversity: processed 161000/642240 | +581 new | total 105378
diversity: processed 162000/642240 | +530 new | total 105908
diversity: processed 163000/642240 | +536 new | total 106444
diversity: processed 164000/642240 | +529 new | total 106973
diversity: processed 165000/642240 | +492 new | total 107465
diversity: processed 166000/642240 | +524 new | total 107989
diversity: processed 167000/642240 | +517 new | total 108506
