jobName,jobDir,jobIndex,starterSmiles,targetSmiles,targetCanonical,generationRun,maxAtoms,targetInNetwork,numMolecules,seconds,status,searchDepth,maxNumRxns,minRxnAtomEconomy,targetUsedForPathwaySearch,runRanking,runVisualization,pathwaysTxtFound,numPathwayBlocksOriginal,numPathwayBlocksExact,exactPathwaysTxt,backupPathwaysTxt
high_pPotency_molecule_pathway14_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway14_wGen2,14,Nc1cc(O)cc(C=C2C=CC(=O)O2)c1,Nc1cc(O)cc(C(CO)=C2C=CC(=O)O2)c1,Nc1cc(O)cc(C(CO)=C2C=CC(=O)O2)c1,2,"{'C': 17, 'N': 2, 'O': 5, 'S': 1}",True,1114,792.87,ok,2,2,0.0,Nc1cc(O)cc(C(CO)=C2C=CC(=O)O2)c1,True,False,True,1,1,high_pPotency_molecule_pathway14_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway14_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway15_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway15_wGen1,15,C=CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,1,"{'C': 15, 'N': 5, 'O': 5, 'S': 1}",False,96,31.87,ok,1,1,0.0,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,True,False,False,0,0,high_pPotency_molecule_pathway15_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway15_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway15_wGen2,15,C=CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,2,"{'C': 15, 'N': 5, 'O': 5, 'S': 1}",True,1828,1135.99,ok,2,2,0.0,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,True,False,True,1,1,high_pPotency_molecule_pathway15_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway15_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway16_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway16_wGen1,16,C=CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,1,"{'C': 15, 'N': 5, 'O': 5, 'S': 1}",False,96,31.68,ok,1,1,0.0,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,True,False,False,0,0,high_pPotency_molecule_pathway16_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway16_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway16_wGen2,16,C=CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,2,"{'C': 15, 'N': 5, 'O': 5, 'S': 1}",True,1828,1147.21,ok,2,2,0.0,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,True,False,True,1,1,high_pPotency_molecule_pathway16_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway16_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway17_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway17_wGen1,17,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,1,"{'C': 17, 'N': 5, 'O': 3, 'S': 1}",False,117,33.88,ok,1,1,0.0,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,True,False,False,0,0,high_pPotency_molecule_pathway17_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway17_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway17_wGen2,17,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,2,"{'C': 17, 'N': 5, 'O': 3, 'S': 1}",True,2843,1655.5,ok,2,2,0.0,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,True,False,True,2,2,high_pPotency_molecule_pathway17_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway17_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway18_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway18_wGen1,18,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,1,"{'C': 17, 'N': 5, 'O': 3, 'S': 1}",False,117,33.14,ok,1,1,0.0,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,True,False,False,0,0,high_pPotency_molecule_pathway18_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway18_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway18_wGen2,18,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,2,"{'C': 17, 'N': 5, 'O': 3, 'S': 1}",True,2843,1581.27,ok,2,2,0.0,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,True,False,True,2,2,high_pPotency_molecule_pathway18_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway18_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway19_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway19_wGen1,19,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,1,"{'C': 14, 'N': 5, 'O': 5, 'S': 1}",False,87,27.99,ok,1,1,0.0,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,True,False,False,0,0,high_pPotency_molecule_pathway19_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway19_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway19_wGen2,19,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,2,"{'C': 14, 'N': 5, 'O': 5, 'S': 1}",True,1275,770.6,ok,2,2,0.0,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,True,False,True,1,1,high_pPotency_molecule_pathway19_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway19_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway20_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway20_wGen1,20,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,1,"{'C': 14, 'N': 5, 'O': 5, 'S': 1}",False,87,28.06,ok,1,1,0.0,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,True,False,False,0,0,high_pPotency_molecule_pathway20_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway20_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway20_wGen2,20,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,2,"{'C': 14, 'N': 5, 'O': 5, 'S': 1}",True,1275,798.19,ok,2,2,0.0,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,True,False,True,1,1,high_pPotency_molecule_pathway20_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway20_wGen2_pathways_unfiltered.txt
