Starter_Name,Starter_Canonical_SMILES,Target_Canonical_SMILES,DORAnet_gen,feasibilityScore_rule3
Basidalin,NC1=CC(=O)O/C1=C/C=O,NC1=C(CCl)C(=O)O/C1=C(\O)CCl,3.0,0.6699854731559753
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\O)CCl,3.0,0.9910687208175659
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(=O)Cl,3.0,0.9896191954612732
Basidalin,NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)C(=O)/C=C1/OC(=O)C=C1N,3.0,0.891311526298523
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)OC1(N)C(C)C=O,3.0,0.9574429988861084
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=C(C)C(=O)OC1(N)CC=O,3.0,0.725106418132782
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(=O)CN,3.0,0.9730924963951111
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)OC1CC(O)C#N,3.0,0.7650068998336792
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NCC(=O)/C=C1/OC(=O)C=C1N,3.0,0.9672203063964844
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(O)(C#N)OC/C=C1/OC(=O)C=C1N,3.0,0.7423758506774902
Basidalin,NC1=CC(=O)O/C1=C/C=O,C=C1OC(=O)C(C(O)C#N)=C1NC(C)=O,3.0,0.8951080441474915
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(O)(C#N)C(=O)/C=C1/OC(=O)C=C1N,3.0,0.6612098217010498
Basidalin,NC1=CC(=O)O/C1=C/C=O,C/C(C(=O)C(O)C#N)=C1\OC(=O)C=C1N,3.0,0.9565711617469788
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NC/C(O)=C1/OC(O)C=C1N,3.0,0.9796873331069946
Basidalin,NC1=CC(=O)O/C1=C/C=O,CC(=O)NCCC(=O)C(N)=CC(=O)O,3.0,0.8976616859436035
