dirName,jobName,sourceFolderNum,sourceDirectory,sourceDirectoryPath,sourceJsonName,sourceJsonPath,sourcePathwaysTxtPath,routeId,routeNumberInFile,generationRun,searchDepthUsed,step,numSteps,starterSMILES,targetSMILES,reactants,products,reactionString,reactionSMILES,simplifiedReactionSMILES,fullReactionSMILES,reconstructedPathwayString,cofactorReactants,cofactorProducts,hasCofactors,ruleName,thermo,reactantStoich,productStoich,reactionType,rawNetworkReactionString,networkMatchStatus,numReactantMolecules,numProductMolecules,starterInReactants,targetInProducts,isReconstructedPathwayStep,routeStepId,fullReconstructedPathwayString,rxn_str,feasibilityScore_rule1,feasibilityLabel_rule1,feasibilityScore_rule2,feasibilityLabel_rule2,feasibilityScore_rule3,feasibilityLabel_rule3,feasibilityScore_rule4,feasibilityLabel_rule4
high_pPotency_molecule_pathway11_wGen1,high_pPotency_molecule_pathway11_wGen1,11,high_pPotency_molecule_pathway11_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen1,high_pPotency_molecule_pathway11_wGen1_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen1/high_pPotency_molecule_pathway11_wGen1_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen1/high_pPotency_molecule_pathway11_wGen1_pathways_exact1.txt,high_pPotency_molecule_pathway11_wGen1_route_000001,1,1,1,1,1,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O >> CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,,,False,rule0028_51,No_Thermo,"(1,)","(1,)",Enzymatic,"CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>rule0028_51>No_Thermo$(1,)$(1,)$Enzymatic>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O",matched_by_reaction_and_rule,1,1,True,True,True,high_pPotency_molecule_pathway11_wGen1_route_000001_step_01,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,0.04842570796608925,0.0,0.021984539926052094,0.0,0.9711303114891052,1.0,0.9586554169654846,1.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000002,2,2,2,1,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O >> CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,,,False,rule0028_51,No_Thermo,"(1,)","(1,)",Enzymatic,"CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>rule0028_51>No_Thermo$(1,)$(1,)$Enzymatic>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O",matched_by_reaction_and_rule,1,1,False,True,True,high_pPotency_molecule_pathway11_wGen2_route_000002_step_01,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,0.024426735937595367,0.0,0.03842842951416969,0.0,0.7852791547775269,1.0,0.6212206482887268,0.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000002,2,2,2,2,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O >> CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,,,False,rule0028_51,No_Thermo,"(1,)","(1,)",Enzymatic,"CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>rule0028_51>No_Thermo$(1,)$(1,)$Enzymatic>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O",matched_by_reaction_and_rule,1,1,True,False,True,high_pPotency_molecule_pathway11_wGen2_route_000002_step_02,CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCCC1=CC(=CC(C)NC(N)=[NH2+])OC1=O,0.06431827694177628,0.0,0.1868925839662552,0.0,0.9929714798927307,1.0,0.43617671728134155,0.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000003,3,2,2,2,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,,False,rule0043_12,No_Thermo,"(1, 1)","(1, 1)",Enzymatic,"CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>rule0043_12>No_Thermo$(1, 1)$(1, 1)$Enzymatic>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O",matched_by_reaction_and_rule,2,2,True,False,True,high_pPotency_molecule_pathway11_wGen2_route_000003_step_02,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.9697120785713196,1.0,0.9832640290260315,1.0,0.987136960029602,1.0,0.7838764190673828,1.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000005,5,2,2,1,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O >> CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,,,False,rule0028_51,No_Thermo,"(1,)","(1,)",Enzymatic,"CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>rule0028_51>No_Thermo$(1,)$(1,)$Enzymatic>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O",matched_by_reaction_and_rule,1,1,False,True,True,high_pPotency_molecule_pathway11_wGen2_route_000005_step_01,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,0.14827902615070343,0.0,0.00910151470452547,0.0,0.788670539855957,1.0,0.9240832924842834,1.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000005,5,2,2,2,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O >> CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,,,False,rule0028_51,No_Thermo,"(1,)","(1,)",Enzymatic,"CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>rule0028_51>No_Thermo$(1,)$(1,)$Enzymatic>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O",matched_by_reaction_and_rule,1,1,True,False,True,high_pPotency_molecule_pathway11_wGen2_route_000005_step_02,CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O>>CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O>>CCC1=CC(=C(CC)CNC(N)=[NH2+])OC1=O,0.17749308049678802,0.0,0.011625057086348534,0.0,0.920290470123291,1.0,0.6294611096382141,0.0
high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2,11,high_pPotency_molecule_pathway11_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2,high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_network_pretreated.json,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway11_wGen2/high_pPotency_molecule_pathway11_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway11_wGen2_route_000006,6,2,2,2,2,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O>>CCC(C)CC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,,False,rule0043_12,No_Thermo,"(1, 1)","(1, 1)",Enzymatic,"CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>rule0043_12>No_Thermo$(1, 1)$(1, 1)$Enzymatic>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O",matched_by_reaction_and_rule,2,2,True,False,True,high_pPotency_molecule_pathway11_wGen2_route_000006_step_02,CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O>>CCC(C)CC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O  ||  CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.9697120785713196,1.0,0.9832640290260315,1.0,0.987136960029602,1.0,0.7838764190673828,1.0
