ATC_code,Drug_Type,Canonical_SMILES,MACAW_1,MACAW_2,MACAW_3,MACAW_4,MACAW_5,MACAW_6,MACAW_7,MACAW_8,MACAW_9,MACAW_10,MACAW_11,MACAW_12,MACAW_13,MACAW_14,MACAW_15,MACAW_16,MACAW_17,MACAW_18,MACAW_19,MACAW_20,MACAW_21,MACAW_22,MACAW_23,MACAW_24,MACAW_25,MACAW_26,MACAW_27,MACAW_28,MACAW_29,MACAW_30,MACAW_31,MACAW_32,MACAW_33,MACAW_34,MACAW_35,MACAW_36,MACAW_37,MACAW_38,MACAW_39,MACAW_40,MACAW_41,MACAW_42,MACAW_43,MACAW_44,MACAW_45,MACAW_46,MACAW_47,MACAW_48,MACAW_49,MACAW_50,MACAW_51,MACAW_52,MACAW_53,MACAW_54,MACAW_55,MACAW_56,MACAW_57,MACAW_58,MACAW_59,MACAW_60,MACAW_61,MACAW_62,MACAW_63,MACAW_64,MACAW_65,MACAW_66,MACAW_67,MACAW_68,MACAW_69,MACAW_70,MACAW_71,MACAW_72,MACAW_73,MACAW_74,MACAW_75,MACAW_76,MACAW_77,MACAW_78,MACAW_79,MACAW_80,MACAW_81,MACAW_82,MACAW_83,MACAW_84,MACAW_85,MACAW_86,MACAW_87,MACAW_88,MACAW_89,MACAW_90
J01GB;J01RA,antibiotic,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,-0.001361134738718274,-0.15172053771621297,-0.10518118906182498,0.050624524332845686,0.010670269581508001,0.012293409212969546,-0.009118304273885434,0.026115314084876634,0.08323283000382131,-0.024786741061841994,-0.023558698896729895,-0.009241667780958945,0.052305232738729016,-0.0445422703381941,-0.048244902817353344,-0.007377144574502392,0.03608216074140286,-0.028337410409085776,0.027142462198047744,0.00037493014926694114,-0.00270909462275621,0.01001068569332592,0.02026240685329603,-0.024790206922344297,-0.020441922613720652,0.051601630305285175,0.055123988137509655,0.052372907633446486,0.033076173176700245,-0.0350619766460008,-0.01568324323550807,-0.07821618603655214,-0.025376078773686115,-0.022921344726535252,0.010379586053999412,0.042960356532072544,0.036676614621365886,-0.01152356227478882,-0.033950754152501816,-0.024213348659357224,-0.010852810957058277,0.032506851604656925,0.0025154197251775617,0.0699781753808289,-0.022836320330095035,-0.03376370657168475,0.007886576365000765,0.057625213695588,-0.04258109827919373,0.005312657479553495,-0.03991079753624981,-0.04467276933423356,0.034858658866089014,0.03602453906635706,-0.020914854767670604,-0.04593699923352127,-0.019109572264658155,0.07382512807112536,0.011724641058582449,0.011226510878648566,0.004312645633708374,-0.012773357188784584,0.03856548238091591,0.02099668960212364,0.0025278642124172794,-0.023642306120387237,0.061025485744689634,-0.008191547689760069,-0.04241572991952365,-0.04262682531185369,0.005503124509441588,-0.006153249321593751,0.004463957482243305,0.005455164415747216,-0.03808722487551112,-0.04469580184819703,-0.03759596006565695,0.024442721152402543,0.019646231105192927,0.018747737039518757,-0.030098794142119793,-0.0285512401309646,-0.028120549586416764,-0.01641241028247192,-0.11250390884530842,-0.005071255574781358,-0.06324724354313264,0.025342341120259775,0.031174047915477798,-0.0590390616526491
J01CA;J01CR,antibiotic,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-0.05196170106702622,0.012560097216633705,-0.026687559358806394,-0.08547969550884274,-0.04695005703260353,0.08888671682878407,-0.03864839458846334,0.050553352640701876,0.04853189961963597,-0.01604790426139775,-0.05109213009004697,-0.0519876220654694,0.030526168164369972,0.01635241062276019,-0.03269126624457847,0.03648944104207341,0.02053646579564704,-0.016598710043962177,0.007884051084106232,0.04807893466284154,0.002570283673020854,-0.007612780015776827,0.025857516850714617,0.032777700894146056,-0.0033798119080885834,0.0381958735518087,0.03673428626809463,-0.030349519126826048,-0.01210837595766315,-0.04072055464721208,0.003959472917063427,-0.036677228301951206,0.07372361353223836,0.05337510529300205,-0.020076815767207414,0.08008315534703134,-0.06217427667755475,-0.010310501792416974,0.12090302617477611,-0.0004758292310956414,-0.0011421327146020257,-0.024079142162777747,-0.06347030337910149,0.041568931177244556,-0.04062666133109517,0.03632817614000688,-0.040185196015049024,0.0038205867019426246,-0.03737517522705872,0.0559057520192323,-0.003996080879175544,-0.06743312018804856,0.014931428074292473,0.0187154866583936,0.01985910738753628,-0.027122536357042135,-0.06751691969596271,-0.020984271647508462,-0.032276167492444614,-0.0339239816833454,-0.051376610249445315,-0.06530453893147287,0.057525265797515705,-0.0012991990665275725,-0.06873957938363964,0.09702273462856978,0.07180090595164709,-0.09117345486346233,0.07063614285036424,0.005260939970780122,0.04311989823945758,0.00970920717061006,0.046921473314363756,-0.00016738593935351764,0.018353581596709103,-0.000170797861764957,-0.038375785288821664,-0.06970320583264022,-0.016051715962830452,-0.0378723032295729,-0.029034317955833604,-0.010542721845604473,-0.04236536534556751,-0.005527232571835218,0.017904414981428123,-0.034173492064902104,-0.007805269157648415,0.02340087322662925,-0.002283283022857581,-0.02304560578582122
J01CA;J01CR,antibiotic,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.055677323197170066,-0.03483993004900142,-0.03269863862886352,-0.1039004523296982,-0.050442415716835554,0.08300484329699814,-0.048954694034404916,0.052959211202122734,0.026552895970741446,-0.003844848598202468,-0.04645557384030238,-0.05740114544433446,0.0046297751851996785,0.016796274789984758,0.00921926899877517,0.0687358151699384,0.025632988754257423,0.010276866054874921,0.0007663798188890306,0.05468390018708859,-0.0047738147548079795,-0.021070561996831782,0.012125687961567513,0.04900322231230514,-0.026294333089131323,0.08518244993776819,0.0038381205288976483,-0.0281468315367525,0.007700989027198313,-0.07663063143076299,-0.008202722846902717,-0.014191772889726643,0.043006948249397374,0.06346924014624893,-0.03456001406803249,0.06678289649058122,-0.0721393645026361,-0.0011660704033409344,0.08954897484026976,0.04427520412163133,-0.009517595468509629,-0.017318098491313823,-0.052524466558874876,0.029611378610272878,-0.0690065495580582,0.062160469381967315,-0.021304192864246726,-0.02414909451146231,-0.040376807719607125,0.104991558425919,0.0012108857301800016,-0.008047732283862491,0.02121121908814687,0.01724728800899114,-0.023873979841280014,-0.02922419798792797,-0.04930966102550048,-0.0646350423612958,-0.03561885583777478,-0.04740113820023066,-0.03928990639478939,-0.06770537681921805,0.014727714077336373,0.010410880550490737,-0.06785379287845664,0.11665807667026523,0.08426180832029254,-0.0726287242670741,0.06475431150170068,0.020850590949422328,-0.020062215150002883,0.023995074259361426,0.037142921441693594,0.020937500796996387,0.027733400874541077,0.017696487258637338,-0.028583042678762414,-0.036306481321040966,0.03309801479292286,-0.0005662564432420761,-0.03623621500235325,0.03916079923541048,-0.009660893681062705,0.057750654676237245,-0.008896689797958629,-0.09441275513867492,-0.000231868274917741,0.03462874530338844,0.032909959975553495,-0.026947794852721852
J01DF,antibiotic,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],-0.024333865202830804,-0.0015744962275595388,-0.06954336665381398,-0.05310429838768235,0.027155125867919322,0.0235309639140569,-0.059853494863309056,0.052842569618716896,0.0011050610522350655,-0.021702116115047545,-0.07595856620228353,-0.06591470386611953,0.03239949408573857,0.04559702267881641,-0.0019415779117022101,0.005957452057066947,-0.0035991682199126886,0.046021081489593774,0.0035081648544085797,0.05413412682901276,-0.005709011272794694,0.02511628494127767,-0.00028791955114535524,0.02668448613013791,0.01701986684076455,0.002546104763392578,0.02569318398323906,-0.020775768390370215,0.030658208481042358,-0.005593957844314022,-0.019504984501202555,-0.029318856547225332,0.05242115864097534,-0.0002550384507865682,0.00360416338527339,-0.013612679541555681,-0.008904656182843678,0.009062057661931609,0.02052614035561047,-0.0058032687845283116,-0.027881389378390332,-0.000715981761759299,0.00114838840946036,-0.004057652025620667,-0.0001888531899182982,0.011318306732953372,0.0029796716646164506,-0.0038467487280121875,0.0016163289484826399,0.03981981633265762,0.028534742631196215,0.017008621311468686,0.021357477902357164,0.014742976207060627,0.01754883300265516,0.010188002812786987,-0.01007555507501931,0.004475079064108503,-0.02019631806588723,-0.025662892457204677,-0.006684810531658496,-0.030275094596513116,0.014473236645777961,0.0007200573287023688,-0.01625391301538175,0.016318024328304617,-0.017088034974399202,0.004880054387356149,0.030128155731627776,-0.00517892171137395,0.012682358922823295,-0.023141236292475983,-0.005803755793653552,0.014832310878662363,-0.024074802669404954,-0.019255156423911915,0.014955164297396677,-0.021496294055922054,0.009312341363720514,0.024319068978875383,0.03581476167791171,-0.017541501950384793,-0.009092765054670143,-0.006836042107152263,-0.011875067272692665,0.019249438281863266,0.0005153124360271731,0.035605044682816604,-0.022994275148807128,0.016294703531633065
J01CA;J01CR,antibiotic,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0.022609413477880664,-0.02914936003327701,-0.1067327084760937,-0.11528258736774284,0.012910407148106179,0.024888416778544392,-0.05091040476247754,0.038956847679047335,0.005440235015319116,0.00774233683683067,-0.013850134128644003,-0.04372614568232892,0.037826322367885516,-0.00916492688478439,-0.0245052677625203,0.05184556248852511,0.050838913983516046,0.012966426250881525,0.029753860081494745,0.05567580343291783,-0.0322618764877985,-0.023270592212322624,-0.010539457969615225,0.011508912650253854,-0.04602708842363981,0.06529375947540919,0.006303021095230371,-0.014909402566587727,0.019409939868579237,-0.0579569429183745,-0.011448182764326187,-0.019844968278022172,0.04046613059095805,0.0074147211290362895,-0.0021280550868931526,0.0598158838802219,-0.015763287840466232,-0.024599678642808126,0.05711718272751983,0.011910804872293292,-0.000584296081495116,-0.007392232653714201,-0.04573860501352078,-0.0031419964504714112,-0.027593457700547233,0.029058269053017262,0.004850618453894524,0.011299662722323942,-0.02069880377919866,0.054347555577782244,-0.008431268330483362,-0.06119102180260441,0.004520081618724241,0.008687689052704003,-0.010235879867942527,-0.00758575505339369,-0.027843075640875646,-0.03382265630552883,0.008624693610848654,-0.04296910905492933,-0.03595824050255316,-0.04909082273287725,0.028315127078571645,0.01654965483546182,-0.044759178589295845,0.05467002205809274,0.05828183859809765,-0.05479738786777085,0.06051916175163751,-0.008475857083960207,0.02976759787728251,0.005187573988320664,0.015074299149895998,0.021458688515426746,-0.0024216461234056706,0.016391810897253542,-0.02080403177651592,-0.014512435165585248,-0.007616998098201908,-0.011666586722946872,-0.024592615071602167,-0.037933991049401934,-0.008671078665689716,0.027711627058259372,0.007761647782550505,-0.039584142616344804,-0.02503562321120395,0.02094407112199278,0.014211205891947477,0.007985385454796922
J01XX,antibiotic,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,0.10987398744436386,-0.1799935533103438,-0.377839331774578,0.18895733554427302,-0.24646623668751788,0.03929138617678373,-0.0198558071272465,-0.010208643027501437,0.08151758595176643,-0.08024121764564154,-0.02360754696116597,0.09793145217279499,-0.09659689210249073,-0.042144241444835216,0.04771741514040775,0.02841852883752487,-0.00011346635454320686,0.022259293770228727,-0.011373641486000643,-0.02548644860872974,-0.027988533914070683,-0.00900018492019677,-0.00898195451283544,0.007710745005666743,0.04195921655532554,-0.10071989254180319,-0.04450416241213409,-0.09530772311006354,-0.09425958131966937,0.042992579593186295,0.03418506638995985,0.08058921175276504,-0.011257754176278046,0.008243470477214344,0.002368544130595021,-0.038567401071368454,0.008610227060426155,-0.015612405913007693,-0.004042895683671811,0.010165395396119131,-0.009327885183162302,-0.0072424367138070956,0.008612665051908906,-0.02374110453313913,0.003044882242302889,0.03754830462356056,0.00418356625945452,-0.024075286032883576,0.03714775076382267,0.00041162325406351313,0.008737061342240802,0.021762377026568136,-0.022450302566094482,-0.030057842487397304,0.026210415991790303,0.010627395010311805,0.014565478228427652,0.014426279082340681,-0.019016502457227736,0.024405074009344496,-0.017371707844530092,0.012316426685169746,0.003844928973478618,-0.0022876907296441942,0.0026345980440749487,0.006190746702092131,-0.02639463196785231,-0.014113134463100044,-0.004703830755331748,-0.003259783657671815,0.0050235350492176655,-0.0017861962386997512,0.011159734261797352,-0.004954206116507064,0.003799559659751168,0.0075907665953482755,0.019553714145607803,-0.009857908931901457,0.023829618031699182,-0.016755413917296576,0.0014212600930640727,-8.853085433038754e-06,0.001891657207540788,-0.009955367047606627,0.015143420704060537,-0.0006486023297321564,0.012239337705605452,-0.007505499342727401,-0.010896563355621136,0.006900895462973939
J01CE;J01CR,antibiotic,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.07828820478316742,-9.894843522890648e-05,-0.003815634398163981,-0.09278706291331221,-0.041495075205834876,0.10657774775174746,-0.04411431402134344,0.043197980259023924,0.051809396906739594,-0.0007676231467446774,-0.03931185796673997,-0.058607924746977264,0.0005208247823677899,0.008027870678394274,-0.024696696508406328,0.059410536140380596,0.007196211393724063,0.007724131627179401,0.01964742043000657,0.06113545126892041,-0.013123028549255476,-0.016008430244106465,0.039412609446205914,0.013865751794596655,0.01988564738124736,0.038942178691800146,0.018031111575246263,-0.04241768743224426,-0.04614000608266158,-0.04709020111666737,-0.015096202421949353,-0.025059027736829907,0.08357994668106265,0.03018553628343866,-0.01662142515722864,0.07916441828752441,-0.05627563199423162,-0.009914250264794349,0.10710260138216736,0.017006414295964577,0.01235271613529803,-0.03616406060720254,-0.039580387205981865,0.0411164503479198,-0.036330419664853356,0.036903875351109144,-0.05494288840112012,0.021300374937035804,-0.029250554967614813,0.048378688799578844,0.009201036812281255,-0.08154209109725741,-0.007008641295554691,0.025523819670031412,0.017448910248848606,-0.0342929272541464,-0.06445888597812346,-0.01982231912778297,-0.017536961675713576,0.0024412038854573215,-0.039460145955586126,-0.0502751660945452,0.056151196713745084,-0.04156822338821101,-0.057022100118082134,0.08987407676791506,0.07797866000085417,-0.12992341204263977,0.08002331921602332,0.012145507807998945,0.05190920496597585,0.003749674462491986,0.052313323461144645,0.012914071810244794,-0.009280390433374624,0.0138192848600897,-0.009783390631104866,-0.06709157861524473,-0.029909110445369223,-0.038009367656087256,-0.04214013701680613,-0.021202273213701398,-0.017822282494108575,0.0015137500587584195,0.002773018398166481,-0.03619999009414765,0.0023909688079496033,0.042881144244484894,-0.0038909290862607984,-0.026377534009961456
J01CA;J01CR,antibiotic,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.05656387129169936,0.012668906950866017,-0.039066216275577076,-0.08634314698129045,-0.0432761090950656,0.12668670256258352,-0.04752329845574716,0.05882832428650572,0.04475449644239603,-6.002189078628886e-05,-0.05196157101086831,-0.06104714802527539,0.029181279228605417,0.028434777156257335,-0.03872461165829117,0.035813851006060424,0.01326432170056108,-0.005957732994113553,0.012299577656858823,0.06549084476805017,-0.01234972014539603,-0.004522048147587027,0.039204170463347794,0.04413288923878901,-0.0051472836200447784,0.051256196416476454,0.03341916674288025,-0.03159072635669273,-0.015109992386914057,-0.05895282332992674,0.006955740497504859,-0.029369938440865863,0.07906014548853015,0.06810545252690178,-0.012845998786503367,0.05694885080895665,-0.07673591199941376,-0.010505667358528226,0.09594621763375226,0.035665112507796096,0.024284190040529393,-0.039657994209659694,-0.04905879190250059,0.035391982306533475,-0.026670684724022987,0.05059867863332905,-0.03243420471055706,0.008166803050229675,-0.030783327369240873,0.05475180499465192,0.001394550822995771,-0.08190962215590011,0.0016073751321656442,0.0005225930752943628,0.0015788231307856154,-0.04748494499477848,-0.07341932493543529,-0.007526885276078475,-0.04529599769462155,-0.0032013998562985535,-0.030736753870295588,-0.06863518359552327,0.03717151835762403,0.0025175718936856877,-0.05107309559686149,0.11821836074393641,0.07662832625151103,-0.0866858935313885,0.07131988591439573,0.006225974424607788,0.05343274336531467,0.015486682078432921,0.02243463717917192,0.018659402193587124,0.007734949721308263,-0.005626271727513061,-0.005313964043082589,-0.060195445639218276,-0.018712901325183714,-0.03564074370955476,-0.038388276431881904,0.0025344630707932296,-0.028273935604431994,0.008949673604658896,0.009872641355972463,-0.0570052878684129,-0.0019610211328361313,0.03144257559938711,0.01577780721078346,-0.004198541579003505
J01CA;J01CR,antibiotic,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.08327756220672144,-0.02418199270787599,-0.05238894689778967,-0.09083191421428514,0.007199435104832213,0.09530444906152084,0.002053437892130562,0.05620495300731426,-0.029127152832932383,-0.011451120559532391,-0.022641166946453125,-0.018014340344040532,0.0006838741221866923,0.01768207370308942,-0.010953438991697415,0.028479934521094895,0.02784954315092707,0.028649626747590588,0.009515067590352136,0.05448501850775897,-0.0402421027084923,-0.012955277356332312,-0.00844157596266688,0.03050502558747271,-0.02611105146235102,0.07846865002173506,0.006252849768818625,-0.028711319187313754,0.010893467081897281,-0.03985538564919412,-0.007224538484504094,-0.02218498276079929,0.038772113997106755,0.04687321989949218,-0.013294660215895163,0.04907459115986774,-0.05617737826064795,0.01114718126976068,0.06635748397657128,0.027022200419828047,-0.0010686505499922757,-0.03379584742489763,-0.05188648162831691,0.025448080418325525,-0.04993840207453668,0.057502961148224896,-0.013273511528454955,-0.00901396605134489,-0.021698405399848603,0.03998352861485255,-0.0011371364183503582,-0.014230689783398587,0.016369098910434567,0.001359385037379153,-0.0058602966820811234,-0.01752901607749055,-0.055251237172884826,-0.04865897255993574,-0.017280467051622294,-0.025966452389796633,-0.031177579548386267,-0.06177690315881236,0.03360648742222702,0.007948454190691555,-0.0361158189879848,0.07039697010638282,0.07899601288814131,-0.06969433464864805,0.046150006339161304,0.021057746100986194,0.010158846084397107,0.023289155568203452,0.024784879741933163,0.012177034617888643,0.0024082819077985047,0.030218776574958237,-0.03043820692006559,-0.006506161581728082,0.013402845845783943,-0.012172477636510927,-0.025807397897824602,0.018381137022308647,-0.004355791030080018,0.026217862745755535,0.01229780531579966,-0.06647454522872956,-0.0073519930118721225,0.006915237012209315,0.033946460606315794,0.007531134435023108
J01DB,antibiotic,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-0.022724479966607574,0.017507046985834076,0.022835708333093254,-0.07698038004890703,-0.009810305201560982,0.1296106200471363,-0.037052399098334896,0.06312457403255224,0.01491753380308742,-0.03713157328424661,-0.037514689656473484,-0.053695485088137485,-0.003274172734731972,0.015418470780221289,-0.007829742406291966,0.03313070596588452,0.031003634133118966,-0.0315783025263513,0.007420247574464512,0.02700754292354337,0.022706712455806168,-0.00813760996975973,0.024912622609304467,0.04024793188861257,0.0093358721604506,0.03492015803185629,-0.0036098600248464507,-0.07069486710524515,-0.03915613576241703,-0.011614290955482175,0.00359687361554456,-0.032162359291766196,0.05329912414376333,0.026249058643413536,0.01240363743046104,0.059810518796338454,-0.03457892236845024,-0.02965924312862303,0.08000264528404527,0.013462490910842586,-0.00031013589523850443,-0.024898252787993708,-0.013933379743091959,0.05018966481822237,-0.008106050328639633,0.023065465045965194,-0.07038000292641007,-0.01852327101279845,-0.03933012347754157,0.035339628644139864,0.02753030297314426,-0.06547292326762083,0.028413267290836534,0.016438606454555922,0.04823849319517561,-0.0010084614396918164,-0.03225013087807248,0.008349046368063032,-0.017530631221514128,-0.021212546212080442,-0.06650740665686888,-0.033614137474136774,0.03690724599178401,-0.0036681485705819922,-0.04611476331577687,0.06863015298753183,0.021443915845291456,-0.07822117218709426,0.02639091031153532,0.0029148853262866703,0.03646712282416245,0.016236070364736947,0.04045617384209661,0.009366430575322302,0.02283757148154306,-0.0068206580082648145,-0.02391729684904247,-0.03986072107664536,-0.007542277626874493,-0.04018406106487821,0.015406008530961203,-0.002946057326340526,-0.05454822321421389,-0.004191213019071258,0.014743504422525314,-0.07116222040593398,-0.024601150616394375,-0.01193432481237351,-0.04519701501807645,0.002126987324345671
