Model,FeatureCountMin,FeatureCountMax,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2
wMACAW_MoLFormer,858,858,0.2684267412244448,0.6250283281002199,0.8869823537326138,0.6012602889254302,1.0109473810800338,0.7043322483201022
wMoLFormer,768,768,0.2684275652715474,0.623943663689728,0.8873742714939424,0.6054769758930253,1.0112269714651714,0.704168684333962
wChemBERTa_MoLFormer,1536,1536,0.2913230039486015,0.6757962959491411,0.867876986721491,0.6004442930978647,1.020041982865779,0.6989885960083371
wMACAW_ChemBERTa_MoLFormer,1626,1626,0.29097261086795784,0.6756872414800136,0.8679196251395696,0.5988688445369329,1.020447680848525,0.6987491078175092
wMoLFormer_MIST,1280,1280,0.2813761845819222,0.6541209908849756,0.8762164232103928,0.6039137884562414,1.0244801295299115,0.696363529460051
wMACAW_MoLFormer_MIST,1370,1370,0.2816297252137253,0.6547071083204891,0.8759944941845604,0.6019353731991738,1.0247431831016895,0.6962075812670878
wMACAW_ChemBERTa_MoLFormer_MIST,2138,2138,0.2984278205725172,0.6901828791184851,0.8621917494453027,0.5995332509929482,1.0311859971097117,0.6923755362648287
wChemBERTa_MoLFormer_MIST,2048,2048,0.298070237298368,0.6898812403639112,0.8623121790496316,0.6010017195650671,1.0316788560312582,0.692081405633826
wMACAW_ChemBERTa,858,858,0.41026540292096064,0.8537635894334764,0.7891264474029945,0.6296118745108458,1.0869286718652709,0.6582181895733299
wChemBERTa,768,768,0.4198863802198467,0.8627192222407679,0.7846792890565897,0.6362752515669666,1.0936825684075075,0.6539575038015544
wMACAW_ChemBERTa_MIST,1370,1370,0.4017910951666349,0.8446279479823416,0.7936151798448556,0.6346450534952662,1.0986043323856451,0.6508359916632347
wMACAW,90,90,0.4413510643396659,0.9003707266519759,0.7654747601159406,0.6345223612785179,1.1001402349809242,0.6498590124816835
wChemBERTa_MIST,1280,1280,0.4048536525164684,0.8486301037624816,0.7916546927206903,0.6387622867819316,1.1036039692452462,0.647650740283868
wMACAW_MIST,602,602,0.4157424703727033,0.8592553891923531,0.7864048509891145,0.6456746427750161,1.116954239412382,0.6390744578973386
wMIST,512,512,0.43926038116462135,0.8857625537706988,0.7730231898778055,0.6600123399684303,1.1356482375596508,0.6268920367668955
