Canonical_SMILES,drugName,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Levofloxacin,5.385018658064001,1.1407307016748278,3.1491864827813387,7.620850833346664,4.120798150346642e-06,2.3941379271520998e-08,0.0007092731460171013,0.60750026,0.18130732,0.81366503,0.44651622,0.16140376,0.37761495,2.572023,0.036647715,0.01650515,0.0015929239,0.0053645447,0.04094375,0.025535852,0.06801596,0.03150895,0.0038413643,0.009542348,0.116479084,0.004579165,0.5934781,0.017693806,-4.7276907,0.9126797,0.19082926,0.9151314,0.021557644,0.014615545,0.07468827,0.009346351,0.055359,0.029953767,0.21383317,0.0027999813
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Ciprofloxacin,5.292256786819923,1.1404690948536593,3.0569373609067507,7.527576212733095,5.102032411152496e-06,2.9677259025170442e-08,0.0008771273217103002,0.5330749,0.090573,0.7824693,0.31041422,0.18548366,0.37624937,2.4301326,0.037662663,0.017003987,0.002885076,0.0037585092,0.043503996,0.034957234,0.09463593,0.02940454,0.0043835626,0.012306505,0.13227506,0.0038243018,0.46846637,0.008596497,-5.2444954,0.7576048,0.075984314,0.8467957,0.015062554,0.012601471,0.073429,0.009488303,0.0337063,0.025682252,0.12995169,0.002587508
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Gatifloxacin,5.276057029103828,1.1411704371618225,3.0393629722666553,7.512751085941,5.295938960396249e-06,3.0707814896363094e-08,0.0009133495680789931,0.42440477,0.12333496,0.8057728,0.28447822,0.1677829,0.31594786,2.4223003,0.037390575,0.011667732,0.0024180817,0.004880541,0.03752304,0.025235754,0.08387627,0.022404488,0.004978308,0.010997346,0.098643646,0.00453702,0.35602495,0.0151353525,-5.0716257,0.8178134,0.10589141,0.8856247,0.0076759965,0.015495789,0.0838226,0.0119691035,0.03577262,0.02252937,0.18129502,0.005946656
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,Doxycycline,5.054334527079096,1.1487631461636558,2.8027587605983304,7.305910293559862,8.823999461344556e-06,4.944128007227267e-08,0.0015748574142900387,0.33186236,0.10277407,0.8392172,0.21502337,0.026938384,0.20476684,2.3465605,0.016006239,0.013502425,0.00050809595,0.009571947,0.029355854,0.009688845,0.066721834,0.02664819,0.0034833415,0.009992493,0.0850088,0.0017602651,0.17241517,0.008381349,-5.9902716,0.83021563,0.058068,0.86844033,0.0035957943,0.008807847,0.038877875,0.0068305745,0.00985096,0.0028205814,0.21739145,0.0035887943
NC1=CC(=O)O/C1=C/C=O,Basidalin,3.8305451624196145,1.1399431631815,1.5962565625838745,6.064833762255354,0.00014772528536134886,8.61323383488513e-07,0.025336314273398584,0.8360583,0.029785741,0.75796723,0.036997527,0.24817643,0.9156793,2.1554532,0.5061997,0.1344008,0.1381182,0.11575085,0.15741079,0.06044683,0.01781652,0.17977042,0.013478245,0.032943245,0.0869722,0.040509623,0.9044981,0.0047810683,-4.4469023,0.997944,0.90020734,0.801551,0.67310315,0.09461497,0.15213928,0.03860771,0.077672675,0.0071883136,0.43695593,0.010456321
CCC=C1OC(=O)[C@@H](C)[C@H]1O,Basidalin_Precursor,3.7014845414026416,1.1398337955073272,1.4674103022082803,5.9355587805970025,0.0001988453587617268,1.1599552086867661e-06,0.03408707198775734,0.1412897,0.032113086,0.37306398,0.03626009,0.15587124,0.51560247,2.1607687,0.027259339,0.004103043,0.008173587,0.0044336715,0.0052608824,0.005296235,0.014765577,0.010827802,0.0040397854,0.003944439,0.037843302,0.006148474,0.94662523,0.005044724,-4.0456185,0.999726,0.93941766,0.93710196,0.13386919,0.044454325,0.28011018,0.0110918945,0.19384079,0.004459955,0.35030052,0.0028303515
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,Penicillin G,3.6100171645319508,1.140807030109352,1.3740353855176206,5.845998943546281,0.00024546119006439596,1.4256110615032066e-06,0.04226341774052936,0.06919096,0.016860422,0.7759265,0.08122563,0.18465282,0.29219237,2.0074525,0.040324807,0.0051809093,0.0029519368,0.0011008899,0.017279573,0.0081376955,0.04888884,0.0020696905,0.0024082728,0.009686201,0.08718328,0.010747264,0.14765176,0.0110597,-5.6072783,0.5249537,0.022473076,0.82287276,0.00048365668,0.012205094,0.13260792,0.012019034,0.004932138,0.0020680649,0.110813215,0.001802999
