compound_id,Canonical_SMILES,pPotency,Bacteria
73055907,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cnc5ccccc5c4)c3)ccc2n1,5.2441251443275085,BacillusAnthracis
73056180,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cccc5ncccc45)c3)ccc2n1,4.481486060122113,BacillusAnthracis
73055300,COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1,4.0,BacillusAnthracis
73055302,COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1OC,4.0,BacillusAnthracis
73055304,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3Cl)ccc2n1,4.0,BacillusAnthracis
73054731,Cc1cc(N)c2cc(NC(=O)c3cc4ccccc4cn3)ccc2n1,4.2839966563652006,BacillusAnthracis
73055013,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccc5ncccc5c4)cc3)ccc2n1,5.795880017344075,BacillusAnthracis
73056774,COc1ccncc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.301029995663981,BacillusAnthracis
73055305,Cc1cc(N)c2cc(NC(=O)Nc3ccc4c(c3)OCO4)ccc2n1,4.0,BacillusAnthracis
73055605,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(=O)c4ccccc4)cc3)ccc2n1,4.585026652029182,BacillusAnthracis
234080,Cc1cc(N)c2cc(NC(=O)Cc3ccccc3)ccc2n1,4.0,BacillusAnthracis
73055017,Cc1cc(N)c2cc(NC(=O)Cc3ccc4c(c3)OCO4)ccc2n1,4.0,BacillusAnthracis
73055018,COc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,5.522878745280337,BacillusAnthracis
73055903,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cncc5ccccc45)cc3)ccc2n1,4.886056647693163,BacillusAnthracis
73056182,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3C)ccc2n1,4.0,BacillusAnthracis
73056183,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3C(F)(F)F)ccc2n1,4.42021640338319,BacillusAnthracis
73055602,CCOC(=O)c1ccc(NC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.060480747381382,BacillusAnthracis
73055604,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(C)C)cc3)ccc2n1,4.080921907623926,BacillusAnthracis
73055904,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccc5ncccc45)cc3)ccc2n1,5.0,BacillusAnthracis
73056181,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cccc5cccnc45)c3)ccc2n1,4.443697499232713,BacillusAnthracis
73054733,Cc1cc(N)c2cc(NC(=O)c3cc4ccccc4o3)ccc2n1,4.045757490560675,BacillusAnthracis
73054734,COc1ccc2[nH]c(C(=O)Nc3ccc4nc(C)cc(N)c4c3)cc2c1,4.356547323513812,BacillusAnthracis
73056773,COc1ncccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.3872161432802645,BacillusAnthracis
73055306,Cc1cc(N)c2cc(NC(=O)Nc3ccc(-c4ccccc4)cc3)ccc2n1,4.102372908709558,BacillusAnthracis
73055016,Cc1cc(N)c2cc(NC(=O)COc3ccc(OCc4ccccc4)cc3)ccc2n1,4.481486060122113,BacillusAnthracis
73055905,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccc5cccnc45)cc3)ccc2n1,4.958607314841775,BacillusAnthracis
73055906,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4ccc5ncccc5c4)c3)ccc2n1,5.337242168318426,BacillusAnthracis
73056185,COc1ccccc1/C=C/C(=O)Nc1ccc2nc(C)cc(N)c2c1,4.337242168318426,BacillusAnthracis
73056477,CCOc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0,BacillusAnthracis
73056478,CCCOc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0,BacillusAnthracis
73055902,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cnc5ccccc5c4)cc3)ccc2n1,5.522878745280337,BacillusAnthracis
73056473,COc1ccc(Br)cc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0,BacillusAnthracis
73054451,Cc1cc(N)c2cc(NC(=O)c3ccc(Oc4ccccc4)cc3)ccc2n1,4.154901959985743,BacillusAnthracis
73054455,Cc1cc(N)c2cc(NC(=O)c3cccc(N(C)C)c3)ccc2n1,4.0,BacillusAnthracis
73054732,Cc1cc(N)c2cc(NC(=O)c3ccc4ccccc4n3)ccc2n1,4.091514981121351,BacillusAnthracis
73055301,COc1ccc(OC)c(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1,4.0,BacillusAnthracis
73054454,Cc1cc(N)c2cc(NC(=O)c3ccco3)ccc2n1,4.0,BacillusAnthracis
73056479,COc1ccccc1CC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0,BacillusAnthracis
73056179,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cncc5ccccc45)c3)ccc2n1,4.6777807052660805,BacillusAnthracis
73055019,COc1ccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.0,BacillusAnthracis
73056184,Cc1cc(N)c2cc(NC(=O)CCc3ccc(F)cc3)ccc2n1,4.0,BacillusAnthracis
73056475,COc1cc(Cl)ccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.107905397309519,BacillusAnthracis
73056476,COc1cc(Br)ccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.236572006437063,BacillusAnthracis
73054730,Cc1cc(N)c2cc(NC(=O)c3ccc(N4CCOCC4)cc3)ccc2n1,4.0,BacillusAnthracis
73054736,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccnc4)cc3)ccc2n1,4.366531544420414,BacillusAnthracis
4369384,Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C2CCOCC2)ccc1F,7.619788758288394,BacillusAnthracis
135403140,O=C(N/N=C/c1cc([N+](=O)[O-])ccc1O)c1ccc(O)c(O)c1,5.958607314841775,BacillusAnthracis
136241621,Cc1cc(=S)c(O)c(C(=S)NCc2ccc(-c3ccccc3)cc2)o1,4.853871964321762,BacillusAnthracis
