dirName,starters_Canonical_SMILES,target_Canonical_SMILES,helpers_Canonical_SMILES,maxAtoms,generations,pPotency_prediction,pPotency_std,IC50 (µM)
high_pPotency_molecule_pathway1_wGen2,Nc1ccc(C=C2C=C(O)C(=O)O2)cc1,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 17, 'N': 2, 'O': 5, 'S': 1}",2,5.094,1.1397669086346611,8.052346800521386
high_pPotency_molecule_pathway1_wGen1,Nc1ccc(C=C2C=C(O)C(=O)O2)cc1,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 17, 'N': 2, 'O': 5, 'S': 1}",1,5.094,1.1397669086346611,8.052346800521386
high_pPotency_molecule_pathway2_wGen1,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",1,5.058,1.1410215681821656,8.748832473558398
high_pPotency_molecule_pathway2_wGen2,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",2,5.058,1.1410215681821656,8.748832473558398
high_pPotency_molecule_pathway3_wGen1,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",1,5.055,1.142338318737949,8.804155655620603
high_pPotency_molecule_pathway3_wGen2,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",2,5.055,1.142338318737949,8.804155655620603
high_pPotency_molecule_pathway4_wGen1,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",1,5.049,1.1409926943491222,8.923592695229539
high_pPotency_molecule_pathway4_wGen2,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 5, 'O': 3, 'S': 1}",2,5.049,1.1409926943491222,8.923592695229539
high_pPotency_molecule_pathway5_wGen2,Nc1cc(O)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 17, 'N': 2, 'O': 6, 'S': 1}",2,5.035,1.1399036321584706,9.224873474167856
high_pPotency_molecule_pathway5_wGen1,Nc1cc(O)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 17, 'N': 2, 'O': 6, 'S': 1}",1,5.035,1.1399036321584706,9.224873474167856
