Canonical_SMILES,drugName,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Levofloxacin,5.385018658064001,1.1407307016748278,3.1491864827813387,7.620850833346664,4.120798150346642e-06,2.3941379271520998e-08,0.0007092731460171013
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Ciprofloxacin,5.292256786819923,1.1404690948536593,3.0569373609067507,7.527576212733095,5.102032411152496e-06,2.9677259025170442e-08,0.0008771273217103002
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Gatifloxacin,5.276057029103828,1.1411704371618225,3.0393629722666553,7.512751085941,5.295938960396249e-06,3.0707814896363094e-08,0.0009133495680789931
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,Doxycycline,5.054334527079096,1.1487631461636558,2.8027587605983304,7.305910293559862,8.823999461344556e-06,4.944128007227267e-08,0.0015748574142900387
NC1=CC(=O)O/C1=C/C=O,Basidalin,3.8305451624196145,1.1399431631815,1.5962565625838745,6.064833762255354,0.00014772528536134886,8.61323383488513e-07,0.025336314273398584
CCC=C1OC(=O)[C@@H](C)[C@H]1O,Basidalin_Precursor,3.7014845414026416,1.1398337955073272,1.4674103022082803,5.9355587805970025,0.0001988453587617268,1.1599552086867661e-06,0.03408707198775734
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,Penicillin G,3.6100171645319508,1.140807030109352,1.3740353855176206,5.845998943546281,0.00024546119006439596,1.4256110615032066e-06,0.04226341774052936
