Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,antibiotic,4.610757285989159,1.1395435848686368,2.377251859646631,6.8442627123316875,2.4504323315296385e-05,1.4313218057358404e-07,0.004195156244628585,0.17430082,0.019105315,0.88342655,0.057350527,0.21441054,0.42941087,2.0785053,0.10166569,0.009591261,0.007621759,0.0022118227,0.04692048,0.012207108,0.038682073,0.0031143946,0.0048825555,0.012456156,0.07818364,0.014048763,0.14873818,0.013869062,-5.8076444,0.32966214,0.024088878,0.69544154,0.00088807,0.025033053,0.13069418,0.022884354,0.004040477,0.0064518377,0.1401864,0.005086126
CON(C)Cc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,antibiotic,4.585712943577401,1.1400344966703237,2.3512453301035667,6.820180557051236,2.5958946084261566e-05,1.512932119201386e-07,0.004454045711986765,0.34392136,0.11818725,0.70719033,0.31749442,0.030751359,0.20267244,2.638438,0.010058297,0.008933245,0.0003054047,0.0033434741,0.02743336,0.007582861,0.058788814,0.015175404,0.0017246306,0.009475355,0.07321284,0.0012304692,0.14404082,0.0049897516,-5.8298836,0.7002145,0.035110746,0.8604952,0.0029720129,0.0047894297,0.022266617,0.0032346365,0.013542896,0.0047147884,0.17670462,0.0029629613
CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c5cc(O)c(CNCP(=O)(O)O)c(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H]1O,antibiotic,4.583668351758636,1.1400364617058456,2.3491968868151787,6.818139816702093,2.6081444948123003e-05,1.520058083673111e-07,0.004475103799574657,0.55318034,0.7112907,0.4668495,0.24561357,0.0673021,0.12216787,4.390409,0.05370132,0.07384209,0.00013233094,0.0015780724,0.15917069,0.008883909,0.1547755,0.0007088495,0.019475281,0.060075045,0.24046734,4.5903358e-05,0.0008170546,0.023890525,-9.452387,1.0043572e-05,3.3212095e-06,0.0039033,2.4465277e-05,0.09014526,1.4327726e-06,0.011136298,8.980397e-06,0.04037549,0.019055918,0.2825274
CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,antibiotic,4.554862848729067,1.140362548589495,2.319752253493657,6.789973443964477,2.7870011715281644e-05,1.6219092700750355e-07,0.004789032082996862,0.6558821,0.43230897,0.019550035,0.0148143945,0.0030098627,0.43945464,3.5779076,0.07862166,0.01671534,0.00021969434,0.00054957264,0.090272546,0.018327996,0.0642388,9.793241e-05,0.0011129028,0.07495312,0.26317292,4.8279402e-05,0.0025141337,0.009676513,-8.101736,0.009916926,0.0008368157,0.07527613,1.1423232e-06,0.003696638,1.3198505e-05,0.00045973845,0.0061017787,0.0144496085,0.1446218,0.27574295
O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,antibiotic,4.526442523324895,1.1390021551958882,2.293998299140954,6.758886747508836,2.975483022932094e-05,1.7422611496916894e-07,0.0050816143270621785,0.7258784,0.09265665,0.31606096,0.29896507,0.20452102,0.6617125,2.3183963,0.16523865,0.061482273,0.03624885,0.0075011924,0.13060549,0.08281194,0.046794824,0.011457543,0.014715031,0.0570141,0.14581871,0.037259158,0.51697856,0.010846401,-5.6432343,0.44860858,0.07188523,0.5935491,0.0049557793,0.03667356,0.08541386,0.011600172,0.030820107,0.043686144,0.27325347,0.0062987297
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,antibiotic,4.491744391392641,1.1392018661785805,2.258908733682623,6.724580049102658,3.222965143368137e-05,1.8854714076144472e-07,0.0055092345995893756,0.99224216,0.05276867,0.52303874,0.0722687,0.5334113,0.9615512,1.7043793,0.19827993,0.007509634,0.020944346,0.002397691,0.063966975,0.03434769,0.0049676355,0.002052328,0.0021942798,0.006652941,0.07356508,0.0022333278,0.9668001,0.0020253933,-4.3507495,0.99753314,0.82360744,0.8977771,0.0037170313,0.009860822,0.121443346,0.0006062704,0.08034152,0.0037437542,0.6419906,0.0012709878
CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,antibiotic,4.484650641638495,1.1397168450201984,2.2508056253989057,6.7184956578780834,3.276041226283451e-05,1.9120724416103818e-07,0.005612991371430321,0.235237,0.2664062,0.97301006,0.40076286,0.4289527,0.23792367,2.2899828,0.22755298,0.10989462,0.02268116,0.13440365,0.15800723,0.027063925,0.06893326,0.42036647,0.056530606,0.034449894,0.15594232,0.045499504,0.35792175,0.11919154,-5.0387177,0.94065607,0.29695252,0.86766213,0.20223995,0.07647328,0.3464711,0.1212554,0.04492508,0.040718127,0.24596784,0.059639145
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,antibiotic,4.483419859700337,1.1414634085621953,2.2461515789184343,6.72068814048224,3.2853386301744925e-05,1.9024439023200842e-07,0.005673465536489088,0.4493185,0.05868295,0.9418874,0.20505679,0.42870903,0.42972678,1.9619732,0.08585116,0.022199024,0.0069781393,0.015862474,0.046028193,0.013587539,0.02932303,0.11178894,0.003739105,0.0081776865,0.07929371,0.009936253,0.69748956,0.011902675,-4.928294,0.9558567,0.30892903,0.9049737,0.06433953,0.012507354,0.27271873,0.012215634,0.043705203,0.0059287017,0.20471592,0.0017990668
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,antibiotic,4.408379911311464,1.1399023588807669,2.174171287905161,6.642588534717767,3.904991462267245e-05,2.277253956454881e-07,0.0066962045568773115,0.021831324,0.36267197,0.8793496,0.06318924,0.090969756,0.08020147,2.5234942,0.05514144,0.001066735,0.019281259,0.0024445578,0.0017514859,0.00013253596,0.0010082483,0.059711218,0.13663916,0.0013057322,0.010446172,0.00010400555,0.48460674,0.01178186,-5.376172,0.9999995,0.6738334,0.8173267,0.114963666,0.8351723,0.07757365,0.54852915,0.01283402,0.09156383,0.360583,0.9226122
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,antibiotic,4.40241048542074,1.1400117339236235,2.167987486930438,6.636833483911042,3.9590365808371305e-05,2.307631805455584e-07,0.006792232023909079,0.34171838,0.6827053,0.124754384,0.29326716,0.02482811,0.5658749,2.3653183,0.27976838,0.02162762,0.09975214,0.28932756,0.1252905,0.06790204,0.07195946,0.0061471895,0.06513168,0.11429586,0.17371917,0.061435927,0.5900458,0.55494255,-4.9933615,0.99172163,0.81898785,0.6853007,0.0018230614,0.027728587,0.059275817,0.030479291,0.27063245,0.075974874,0.7860354,0.11811869
