starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1OC(C)=O,1,0.7174,
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@]1(C)OC=O,2,0.5094,
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@@]1(C)C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1OC=O,2,0.4815,
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@]1(C)OC=O,2,0.5094,
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1OC(C)=O,1,0.7174,
CO[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@@]1(C)C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1OC=O,2,0.4815,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@]1(C)C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1OC=O,2,0.4815,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@]1(C)C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1OC=O,2,0.4815,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@]1(C)OC=O,2,0.5094,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1OC(C)=O,1,0.7174,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1OC(C)=O,1,0.7174,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@]1(C)OC=O,2,0.5094,
O=C1C[C@@H](O)C(=Cc2c[nH]c(Cl)c2Cl)O1,CC(O)(C#N)O[C@@H]1CC(=O)OC1=Cc1c[nH]c(Cl)c1Cl,2,0.566,
O=C1C[C@H](O)C(=Cc2c[nH]c(Cl)c2Cl)O1,CC(O)(C#N)O[C@H]1CC(=O)OC1=Cc1c[nH]c(Cl)c1Cl,2,0.566,
O=C1OC(=Cc2c[nH]c(Cl)c2Cl)C=C1O,CC(O)(C#N)OC1=CC(=Cc2c[nH]c(Cl)c2Cl)OC1=O,2,0.56,
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CC[C@H](C(=O)Cl)[C@H](O)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CC[C@@H](C(=O)O)[C@H](Cl)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CC[C@@H](C(=O)Cl)[C@H](O)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CC[C@@H](C(=O)O)[C@@H](Cl)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CC[C@@H](C(=O)Cl)[C@@H](O)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CC[C@H](C(=O)O)[C@@H](Cl)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CC[C@H](C(=O)Cl)[C@@H](O)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CC[C@H](C(=O)O)[C@H](Cl)C(O)=Cc1c[nH]c(Cl)c1Cl,2,0.3571,
CC(C)[C@H]1CC(=Cc2c[nH]c(Cl)c2Cl)OC1=O,CC(C)[C@@H](CC(Cl)=Cc1c[nH]c(Cl)c1Cl)C(=O)O,2,0.3393,
CC[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)C1=O,CC[C@@H](C(=O)O)C(=O)C(Cl)=Cc1c[nH]c(Cl)c1Cl,2,0.3585,
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)C1=O,CC[C@H](C(=O)O)C(=O)C(Cl)=Cc1c[nH]c(Cl)c1Cl,2,0.3585,
CC(C)[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,CC(C)[C@H](C(=O)O)[C@@H](O)C(O)Cc1c[nH]c(Cl)c1Cl,2,0.2712,
CC(C)[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@H]1O,CC(C)[C@@H](C(=O)O)[C@H](O)C(O)Cc1c[nH]c(Cl)c1Cl,2,0.2712,
