reactants,products,reactionString,ruleName
CCCC[C@H]1C(=O)OC(=CC(C)NC(N)=[NH2+])[C@@H]1O,CCCC(C)(C=C1OC(=O)[C@H](C)[C@H]1O)NC(N)=[NH2+],CCCC[C@H]1C(=O)OC(=CC(C)NC(N)=[NH2+])[C@@H]1O >> CCCC(C)(C=C1OC(=O)[C@H](C)[C@H]1O)NC(N)=[NH2+],rule0028_51
C=C1OC(=O)[C@](CCCC)(CNC(N)=[NH2+])[C@H]1O,C=C1OC(=O)[C@](CCC)(C(C)NC(N)=[NH2+])[C@H]1O,C=C1OC(=O)[C@](CCCC)(CNC(N)=[NH2+])[C@H]1O >> C=C1OC(=O)[C@](CCC)(C(C)NC(N)=[NH2+])[C@H]1O,rule0028_51
CCC(C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CCC(C=O)C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCC(C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> CCC(C=O)C[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0025_34
CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCCC[C@H]1C(O)OC(=CC(O)NC(=[NH2+])NC)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCCC[C@H]1C(O)OC(=CC(O)NC(=[NH2+])NC)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0034_41
CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O,CCCC[C@H]1C(O)OC(=CC=O)[C@@H]1O.NC(N)=[NH2+],CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O >> CCCC[C@H]1C(O)OC(=CC=O)[C@@H]1O.NC(N)=[NH2+],rule0484_2
CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.O,CCCC(O)[C@@H](C(=O)O)[C@@H](O)C(O)=CCNC(N)=[NH2+],CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.O >> CCCC(O)[C@@H](C(=O)O)[C@@H](O)C(O)=CCNC(N)=[NH2+],rule0035_7
CCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,CCCCC(CNC(N)=[NH2+])=C1OC(=O)C[C@H]1O,CCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O >> CCCCC(CNC(N)=[NH2+])=C1OC(=O)C[C@H]1O,rule0028_51
CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCCC[C@H]1C(O)OC(=CC(=O)O)[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(N)=[NH2+],CCCC[C@H]1C(O)OC(=CC(O)NC(N)=[NH2+])[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O >> CCCC[C@H]1C(O)OC(=CC(=O)O)[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(N)=[NH2+],rule0157_2
CCCC(C(=O)O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O,CCCC1C(O)=[NH+]C(=[NH2+])NCC=C2OC(=O)[C@H]1[C@H]2O.O,CCCC(C(=O)O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O >> CCCC1C(O)=[NH+]C(=[NH2+])NCC=C2OC(=O)[C@H]1[C@H]2O.O,rule0339_1
CCC[C@H]1C(=O)OC(=CC(C)NC(N)=[NH2+])[C@@H]1O,CCC[C@]1(O)CC(=O)OC1=CC(C)NC(N)=[NH2+],CCC[C@H]1C(=O)OC(=CC(C)NC(N)=[NH2+])[C@@H]1O >> CCC[C@]1(O)CC(=O)OC1=CC(C)NC(N)=[NH2+],rule0028_51
C=C1OC(=O)[C@H](CCCCCNC(N)=[NH2+])[C@H]1O,C=C1OC(=O)[C@](CCC)(CCNC(N)=[NH2+])[C@H]1O,C=C1OC(=O)[C@H](CCCCCNC(N)=[NH2+])[C@H]1O >> C=C1OC(=O)[C@](CCC)(CCNC(N)=[NH2+])[C@H]1O,rule0028_51
CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,CCC[C@]1(C)C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O >> CCC[C@]1(C)C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,rule0028_51
CC(O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.O=O,CC(=O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.OO,CC(O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.O=O >> CC(=O)CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.OO,rule0074_14
CCC(C=C1OC(=O)[C@H](CC)[C@H]1O)NC(N)=[NH2+],CCC(C)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O,CCC(C=C1OC(=O)[C@H](CC)[C@H]1O)NC(N)=[NH2+] >> CCC(C)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O,rule0028_51
CCC(O)C[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCC(O)C[C@H]1C(O)OC(=CCN(C)C(N)=[NH2+])[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCC(O)C[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCC(O)C[C@H]1C(O)OC(=CCN(C)C(N)=[NH2+])[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0034_41
CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,CCC[C@H]1C(=O)OC(=C(CC)CNC(N)=[NH2+])[C@@H]1O,CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O >> CCC[C@H]1C(=O)OC(=C(CC)CNC(N)=[NH2+])[C@@H]1O,rule0028_51
CCCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O,CC(C)CC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O,CCCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O >> CC(C)CC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCC(O)[C@H]1C(O)OC(=CCNC(N)=[NH2+])[C@@H]1O,rule0126_2
C=C1OC(=O)[C@H](CCCC)[C@@]1(O)CNC(N)=[NH2+].C=C1OC(=O)[C@H](CCCC)[C@@]1(O)CNC(N)=[NH2+],C=C1OC(=O)[C@H](C(C)CCC)[C@@]1(O)CNC(N)=[NH2+].C=C1OC(=O)[C@H](CCC)[C@@]1(O)CNC(N)=[NH2+],C=C1OC(=O)[C@H](CCCC)[C@@]1(O)CNC(N)=[NH2+].C=C1OC(=O)[C@H](CCCC)[C@@]1(O)CNC(N)=[NH2+] >> C=C1OC(=O)[C@H](C(C)CCC)[C@@]1(O)CNC(N)=[NH2+].C=C1OC(=O)[C@H](CCC)[C@@]1(O)CNC(N)=[NH2+],rule0126_2
CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O,CCCC[C@]1(O)CC(=O)OC1=C(C)CNC(N)=[NH2+],CCCC[C@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])[C@@H]1O >> CCCC[C@]1(O)CC(=O)OC1=C(C)CNC(N)=[NH2+],rule0028_51
CCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O.CCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O,CCCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O.CCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O,CCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O.CCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O >> CCCCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O.CCC[C@H]1C(=O)OC(O)(CCNC(N)=[NH2+])[C@@H]1O,rule0126_2
CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O,CCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@]1(C)O,CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O >> CCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@H]1O.CCCC(O)[C@H]1C(=O)OC(=CCNC(N)=[NH2+])[C@@]1(C)O,rule0126_2
