starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(CCOC(CO)P(=O)(O)OCCCO)c(=O)n1,2,0.4928,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,C[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)OCCC=O,2,0.5441,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCOP(=O)(O)CO[C@H](C=O)Cn1ccc(N)nc1=O,2,0.5909,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,COC[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)O,2,0.5714,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,C[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)O,2,0.4,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(O)[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)O,2,0.4627,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,1,0.6271,0.2381
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(CCOC(CO)P(=O)(O)O)c(=O)n1,2,0.4545,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@H](O)COP(=O)(O)O)c(=O)n1,2,0.4462,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(=O)Nc1ccn(C[C@H](O)CO)c(=O)n1,2,0.2917,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(=O)OC[C@@H](O)Cn1ccc(N)nc1=O,2,0.3824,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,O=P(O)(COCCO)OCCCO,2,0.2698,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.5167,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,C[C@](O)(CO)Cn1ccc(N)nc1=O,2,0.3485,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC([C@H](O)CO)n1ccc(N)nc1=O,2,0.3284,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,COC[C@@H](O)Cn1ccc(N)nc1=O,2,0.4219,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(O)[C@@H](O)Cn1ccc(N)nc1=O,2,0.3968,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@H](O)C(=O)O)c(=O)n1,2,0.375,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1nc(=O)n(CCO)cc1CO,2,0.2319,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@H](O)CO)c(=O)n1,1,0.4262,0.3492
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Cn1cc([C@H](O)CO)c(N)nc1=O,2,0.2254,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,COCCCOP(=O)(O)CO,2,0.2581,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@H](O)C=O)c(=O)n1,2,0.375,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,COCCCOP(=O)(O)C=O,2,0.197,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,O=CP(=O)(O)OCCCO,2,0.1818,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(CCC=O)c(=O)n1,2,0.3077,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Cn1ccc(N)nc1=O,2,0.2787,0.0656
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,O=CP(=O)(O)O,2,0.082,
