Name,Predictions,Predictions StDev,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,[5.70387532 6.06223823 5.73325221 ... 5.93133533 5.73770249 6.90071413],,0.38145116851326377,6.967652784852079,0.36971572503764955,0.28219471130024915,0.7271608862096568
Random Forest Regressor,[5.68105625 6.17433561 5.54914903 ... 5.59140081 5.56185441 6.48144976],,0.3133176336103143,5.825288600768735,0.38299307100732877,0.24485163197079188,0.7632659309268526
Support Vector Regressor,[5.8547326  5.95211894 5.71804654 ... 5.8880696  5.93381109 6.92638684],,0.41194851198035237,7.4343483455460175,0.4479014956246842,0.3703173263056555,0.6419597990872936
Kernel Ridge Regressor,[4.92177491 6.12430681 5.21174971 ... 5.27069779 5.11327628 5.19155951],,0.910056559768339,15.845446361460974,1.035022825534872,1.899475191355574,-0.8365019156039004
K-NN Regressor,[4.98598964 6.34458458 5.78987438 ... 5.54781381 5.64268482 6.77264891],,0.41773614729485764,7.5590316128092265,0.4188828689178017,0.3499663466295593,0.6616360830049026
Gaussian Process Regressor,[5.72105864 6.11162186 5.68945669 ... 5.58286887 5.86383911 6.61385665],,0.3209455630872722,5.944530465048841,0.3719922500051289,0.2413842885292845,0.7666183215773672
Gradient Boosting Regressor,[5.90325612 6.02041367 5.61345734 ... 5.84319629 5.8300683  6.75885008],,0.4075868459639487,7.491113283936392,0.35102836684995053,0.2893479513361831,0.72024479744548
TPOT Regressor 1,[5.54649178 6.26953379 5.55623007 ... 5.57639962 5.69760609 6.4722648 ],,0.3039869427348388,5.6721929367377255,0.3736359154399735,0.23201185865994112,0.7756800274039268
TPOT Regressor 2,[5.27617951 6.36205774 5.62029343 ... 5.58994055 5.68550315 6.47456741],,0.30067911033973815,5.6071580680942015,0.3808567363467782,0.2354597810154158,0.772346413972438
Ensemble Model (L1),[5.47158452 6.24590674 5.57013194 ... 5.64999516 5.69637324 6.50443704],[0.48063824 0.49641675 0.48156175 ... 0.49463091 0.48154707 0.47189675],0.30915759233560763,5.746813347968971,0.3645982527363864,0.22851030279717569,0.7790654962317527
