,Bacteria,compound_id,Smiles,pPotency
24,BacillusAnthracis,73054734,COc1ccc2[nH]c(C(=O)Nc3ccc4nc(C)cc(N)c4c3)cc2c1,4.0
25,BacillusAnthracis,73056773,COc1ncccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
26,BacillusAnthracis,73055016,Cc1cc(N)c2cc(NC(=O)COc3ccc(OCc4ccccc4)cc3)ccc2n1,4.0
27,BacillusAnthracis,73055905,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccc5cccnc45)cc3)ccc2n1,4.769551078621726
28,BacillusAnthracis,73055906,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4ccc5ncccc5c4)c3)ccc2n1,4.0
29,BacillusAnthracis,73056185,COc1ccccc1/C=C/C(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
30,BacillusAnthracis,73055902,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cnc5ccccc5c4)cc3)ccc2n1,4.958607314841775
31,BacillusAnthracis,73054451,Cc1cc(N)c2cc(NC(=O)c3ccc(Oc4ccccc4)cc3)ccc2n1,4.0
32,BacillusAnthracis,73056179,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cncc5ccccc45)c3)ccc2n1,4.318758762624412
33,BacillusAnthracis,73054736,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccnc4)cc3)ccc2n1,4.0
34,BacillusAnthracis,71166,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,4.508638306165727
35,BacillusAnthracis,73055907,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cnc5ccccc5c4)c3)ccc2n1,4.0
36,BacillusAnthracis,73056180,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cccc5ncccc45)c3)ccc2n1,4.187086643357144
37,BacillusAnthracis,73055013,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccc5ncccc5c4)cc3)ccc2n1,4.0
38,BacillusAnthracis,73055605,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(=O)c4ccccc4)cc3)ccc2n1,4.0
39,BacillusAnthracis,73055018,COc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
40,BacillusAnthracis,73055903,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cncc5ccccc45)cc3)ccc2n1,4.0
41,BacillusAnthracis,73056183,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3C(F)(F)F)ccc2n1,4.0
42,BacillusAnthracis,73056181,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cccc5cccnc45)c3)ccc2n1,4.0
43,BacillusAnthracis,73056773,COc1ncccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
44,BacillusAnthracis,73055016,Cc1cc(N)c2cc(NC(=O)COc3ccc(OCc4ccccc4)cc3)ccc2n1,4.0
45,BacillusAnthracis,73055905,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccc5cccnc45)cc3)ccc2n1,4.0
46,BacillusAnthracis,73055906,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4ccc5ncccc5c4)c3)ccc2n1,4.0
47,BacillusAnthracis,73056185,COc1ccccc1/C=C/C(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
48,BacillusAnthracis,73055902,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cnc5ccccc5c4)cc3)ccc2n1,4.107905397309519
49,BacillusAnthracis,73054451,Cc1cc(N)c2cc(NC(=O)c3ccc(Oc4ccccc4)cc3)ccc2n1,4.0
50,BacillusAnthracis,73056179,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cncc5ccccc45)c3)ccc2n1,4.301029995663981
51,BacillusAnthracis,71166,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,5.142667503568732
52,BacillusAnthracis,15133398,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3)ccc2n1,4.0
53,BacillusAnthracis,73056771,Cc1cc(N)c2cc(NC(=O)Cc3ccccc3Cl)ccc2n1,4.0
54,BacillusAnthracis,59079459,COc1ccc(NC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.3872161432802645
55,BacillusAnthracis,73055603,Cc1cc(N)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2n1,4.494850021680094
56,BacillusAnthracis,73055607,COc1ccccc1CNC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
57,BacillusAnthracis,73055303,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3OC(=O)c3ccccc3)ccc2n1,4.0
58,BacillusAnthracis,73056474,COc1ccc(Cl)cc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
59,BacillusAnthracis,73054452,Cc1cc(N)c2cc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)ccc2n1,4.0
60,BacillusAnthracis,73054453,Cc1cc(N)c2cc(NC(=O)c3cccnc3)ccc2n1,4.0
61,BacillusAnthracis,73054735,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccccc4)cc3)ccc2n1,4.0
62,BacillusAnthracis,73056772,COc1ccccc1CCCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
63,BacillusAnthracis,73056775,COc1ccsc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
64,BacillusAnthracis,73055606,Cc1cc(N)c2cc(NC(=O)NCc3ccccc3Cl)ccc2n1,4.0
65,BacillusAnthracis,73055014,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4ccc(N(C)C)cc4)c3)ccc2n1,4.161150909262744
66,BacillusAnthracis,73055015,COc1ccc(/C=C/C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.0
67,BacillusAnthracis,73055907,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cnc5ccccc5c4)c3)ccc2n1,4.346787486224656
68,BacillusAnthracis,73056180,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cccc5ncccc45)c3)ccc2n1,4.167491087293763
69,BacillusAnthracis,73055300,COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1,4.0
70,BacillusAnthracis,73055302,COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1OC,4.0
71,BacillusAnthracis,73055304,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3Cl)ccc2n1,4.0
72,BacillusAnthracis,73054731,Cc1cc(N)c2cc(NC(=O)c3cc4ccccc4cn3)ccc2n1,4.0
73,BacillusAnthracis,73055013,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccc5ncccc5c4)cc3)ccc2n1,4.42021640338319
74,BacillusAnthracis,73056774,COc1ccncc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
75,BacillusAnthracis,73055305,Cc1cc(N)c2cc(NC(=O)Nc3ccc4c(c3)OCO4)ccc2n1,4.3872161432802645
76,BacillusAnthracis,73055605,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(=O)c4ccccc4)cc3)ccc2n1,4.173925197299174
77,BacillusAnthracis,234080,Cc1cc(N)c2cc(NC(=O)Cc3ccccc3)ccc2n1,4.0
78,BacillusAnthracis,73055017,Cc1cc(N)c2cc(NC(=O)Cc3ccc4c(c3)OCO4)ccc2n1,4.0
79,BacillusAnthracis,73055018,COc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
80,BacillusAnthracis,73055903,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cncc5ccccc45)cc3)ccc2n1,4.187086643357144
81,BacillusAnthracis,73056182,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3C)ccc2n1,4.0
82,BacillusAnthracis,73056183,Cc1cc(N)c2cc(NC(=O)CCc3ccccc3C(F)(F)F)ccc2n1,4.0
83,BacillusAnthracis,73055602,CCOC(=O)c1ccc(NC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.292429823902063
84,BacillusAnthracis,73055604,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(C)C)cc3)ccc2n1,4.2076083105017466
