Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.3329769672779568,6.052273006397237,0.3157781077770829,0.21058947408890047,0.7963921959442501
Random Forest Regressor,0.22957199007400994,4.265917045553011,0.29951290004652614,0.14241127592082167,0.8623100832153876
Support Vector Regressor,0.35387334555648137,6.423377827463448,0.40377581059071366,0.28826124991352475,0.7212954714703285
Kernel Ridge Regressor,0.5803890622777373,10.13802947596746,0.41836776722889046,0.5118830522677185,0.5050873997549051
K-NN Regressor,0.33062505767811284,5.995721228077306,0.34123864674371024,0.2257567427961341,0.7817277674947083
Gaussian Process Regressor,0.2722306448111756,5.012622679524409,0.3017549203798895,0.16516555594778187,0.8403101755314777
Gradient Boosting Regressor,0.3668729137679055,6.730424653208335,0.3022695635924591,0.2259626239309287,0.7815287119344368
TPOT Regressor 1,0.22414110087639375,4.170801532649034,0.2989514248590794,0.13961118752735552,0.8650173403155927
TPOT Regressor 2,0.2217896947505329,4.1338036415039,0.3013638160718901,0.14001081833494658,0.8646309584628498
Ensemble Model (L1),0.23730620004209296,4.399841665054762,0.29403760472065776,0.1427723455682796,0.8619609841051489
