reactants,products,reactionString,ruleName
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O.O=C1CC(=O)C(=C[C@H]2CCC(C(=O)O)C2)O1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1CC(=O)C(=C[C@H]2CCC(C(O)O)C2)O1.O=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O.O=C1CC(=O)C(=C[C@H]2CCC(C(=O)O)C2)O1 >> NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1CC(=O)C(=C[C@H]2CCC(C(O)O)C2)O1.O=O,rule0072_6
O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(O)O)O1,O=C1CC(=O)C(=CC2(C(O)O)CCCC2)O1,O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(O)O)O1 >> O=C1CC(=O)C(=CC2(C(O)O)CCCC2)O1,rule0028_50
N#CC(O)(O)[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O,N#CC(=O)O.O=C1CC(=O)C(=CC2CCCC2)O1,N#CC(O)(O)[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O >> N#CC(=O)O.O=C1CC(=O)C(=CC2CCCC2)O1,rule0053_20
O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(O)O)O1,O=C1CC(=O)C(=C[C@H]2CCC(C(O)O)C2)O1,O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(O)O)O1 >> O=C1CC(=O)C(=C[C@H]2CCC(C(O)O)C2)O1,rule0028_50
O=C1CC(=O)C(=C(C(=O)O)C2CCCC2)O1.OO,O=C1CC(=O)C(=C(C(O)O)C2CCCC2)O1.O=O,O=C1CC(=O)C(=C(C(=O)O)C2CCCC2)O1.OO >> O=C1CC(=O)C(=C(C(O)O)C2CCCC2)O1.O=O,rule0078_17
N.O=C1CC(=O)C(=C[C@H]2CCCC2C(=O)O)O1,NC(=O)C1CCC[C@@H]1C=C1OC(=O)CC1=O.O,N.O=C1CC(=O)C(=C[C@H]2CCCC2C(=O)O)O1 >> NC(=O)C1CCC[C@@H]1C=C1OC(=O)CC1=O.O,rule0055_2
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2CO)O1.O=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O.O=C[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2CO)O1.O=O >> NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O.O=C[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O,rule0073_5
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C(O)C1C(=O)OC(=CC2CCCC2)C1=O,COC(=O)C1C(=O)OC(=CC2CCCC2)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C(O)C1C(=O)OC(=CC2CCCC2)C1=O >> COC(=O)C1C(=O)OC(=CC2CCCC2)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0011_49
COC(=O)[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(=O)O)O1,COC(=O)[C@@H]1CCC[C@H]1C=C1OC(=O)CC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O >> C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(=O)O)O1,rule0010_64
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1CC(=O)C(=C[C@H]2CCC(C(=O)O)C2)O1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=CC1CC[C@H](C=C2OC(=O)CC2=O)C1.O=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1CC(=O)C(=C[C@H]2CCC(C(=O)O)C2)O1 >> NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=CC1CC[C@H](C=C2OC(=O)CC2=O)C1.O=O,rule0005_62
