SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
CC(O)O[C@H]1[C@H]2Oc3nc4c(=O)[nH]c(N)nc4n3[C@@H]2O[C@@H]1CO,False,C12H15N5O6,325.1022,23
CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1COc1nc3c(=O)[nH]c(N)nc3n12,False,C12H15N5O6,325.1022,23
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H17N5O6,327.1179,23
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H17N5O5,311.123,22
CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H17N5O6,339.1179,24
CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C14H17N5O7,367.1128,26
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(=O)CC(=O)O)[C@H]2O)c(=O)[nH]1,False,C13H15N5O8,369.0921,26
CC(O)(C#N)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H16N6O6,352.1131,25
CC(N)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H18N6O5,326.1339,23
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(=O)CO)[C@H]2O)c(=O)[nH]1,False,C12H15N5O7,341.0971,24
COC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H15N5O7,341.0971,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(O)CO)[C@H]2O)c(=O)[nH]1,False,C12H17N5O7,343.1128,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,False,C12H15N5O5,309.1073,22
CC(=O)[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H15N5O5,309.1073,22
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(=O)O,False,C12H13N5O7,339.0815,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)n(C(C)=O)c(N)nc32)O[C@@H]1CO,False,C14H17N5O7,367.1128,26
CC(=O)O[C@@]1(C)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,C13H17N5O6,339.1179,24
CC(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@]1(C)O,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(C)O,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H17N5O6,339.1179,24
C[C@]1(OC=O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O6,325.1022,23
C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1OC=O,False,C12H15N5O6,325.1022,23
C[C@]1(n2cnc3c(=O)[nH]c(N)nc32)O[C@H](CO)[C@@H](O)[C@H]1OC=O,False,C12H15N5O6,325.1022,23
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC=O)[C@@H]1O,False,C12H15N5O6,325.1022,23
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC=O)[C@@H]1O,False,C12H15N5O6,325.1022,23
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC=O,False,C12H15N5O6,325.1022,23
CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O1)c(=O)[nH]2,False,C12H13N5O5,307.0917,22
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OCC(O)O[C@H]32)c(=O)[nH]1,False,C12H15N5O6,325.1022,23
Nc1nc2c(ncn2[C@@H]2O[C@@H]3COCC(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,False,C12H15N5O6,325.1022,23
CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O6,325.1022,23
CC(O)O[C@]12OC[C@@H](O[C@H]1n1cnc3c(=O)[nH]c(N)nc31)[C@H]2O,False,C12H15N5O6,325.1022,23
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]2CO[C@]21O,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@@H]2O[C@]1(n1cnc3c(=O)[nH]c(N)nc31)O[C@@H]2CO,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@H](O)[C@H]2CO[C@]1(n1cnc3c(=O)[nH]c(N)nc31)O2,False,C12H15N5O6,325.1022,23
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@]2(CO)O[C@@H]12,False,C12H15N5O6,325.1022,23
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]2(CO2)[C@H]1O,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@@H]2OC(O)[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@@H]2Oc3nc4c(=O)[nH]c(N)nc4n3[C@@H]1O[C@@H]2CO,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@H](O)[C@H]2COc3nc4c(=O)[nH]c(N)nc4n3[C@@H]1O2,False,C12H15N5O6,325.1022,23
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H17N5O6,327.1179,23
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H17N5O5,311.123,22
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
