Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.33851513990936577,6.182076081916577,0.3151956461970384,0.21394079532942606,0.7931519810122315
Random Forest Regressor,0.23586700770575414,4.374631742374071,0.30999551521028496,0.1517304647745563,0.8532998533057545
Support Vector Regressor,0.31033409641742893,5.762430024758677,0.36259684828264066,0.2277837257837264,0.7797679850471402
Kernel Ridge Regressor,0.3955378602071639,7.007551871401824,0.3066945514987184,0.25051174677626203,0.7577934658322357
K-NN Regressor,0.31247138322607065,5.692226886170502,0.3244135596657012,0.20288252303018536,0.8038436385570357
Gaussian Process Regressor,0.24465171966130797,4.523414210782705,0.3046735244154384,0.15268042041295998,0.8523813915339942
Gradient Boosting Regressor,0.35367190030955326,6.478674845032274,0.30607563770733653,0.2187661090665233,0.7884866408372726
TPOT Regressor 1,0.23530614460162677,4.36435993213042,0.30892466626410353,0.15080343111366942,0.8541961530320137
TPOT Regressor 2,0.23506836248552918,4.358719087275726,0.31079237132859155,0.15184903311767728,0.8531852158573358
Ensemble Model (L1),0.24409781196267577,4.511320497488745,0.3048105789431839,0.15249323084064478,0.8525623752129086
